,fluke,s8lp,sen0220,scd30
2021-09-21 19:00:00,,421.0,427.0,437.0
2021-09-21 19:00:10,,421.0,427.0,438.0
2021-09-21 19:00:20,,421.0,426.0,438.0
2021-09-21 19:00:30,,422.0,425.0,438.0
2021-09-21 19:00:40,,422.0,425.0,437.0
2021-09-21 19:00:50,,422.0,425.0,438.0
2021-09-21 19:01:00,,422.0,424.0,437.0
2021-09-21 19:01:10,,422.0,426.0,437.0
2021-09-21 19:01:20,,422.0,427.0,436.0
2021-09-21 19:01:30,,421.0,426.0,436.0
2021-09-21 19:01:40,,422.0,427.0,436.0
2021-09-21 19:01:50,,421.0,428.0,435.0
2021-09-21 19:02:00,,422.0,427.0,435.0
2021-09-21 19:02:10,,422.0,427.0,435.0
2021-09-21 19:02:20,,422.0,428.0,434.0
2021-09-21 19:02:30,,422.0,429.0,434.0
2021-09-21 19:02:40,,422.0,428.0,435.0
2021-09-21 19:02:50,,422.0,427.0,435.0
2021-09-21 19:03:00,,421.0,427.0,435.0
2021-09-21 19:03:10,,421.0,426.0,436.0
2021-09-21 19:03:20,,421.0,427.0,436.0
2021-09-21 19:03:30,,421.0,426.0,436.0
2021-09-21 19:03:40,,421.0,426.0,435.0
2021-09-21 19:03:50,,423.0,428.0,435.0
2021-09-21 19:04:00,,423.0,428.0,435.0
2021-09-21 19:04:10,,422.0,427.0,433.0
2021-09-21 19:04:20,,422.0,428.0,433.0
2021-09-21 19:04:30,,422.0,426.0,433.0
2021-09-21 19:04:40,,422.0,427.0,434.0
2021-09-21 19:04:50,,422.0,427.0,433.0
2021-09-21 19:05:00,,423.0,428.0,431.0
2021-09-21 19:05:10,,423.0,428.0,429.0
2021-09-21 19:05:20,,422.0,429.0,429.0
2021-09-21 19:05:30,,423.0,429.0,429.0
2021-09-21 19:05:40,,423.0,431.0,431.0
2021-09-21 19:05:50,,423.0,431.0,432.0
2021-09-21 19:06:00,,423.0,430.0,432.0
2021-09-21 19:06:10,,423.0,431.0,433.0
2021-09-21 19:06:20,,423.0,429.0,433.0
2021-09-21 19:06:30,,423.0,429.0,434.0
2021-09-21 19:06:40,,423.0,430.0,435.0
2021-09-21 19:06:50,,423.0,429.0,436.0
2021-09-21 19:07:00,,423.0,428.0,436.0
2021-09-21 19:07:10,,423.0,430.0,437.0
2021-09-21 19:07:20,,424.0,429.0,437.0
2021-09-21 19:07:30,,423.0,430.0,436.0
2021-09-21 19:07:40,,423.0,430.0,436.0
2021-09-21 19:07:50,,424.0,430.0,436.0
2021-09-21 19:08:00,,424.0,431.0,436.0
2021-09-21 19:08:10,,424.0,428.0,435.0
2021-09-21 19:08:20,,424.0,427.0,433.0
2021-09-21 19:08:30,,424.0,428.0,434.0
2021-09-21 19:08:40,,424.0,429.0,432.0
2021-09-21 19:08:50,,424.0,431.0,434.0
2021-09-21 19:09:00,,425.0,431.0,435.0
2021-09-21 19:09:10,,425.0,432.0,435.0
2021-09-21 19:09:20,,426.0,435.0,438.0
2021-09-21 19:09:30,,427.0,435.0,439.0
2021-09-21 19:09:40,,427.0,436.0,440.0
2021-09-21 19:09:50,,428.0,437.0,440.0
2021-09-21 19:10:00,,429.0,439.0,442.0
2021-09-21 19:10:10,,431.0,440.0,443.0
2021-09-21 19:10:20,,432.0,442.0,444.0
2021-09-21 19:10:30,,434.0,443.0,445.0
2021-09-21 19:10:40,,435.0,444.0,446.0
2021-09-21 19:10:50,,435.0,446.0,447.0
2021-09-21 19:11:00,,436.0,448.0,449.0
2021-09-21 19:11:10,,437.0,452.0,450.0
2021-09-21 19:11:20,,437.0,454.0,452.0
2021-09-21 19:11:30,,437.0,454.0,454.0
2021-09-21 19:11:40,,437.0,455.0,454.0
2021-09-21 19:11:50,,438.0,455.0,455.0
2021-09-21 19:12:00,,440.0,455.0,455.0
2021-09-21 19:12:10,,440.0,455.0,455.0
2021-09-21 19:12:20,,440.0,454.0,455.0
2021-09-21 19:12:30,,442.0,453.0,455.0
2021-09-21 19:12:40,,443.0,454.0,456.0
2021-09-21 19:12:50,,443.0,453.0,456.0
2021-09-21 19:13:00,,443.0,452.0,456.0
2021-09-21 19:13:10,,443.0,452.0,456.0
2021-09-21 19:13:20,,443.0,452.0,456.0
2021-09-21 19:13:30,,443.0,451.0,456.0
