tiempo,fluke
2021-09-23 13:20:00,439.8
2021-09-23 13:20:10,439.3
2021-09-23 13:20:20,436.3
2021-09-23 13:20:30,436.0
2021-09-23 13:20:40,433.9
2021-09-23 13:20:50,430.2
2021-09-23 13:21:00,423.4
2021-09-23 13:21:10,419.4
2021-09-23 13:21:20,421.3
2021-09-23 13:21:30,423.4
2021-09-23 13:21:40,423.8
2021-09-23 13:21:50,424.2
2021-09-23 13:22:00,423.8
2021-09-23 13:22:10,421.2
2021-09-23 13:22:20,423.4
2021-09-23 13:22:30,424.1
2021-09-23 13:22:40,421.4
2021-09-23 13:22:50,419.2
2021-09-23 13:23:00,418.2
2021-09-23 13:23:10,419.8
2021-09-23 13:23:20,425.2
2021-09-23 13:23:30,430.3
2021-09-23 13:23:40,432.8
2021-09-23 13:23:50,431.2
2021-09-23 13:24:00,423.9
2021-09-23 13:24:10,420.7
2021-09-23 13:24:20,422.5
2021-09-23 13:24:30,423.9
2021-09-23 13:24:40,426.8
2021-09-23 13:24:50,429.3
2021-09-23 13:25:00,426.4
2021-09-23 13:25:10,422.5
2021-09-23 13:25:20,424.5
2021-09-23 13:25:30,425.0
2021-09-23 13:25:40,423.1
2021-09-23 13:25:50,423.4
2021-09-23 13:26:00,420.9
2021-09-23 13:26:10,418.4
2021-09-23 13:26:20,418.9
2021-09-23 13:26:30,415.2
2021-09-23 13:26:40,416.0
2021-09-23 13:26:50,419.6
2021-09-23 13:27:00,421.6
2021-09-23 13:27:10,429.9
2021-09-23 13:27:20,428.6
2021-09-23 13:27:30,424.2
2021-09-23 13:27:40,420.3
2021-09-23 13:27:50,419.2
2021-09-23 13:28:00,419.1
2021-09-23 13:28:10,418.3
2021-09-23 13:28:20,422.7
2021-09-23 13:28:30,418.2
2021-09-23 13:28:40,415.0
2021-09-23 13:28:50,417.2
2021-09-23 13:29:00,416.2
2021-09-23 13:29:10,419.2
2021-09-23 13:29:20,420.8
2021-09-23 13:29:30,416.6
2021-09-23 13:29:40,416.2
2021-09-23 13:29:50,416.1
2021-09-23 13:30:00,417.1
2021-09-23 13:30:10,415.6
2021-09-23 13:30:20,414.7
2021-09-23 13:30:30,414.5
2021-09-23 13:30:40,409.6
2021-09-23 13:30:50,415.7
2021-09-23 13:31:00,417.2
2021-09-23 13:31:10,414.0
2021-09-23 13:31:20,419.3
2021-09-23 13:31:30,419.9
2021-09-23 13:31:40,419.2
2021-09-23 13:31:50,424.4
2021-09-23 13:32:00,423.2
2021-09-23 13:32:10,422.6
2021-09-23 13:32:20,419.1
2021-09-23 13:32:30,417.1
2021-09-23 13:32:40,415.8
2021-09-23 13:32:50,412.8
2021-09-23 13:33:00,415.6
2021-09-23 13:33:10,415.6
2021-09-23 13:33:20,416.0
2021-09-23 13:33:30,413.8
2021-09-23 13:33:40,410.0
2021-09-23 13:33:50,408.7
2021-09-23 13:34:00,410.2
2021-09-23 13:34:10,414.8
2021-09-23 13:34:20,415.8
2021-09-23 13:34:30,416.2
2021-09-23 13:34:40,413.4
2021-09-23 13:34:50,412.0
2021-09-23 13:35:00,416.6
2021-09-23 13:35:10,418.4
2021-09-23 13:35:20,422.4
2021-09-23 13:35:30,422.9
2021-09-23 13:35:40,419.0
2021-09-23 13:35:50,416.2
2021-09-23 13:36:00,414.6
2021-09-23 13:36:10,417.5
2021-09-23 13:36:20,418.4
2021-09-23 13:36:30,418.0
2021-09-23 13:36:40,418.3
2021-09-23 13:36:50,411.1
2021-09-23 13:37:00,410.9
2021-09-23 13:37:10,410.8
2021-09-23 13:37:20,407.2
2021-09-23 13:37:30,409.0
2021-09-23 13:37:40,409.0
2021-09-23 13:37:50,408.1
2021-09-23 13:38:00,410.4
2021-09-23 13:38:10,411.6
2021-09-23 13:38:20,409.8
2021-09-23 13:38:30,415.3
2021-09-23 13:38:40,416.2
2021-09-23 13:38:50,417.2
2021-09-23 13:39:00,415.7
2021-09-23 13:39:10,411.6
2021-09-23 13:39:20,410.5
2021-09-23 13:39:30,410.0
2021-09-23 13:39:40,414.3
2021-09-23 13:39:50,417.4
2021-09-23 13:40:00,417.1
2021-09-23 13:40:10,418.2
2021-09-23 13:40:20,416.4
2021-09-23 13:40:30,415.1
2021-09-23 13:40:40,413.0
2021-09-23 13:40:50,418.6
2021-09-23 13:41:00,423.4
2021-09-23 13:41:10,423.6
2021-09-23 13:41:20,425.6
2021-09-23 13:41:30,420.7
2021-09-23 13:41:40,422.1
2021-09-23 13:41:50,428.0
2021-09-23 13:42:00,426.0
2021-09-23 13:42:10,425.9
2021-09-23 13:42:20,421.3
2021-09-23 13:42:30,415.9
2021-09-23 13:42:40,416.4
2021-09-23 13:42:50,413.9
2021-09-23 13:43:00,410.3
2021-09-23 13:43:10,411.1
2021-09-23 13:43:20,412.6
2021-09-23 13:43:30,419.1
2021-09-23 13:43:40,424.4
2021-09-23 13:43:50,417.8
2021-09-23 13:44:00,412.3
2021-09-23 13:44:10,404.3
2021-09-23 13:44:20,407.1
2021-09-23 13:44:30,409.1
2021-09-23 13:44:40,411.0
2021-09-23 13:44:50,413.2
2021-09-23 13:45:00,408.3
2021-09-23 13:45:10,412.7
2021-09-23 13:45:20,415.5
2021-09-23 13:45:30,415.1
2021-09-23 13:45:40,413.0
2021-09-23 13:45:50,413.0
2021-09-23 13:46:00,413.2
2021-09-23 13:46:10,412.7
2021-09-23 13:46:20,416.5
2021-09-23 13:46:30,419.4
2021-09-23 13:46:40,415.6
2021-09-23 13:46:50,415.4
2021-09-23 13:47:00,414.2
2021-09-23 13:47:10,410.0
2021-09-23 13:47:20,417.4
2021-09-23 13:47:30,416.0
2021-09-23 13:47:40,416.0
2021-09-23 13:47:50,415.6
2021-09-23 13:48:00,410.4
2021-09-23 13:48:10,411.2
2021-09-23 13:48:20,409.0
2021-09-23 13:48:30,406.7
2021-09-23 13:48:40,406.3
2021-09-23 13:48:50,404.6
2021-09-23 13:49:00,405.3
2021-09-23 13:49:10,410.0
2021-09-23 13:49:20,412.6
2021-09-23 13:49:30,415.4
2021-09-23 13:49:40,417.2
2021-09-23 13:49:50,414.0
