ts,scd30
2021-11-10 17:59:38.278,446.0
2021-11-10 17:58:38.275,442.0
2021-11-10 17:57:38.274,441.0
2021-11-10 17:56:38.277,441.0
2021-11-10 17:55:38.280,442.0
2021-11-10 17:54:38.277,444.0
2021-11-10 17:53:38.276,444.0
2021-11-10 17:52:38.280,444.0
2021-11-10 17:51:38.277,443.0
2021-11-10 17:50:38.281,440.0
2021-11-10 17:49:38.278,441.0
2021-11-10 17:48:38.277,441.0
2021-11-10 17:47:38.304,441.0
2021-11-10 17:46:38.278,443.0
2021-11-10 17:45:38.279,445.0
2021-11-10 17:44:38.277,447.0
2021-11-10 17:43:38.287,449.0
2021-11-10 17:42:38.281,448.0
2021-11-10 17:41:39.019,447.0
2021-11-10 17:40:38.278,447.0
2021-11-10 17:39:38.281,446.0
2021-11-10 17:38:38.285,444.0
2021-11-10 17:37:38.280,443.0
2021-11-10 17:36:38.283,442.0
2021-11-10 17:35:38.290,443.0
2021-11-10 17:34:38.285,446.0
2021-11-10 17:33:38.303,448.0
2021-11-10 17:32:38.285,449.0
2021-11-10 17:31:38.297,449.0
2021-11-10 17:30:38.292,448.0
2021-11-10 17:29:38.286,448.0
2021-11-10 17:28:38.286,447.0
2021-11-10 17:27:38.285,446.0
2021-11-10 17:26:38.300,446.0
2021-11-10 17:25:38.292,443.0
2021-11-10 17:24:38.287,441.0
2021-11-10 17:23:38.289,440.0
2021-11-10 17:22:38.293,441.0
2021-11-10 17:21:38.290,441.0
2021-11-10 17:20:38.310,443.0
2021-11-10 17:19:38.282,444.0
2021-11-10 17:18:38.288,444.0
2021-11-10 17:17:38.286,445.0
2021-11-10 17:16:38.293,444.0
2021-11-10 17:15:38.296,443.0
2021-11-10 17:14:38.291,444.0
2021-11-10 17:13:38.288,443.0
2021-11-10 17:12:39.461,443.0
2021-11-10 17:11:38.295,445.0
2021-11-10 17:10:38.292,445.0
2021-11-10 17:09:38.295,442.0
2021-11-10 17:08:39.457,437.0
2021-11-10 17:07:38.296,433.0
2021-11-10 17:06:38.296,429.0
2021-11-10 17:05:38.291,426.0
2021-11-10 17:04:39.464,420.0
2021-11-10 17:03:38.296,412.0
2021-11-10 17:02:38.305,410.0
2021-11-10 17:01:38.291,410.0
2021-11-10 17:00:38.301,411.0
2021-11-10 16:59:38.294,411.0
2021-11-10 16:58:38.303,412.0
2021-11-10 16:57:38.308,413.0
2021-11-10 16:56:38.303,414.0
2021-11-10 16:55:38.302,413.0
2021-11-10 16:54:38.301,410.0
2021-11-10 16:53:38.302,411.0
2021-11-10 16:52:38.295,411.0
2021-11-10 16:51:38.301,410.0
2021-11-10 16:50:38.296,409.0
2021-11-10 16:49:38.299,409.0
2021-11-10 16:48:38.298,409.0
2021-11-10 16:47:39.463,409.0
2021-11-10 16:46:38.300,410.0
2021-11-10 16:45:38.298,411.0
2021-11-10 16:44:38.306,412.0
2021-11-10 16:43:38.300,413.0
2021-11-10 16:42:38.304,413.0
2021-11-10 16:41:38.301,412.0
2021-11-10 16:40:38.302,411.0
2021-11-10 16:39:38.312,411.0
2021-11-10 16:38:38.300,411.0
2021-11-10 16:37:38.300,412.0
2021-11-10 16:36:38.303,413.0
2021-11-10 16:35:38.304,413.0
2021-11-10 16:34:39.465,411.0
2021-11-10 16:33:38.300,412.0
2021-11-10 16:32:38.311,411.0
2021-11-10 16:31:38.304,412.0
2021-11-10 16:30:38.302,413.0
2021-11-10 16:29:38.304,414.0
2021-11-10 16:28:38.314,416.0
2021-11-10 16:27:38.305,416.0
2021-11-10 16:26:38.311,416.0
2021-11-10 16:25:38.304,415.0
2021-11-10 16:24:38.324,413.0
2021-11-10 16:23:38.303,413.0
2021-11-10 16:22:38.303,413.0
2021-11-10 16:21:39.473,415.0
2021-11-10 16:20:41.007,417.0
2021-11-10 16:19:38.312,419.0
2021-11-10 16:18:38.306,421.0
2021-11-10 16:17:38.302,420.0
2021-11-10 16:16:38.307,421.0
2021-11-10 16:15:38.306,420.0
2021-11-10 16:14:38.312,419.0
2021-11-10 16:13:38.306,420.0
2021-11-10 16:12:38.310,421.0
2021-11-10 16:11:38.307,421.0
2021-11-10 16:10:38.309,420.0
2021-11-10 16:09:38.307,421.0
2021-11-10 16:08:38.310,420.0
2021-11-10 16:07:38.313,420.0
2021-11-10 16:06:38.328,420.0
2021-11-10 16:05:38.308,421.0
2021-11-10 16:04:39.476,422.0
2021-11-10 16:03:38.312,423.0
2021-11-10 16:02:38.313,423.0
2021-11-10 16:01:38.316,423.0
2021-11-10 16:00:38.310,422.0
2021-11-10 15:59:38.309,422.0
2021-11-10 15:58:38.316,423.0
2021-11-10 15:57:38.313,424.0
2021-11-10 15:56:38.313,424.0
2021-11-10 15:55:39.558,425.0
2021-11-10 15:54:38.318,426.0
2021-11-10 15:53:38.314,427.0
2021-11-10 15:52:38.313,427.0
2021-11-10 15:51:38.317,426.0
2021-11-10 15:50:38.313,424.0
2021-11-10 15:49:38.316,424.0
2021-11-10 15:48:38.318,426.0
2021-11-10 15:47:38.316,426.0
2021-11-10 15:46:39.482,426.0
2021-11-10 15:45:38.318,425.0
2021-11-10 15:44:38.319,426.0
2021-11-10 15:43:38.335,426.0
2021-11-10 15:42:38.320,426.0
2021-11-10 15:41:38.323,426.0
2021-11-10 15:40:39.338,426.0
2021-11-10 15:39:38.321,427.0
2021-11-10 15:38:38.328,427.0
2021-11-10 15:37:38.321,426.0
2021-11-10 15:36:38.324,426.0
2021-11-10 15:35:38.321,427.0
2021-11-10 15:34:38.324,428.0
2021-11-10 15:33:39.488,429.0
2021-11-10 15:32:38.322,428.0
2021-11-10 15:31:38.328,430.0
2021-11-10 15:30:38.326,430.0
2021-11-10 15:29:39.492,430.0
2021-11-10 15:28:38.351,430.0
2021-11-10 15:27:38.325,430.0
2021-11-10 15:26:38.330,431.0
2021-11-10 15:25:38.326,431.0
2021-11-10 15:24:38.328,432.0
2021-11-10 15:23:38.323,431.0
2021-11-10 15:22:38.329,431.0
2021-11-10 15:21:38.325,430.0
2021-11-10 15:20:38.322,430.0
2021-11-10 15:19:38.325,430.0
2021-11-10 15:18:38.321,431.0
2021-11-10 15:17:38.322,431.0
2021-11-10 15:16:38.328,432.0
2021-11-10 15:15:38.324,431.0
2021-11-10 15:14:38.324,432.0
2021-11-10 15:13:38.325,432.0
2021-11-10 15:12:38.329,434.0
2021-11-10 15:11:38.323,435.0
2021-11-10 15:10:39.493,436.0
2021-11-10 15:09:38.326,437.0
2021-11-10 15:08:38.333,439.0
2021-11-10 15:07:38.323,442.0
2021-11-10 15:06:38.325,444.0
2021-11-10 15:05:38.330,446.0
