,s8lp,sen0220,t3022,mh-z14a,fluke
2021-07-02 18:00:00,404.0,402.0,428.0,485.0,412.0
2021-07-02 18:00:15,403.0,401.0,427.0,485.0,414.0
2021-07-02 18:00:30,404.0,401.5,426.0,485.0,419.0
2021-07-02 18:00:45,404.0,400.0,426.0,485.0,416.0
2021-07-02 18:01:00,402.0,401.0,425.0,485.0,414.0
2021-07-02 18:01:15,402.0,402.5,425.0,485.0,417.0
2021-07-02 18:01:30,403.0,402.0,426.0,485.0,417.0
2021-07-02 18:01:45,402.0,402.0,427.0,485.0,416.0
2021-07-02 18:02:00,402.0,404.0,427.0,485.0,414.0
2021-07-02 18:02:15,403.0,403.5,427.0,485.0,421.0
2021-07-02 18:02:30,403.0,403.0,427.0,485.0,423.0
2021-07-02 18:02:45,403.0,403.0,428.0,485.0,422.0
2021-07-02 18:03:00,403.0,402.5,428.0,484.0,417.0
2021-07-02 18:03:15,403.0,400.5,428.0,484.0,418.0
2021-07-02 18:03:30,403.0,402.0,428.0,484.0,420.0
2021-07-02 18:03:45,403.0,403.5,428.0,484.0,426.0
2021-07-02 18:04:00,402.0,404.0,428.0,484.0,419.0
2021-07-02 18:04:15,402.0,403.5,428.0,484.0,418.0
2021-07-02 18:04:30,,402.3333333333333,,,416.0
2021-07-02 18:04:45,401.0,401.0,429.0,485.0,417.0
2021-07-02 18:05:00,403.0,400.5,428.0,485.0,416.0
2021-07-02 18:05:15,401.0,400.0,428.0,485.0,417.0
2021-07-02 18:05:30,402.0,402.0,429.0,486.0,421.0
2021-07-02 18:05:45,402.0,402.0,429.0,486.0,419.0
2021-07-02 18:06:00,402.0,402.0,430.0,486.0,414.0
2021-07-02 18:06:15,402.0,402.6666666666667,430.0,486.0,410.0
2021-07-02 18:06:30,402.0,403.0,431.0,485.0,415.0
2021-07-02 18:06:45,402.0,403.0,430.0,485.0,414.0
2021-07-02 18:07:00,402.0,403.0,431.0,485.0,410.0
2021-07-02 18:07:15,401.0,402.0,431.0,485.0,407.0
2021-07-02 18:07:30,402.0,400.0,431.0,485.0,410.0
2021-07-02 18:07:45,402.0,401.0,430.0,485.0,419.0
2021-07-02 18:08:00,402.0,401.0,430.0,485.0,420.0
2021-07-02 18:08:15,402.0,402.0,430.0,485.0,421.0
2021-07-02 18:08:30,402.0,402.0,430.0,485.0,422.0
2021-07-02 18:08:45,402.0,403.0,428.0,484.0,418.0
2021-07-02 18:09:00,403.0,406.0,428.0,484.0,410.0
2021-07-02 18:09:15,403.0,405.0,428.0,485.0,415.0
2021-07-02 18:09:30,403.0,404.0,428.0,485.0,412.0
2021-07-02 18:09:45,403.0,402.3333333333333,429.0,485.0,414.0
2021-07-02 18:10:00,,402.0,,,416.0
2021-07-02 18:10:15,403.0,402.5,429.0,485.0,416.0
2021-07-02 18:10:30,403.0,404.0,429.0,485.0,406.0
2021-07-02 18:10:45,403.0,401.6666666666667,428.0,485.0,397.0
2021-07-02 18:11:00,403.0,400.0,428.0,485.0,403.0
2021-07-02 18:11:15,404.0,403.0,428.0,485.0,414.0
2021-07-02 18:11:30,404.0,402.0,427.0,485.0,418.0
2021-07-02 18:11:45,404.0,403.5,428.0,485.0,413.0
2021-07-02 18:12:00,404.0,404.0,430.0,485.0,413.0
2021-07-02 18:12:15,406.0,405.0,430.0,485.0,414.0
2021-07-02 18:12:30,405.0,404.5,431.0,485.0,414.0
2021-07-02 18:12:45,404.0,405.5,432.0,485.0,407.0
2021-07-02 18:13:00,404.0,406.5,432.0,485.0,407.0
2021-07-02 18:13:15,405.0,405.6666666666667,432.0,486.0,413.0
2021-07-02 18:13:30,405.0,405.5,432.0,486.0,416.0
2021-07-02 18:13:45,405.0,405.0,432.0,486.0,421.0
2021-07-02 18:14:00,405.0,405.5,433.0,486.0,426.0
2021-07-02 18:14:15,405.0,404.0,433.0,486.0,427.0
2021-07-02 18:14:30,405.0,402.5,433.0,487.0,420.0
2021-07-02 18:14:45,404.0,404.5,433.0,486.0,422.0
2021-07-02 18:15:00,404.0,404.6666666666667,432.0,486.0,423.0
2021-07-02 18:15:15,405.0,406.0,431.0,486.0,416.0
2021-07-02 18:15:30,404.0,405.0,432.0,486.0,412.0
2021-07-02 18:15:45,404.0,405.0,433.0,487.0,409.0
2021-07-02 18:16:00,404.0,404.3333333333333,433.0,487.0,415.0
2021-07-02 18:16:15,,405.0,,,412.0
2021-07-02 18:16:30,404.0,405.5,433.0,487.0,416.0
2021-07-02 18:16:45,404.0,405.6666666666667,433.0,487.0,415.0
2021-07-02 18:17:00,404.0,407.0,432.0,487.0,420.0
2021-07-02 18:17:15,404.0,407.0,431.0,487.0,415.0
2021-07-02 18:17:30,404.0,406.0,430.0,487.0,418.0
2021-07-02 18:17:45,405.0,405.0,429.0,487.0,416.0
2021-07-02 18:18:00,404.0,405.5,431.0,487.0,416.0
2021-07-02 18:18:15,405.0,407.0,432.0,487.0,408.0
2021-07-02 18:18:30,405.0,406.0,432.0,487.0,414.0
2021-07-02 18:18:45,404.0,404.0,431.0,487.0,410.0
2021-07-02 18:19:00,403.0,405.0,432.0,487.0,411.0
2021-07-02 18:19:15,403.0,403.5,432.0,487.0,402.0
2021-07-02 18:19:30,404.0,403.6666666666667,431.0,487.0,407.0
2021-07-02 18:19:45,404.0,404.0,431.0,487.0,412.0
2021-07-02 18:20:00,404.0,403.5,432.0,487.0,416.0
2021-07-02 18:20:15,404.0,404.0,433.0,487.0,414.0
2021-07-02 18:20:30,404.0,403.5,433.0,488.0,417.0
2021-07-02 18:20:45,404.0,405.5,433.0,489.0,411.0
2021-07-02 18:21:00,404.0,406.5,433.0,489.0,408.0
2021-07-02 18:21:15,,407.0,,,410.0
2021-07-02 18:21:30,404.0,407.5,432.0,490.0,407.0
2021-07-02 18:21:45,405.0,408.0,433.0,490.0,407.0
2021-07-02 18:22:00,405.0,408.0,433.0,490.0,408.0
2021-07-02 18:22:15,406.0,408.0,433.0,490.0,407.0
2021-07-02 18:22:30,405.0,409.0,433.0,490.0,406.0
2021-07-02 18:22:45,406.0,409.5,434.0,489.0,408.0
2021-07-02 18:23:00,406.0,410.0,433.0,489.0,411.0
2021-07-02 18:23:15,406.0,409.5,434.0,489.0,416.0
2021-07-02 18:23:30,406.0,410.0,434.0,490.0,419.0
2021-07-02 18:23:45,405.0,408.0,435.0,490.0,414.0
2021-07-02 18:24:00,405.0,407.5,435.0,490.0,414.0
2021-07-02 18:24:15,405.0,409.0,434.0,490.0,412.0
2021-07-02 18:24:30,405.0,409.0,433.0,490.0,415.0
2021-07-02 18:24:45,405.0,409.6666666666667,433.0,490.0,421.0
2021-07-02 18:25:00,405.0,410.5,434.0,490.0,424.0
2021-07-02 18:25:15,404.0,410.5,435.0,491.0,421.0
2021-07-02 18:25:30,405.0,409.6666666666667,435.0,491.0,422.0
2021-07-02 18:25:45,404.0,409.5,434.0,491.0,416.0
2021-07-02 18:26:00,405.0,409.0,433.0,491.0,417.0
2021-07-02 18:26:15,404.0,408.5,434.0,491.0,405.0
2021-07-02 18:26:30,404.0,406.6666666666667,434.0,491.0,414.0
2021-07-02 18:26:45,405.0,406.5,434.0,491.0,412.0
2021-07-02 18:27:00,405.0,406.0,433.0,491.0,409.0
2021-07-02 18:27:15,404.0,407.5,433.0,491.0,408.0
2021-07-02 18:27:30,,407.0,,,402.0
2021-07-02 18:27:45,405.0,405.0,431.0,491.0,406.0
2021-07-02 18:28:00,405.0,407.0,431.0,492.0,404.0
2021-07-02 18:28:15,405.0,406.3333333333333,431.0,492.0,403.0
2021-07-02 18:28:30,406.0,407.0,430.0,492.0,408.0
2021-07-02 18:28:45,405.0,406.5,432.0,492.0,412.0
2021-07-02 18:29:00,405.0,406.0,434.0,492.0,409.0
2021-07-02 18:29:15,406.0,406.0,434.0,491.0,407.0
2021-07-02 18:29:30,405.0,406.0,434.0,491.0,415.0
2021-07-02 18:29:45,406.0,406.0,435.0,491.0,422.0
2021-07-02 18:30:00,406.0,406.3333333333333,436.0,491.0,425.0
2021-07-02 18:30:15,406.0,405.5,436.0,491.0,416.0
2021-07-02 18:30:30,406.0,405.5,436.0,491.0,413.0
2021-07-02 18:30:45,405.0,405.6666666666667,436.0,491.0,412.0
2021-07-02 18:31:00,405.0,406.0,436.0,491.0,414.0
2021-07-02 18:31:15,405.0,405.0,436.0,491.0,414.0
2021-07-02 18:31:30,405.0,405.5,435.0,491.0,412.0
2021-07-02 18:31:45,405.0,405.6666666666667,435.0,491.0,413.0
2021-07-02 18:32:00,405.0,406.0,435.0,491.0,413.0
