Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
6/7/2021 12:42:25 a. m.,"381","27.2","57","871"
6/7/2021 12:43:25 a. m.,"381","27.2","57","871"
6/7/2021 12:44:25 a. m.,"381","27.2","57","871"
6/7/2021 12:45:25 a. m.,"381","27.2","57","871"
6/7/2021 12:46:25 a. m.,"416","27.3","57","871"
6/7/2021 12:47:25 a. m.,"416","27.3","57","871"
6/7/2021 12:48:25 a. m.,"416","27.3","57","871"
6/7/2021 12:49:25 a. m.,"416","27.3","57","871"
6/7/2021 12:50:25 a. m.,"416","27.3","57","871"
6/7/2021 12:51:25 a. m.,"394","27.3","57","870"
6/7/2021 12:52:25 a. m.,"394","27.3","57","870"
6/7/2021 12:53:25 a. m.,"394","27.3","57","870"
6/7/2021 12:54:25 a. m.,"394","27.3","57","870"
6/7/2021 12:55:25 a. m.,"394","27.3","57","870"
6/7/2021 12:56:25 a. m.,"468","27.2","57","870"
6/7/2021 12:57:25 a. m.,"468","27.2","57","870"
6/7/2021 12:58:25 a. m.,"468","27.2","57","870"
6/7/2021 12:59:25 a. m.,"468","27.2","57","870"
6/7/2021 1:00:25 a. m.,"468","27.2","57","870"
6/7/2021 1:01:25 a. m.,"506","27.3","57","870"
6/7/2021 1:02:25 a. m.,"506","27.3","57","870"
6/7/2021 1:03:25 a. m.,"506","27.3","57","870"
6/7/2021 1:04:25 a. m.,"506","27.3","57","870"
6/7/2021 1:05:25 a. m.,"506","27.3","57","870"
6/7/2021 1:06:25 a. m.,"437","27.3","57","870"
6/7/2021 1:07:25 a. m.,"437","27.3","57","870"
6/7/2021 1:08:25 a. m.,"437","27.3","57","870"
6/7/2021 1:09:25 a. m.,"437","27.3","57","870"
6/7/2021 1:10:25 a. m.,"437","27.3","57","870"
6/7/2021 1:11:25 a. m.,"403","27.2","57","870"
6/7/2021 1:12:25 a. m.,"403","27.2","57","870"
6/7/2021 1:13:25 a. m.,"403","27.2","57","870"
6/7/2021 1:14:25 a. m.,"403","27.2","57","870"
6/7/2021 1:15:25 a. m.,"403","27.2","57","870"
6/7/2021 1:16:25 a. m.,"425","27.2","57","870"
6/7/2021 1:17:25 a. m.,"425","27.2","57","870"
6/7/2021 1:18:25 a. m.,"425","27.2","57","870"
6/7/2021 1:19:25 a. m.,"425","27.2","57","870"
6/7/2021 1:20:25 a. m.,"425","27.2","57","870"
6/7/2021 1:21:25 a. m.,"384","27.2","57","870"
