,fluke,s8lp,sen0220,scd30
2021-09-24 01:00:00,1156.0,1141.0,1072.0,1122.0
2021-09-24 01:00:20,1150.0,1141.0,1072.0,1119.0
2021-09-24 01:00:40,1151.0,1141.0,1071.0,1119.0
2021-09-24 01:01:00,1150.0,1141.0,1073.0,1119.0
2021-09-24 01:01:20,1142.0,1141.0,1075.0,1119.0
2021-09-24 01:01:40,1128.0,1141.0,1074.0,1120.0
2021-09-24 01:02:00,1134.0,1141.0,1071.0,1118.0
2021-09-24 01:02:20,1150.0,1141.0,1073.0,1118.0
2021-09-24 01:02:40,1141.0,1141.0,1071.0,1119.0
2021-09-24 01:03:00,1146.0,1141.0,1074.0,1118.0
2021-09-24 01:03:20,1155.0,1141.0,1073.0,1117.0
2021-09-24 01:03:40,1146.0,1141.0,1075.0,1118.0
2021-09-24 01:04:00,1138.0,1141.0,1073.0,1118.0
2021-09-24 01:04:20,1140.0,1141.0,1074.0,1117.0
2021-09-24 01:04:40,1151.0,1140.0,1074.0,1116.0
2021-09-24 01:05:00,1150.0,1140.0,1071.0,1115.0
2021-09-24 01:05:20,1141.0,1140.0,1072.0,1113.0
2021-09-24 01:05:40,1143.0,1139.0,1075.0,1113.0
2021-09-24 01:06:00,1147.0,1140.0,1075.0,1113.0
2021-09-24 01:06:20,1146.0,1140.0,1073.0,1111.0
2021-09-24 01:06:40,1148.0,1139.0,1075.0,1111.0
2021-09-24 01:07:00,1157.0,1139.0,1071.0,1112.0
2021-09-24 01:07:20,1152.0,1139.0,1071.0,1110.0
2021-09-24 01:07:40,1138.0,1140.0,1071.0,1112.0
2021-09-24 01:08:00,1137.0,1141.0,1069.0,1110.0
2021-09-24 01:08:20,1156.0,1142.0,1072.0,1108.0
2021-09-24 01:08:40,1161.0,1141.0,1072.0,1109.0
2021-09-24 01:09:00,1156.0,1141.0,1070.0,1110.0
2021-09-24 01:09:20,1152.0,1142.0,1072.0,1109.0
2021-09-24 01:09:40,1140.0,1142.0,1070.0,1109.0
2021-09-24 01:10:00,1139.0,1142.0,1072.0,1108.0
2021-09-24 01:10:20,1140.0,1143.0,1072.0,1109.0
