Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,405 ppm,,,,30/07/2021 02:50:13 p. m.
2,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,405 ppm,,,,30/07/2021 02:50:14 p. m.
3,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,405 ppm,,,,30/07/2021 02:50:15 p. m.
4,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,405 ppm,,,,30/07/2021 02:50:16 p. m.
5,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,403 ppm,,,,30/07/2021 02:50:17 p. m.
6,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,403 ppm,,,,30/07/2021 02:50:18 p. m.
7,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,400 ppm,,,,30/07/2021 02:50:19 p. m.
8,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,400 ppm,,,,30/07/2021 02:50:20 p. m.
9,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,403 ppm,,,,30/07/2021 02:50:21 p. m.
10,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,403 ppm,,,,30/07/2021 02:50:22 p. m.
11,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,406 ppm,,,,30/07/2021 02:50:23 p. m.
12,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,406 ppm,,,,30/07/2021 02:50:24 p. m.
13,,28.8 °C,21.2 °C,18.3 °C,53.4 %,1 ppm,404 ppm,,,,30/07/2021 02:50:25 p. m.
14,,28.8 °C,21.2 °C,18.3 °C,53.5 %,1 ppm,404 ppm,,,,30/07/2021 02:50:26 p. m.
15,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,404 ppm,,,,30/07/2021 02:50:27 p. m.
16,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,404 ppm,,,,30/07/2021 02:50:28 p. m.
17,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,406 ppm,,,,30/07/2021 02:50:29 p. m.
18,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,406 ppm,,,,30/07/2021 02:50:30 p. m.
19,,28.8 °C,21.3 °C,18.4 °C,53.5 %,0 ppm,409 ppm,,,,30/07/2021 02:50:31 p. m.
20,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:50:32 p. m.
21,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:50:33 p. m.
22,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:50:34 p. m.
23,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:50:35 p. m.
24,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,409 ppm,,,,30/07/2021 02:50:36 p. m.
25,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,411 ppm,,,,30/07/2021 02:50:37 p. m.
26,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,411 ppm,,,,30/07/2021 02:50:38 p. m.
27,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,412 ppm,,,,30/07/2021 02:50:39 p. m.
28,,28.8 °C,21.3 °C,18.4 °C,53.5 %,1 ppm,412 ppm,,,,30/07/2021 02:50:40 p. m.
