Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,24.7 °C,15.7 °C,10.8 °C,41.9 %,0 ppm,410 ppm,,,,03/11/2021 01:36:25 p. m.
2,,24.7 °C,15.8 °C,10.9 °C,42.0 %,1 ppm,408 ppm,,,,03/11/2021 01:37:25 p. m.
3,,24.7 °C,15.9 °C,11.1 °C,42.5 %,0 ppm,441 ppm,,,,03/11/2021 01:38:25 p. m.
4,,24.8 °C,16.0 °C,11.2 °C,42.6 %,1 ppm,443 ppm,,,,03/11/2021 01:39:25 p. m.
5,,24.8 °C,16.1 °C,11.4 °C,43.1 %,1 ppm,427 ppm,,,,03/11/2021 01:40:25 p. m.
6,,24.8 °C,16.0 °C,11.3 °C,42.9 %,0 ppm,417 ppm,,,,03/11/2021 01:41:25 p. m.
7,,24.8 °C,15.9 °C,11.1 °C,42.4 %,1 ppm,411 ppm,,,,03/11/2021 01:42:25 p. m.
8,,24.8 °C,16.0 °C,11.3 °C,42.8 %,1 ppm,417 ppm,,,,03/11/2021 01:43:25 p. m.
9,,24.8 °C,16.1 °C,11.4 °C,43.1 %,0 ppm,419 ppm,,,,03/11/2021 01:44:25 p. m.
10,,24.8 °C,16.0 °C,11.2 °C,42.6 %,0 ppm,418 ppm,,,,03/11/2021 01:45:25 p. m.
11,,24.8 °C,15.9 °C,11.1 °C,42.4 %,1 ppm,415 ppm,,,,03/11/2021 01:46:25 p. m.
12,,24.8 °C,16.0 °C,11.2 °C,42.5 %,1 ppm,414 ppm,,,,03/11/2021 01:47:25 p. m.
13,,24.9 °C,16.0 °C,11.2 °C,42.3 %,0 ppm,421 ppm,,,,03/11/2021 01:48:25 p. m.
14,,24.9 °C,16.1 °C,11.4 °C,42.8 %,0 ppm,415 ppm,,,,03/11/2021 01:49:25 p. m.
15,,24.9 °C,16.2 °C,11.5 °C,43.2 %,1 ppm,409 ppm,,,,03/11/2021 01:50:25 p. m.
16,,24.9 °C,16.2 °C,11.5 °C,43.3 %,1 ppm,411 ppm,,,,03/11/2021 01:51:25 p. m.
17,,24.9 °C,16.1 °C,11.4 °C,42.9 %,0 ppm,407 ppm,,,,03/11/2021 01:52:25 p. m.
18,,24.9 °C,16.1 °C,11.5 °C,43.2 %,0 ppm,414 ppm,,,,03/11/2021 01:53:25 p. m.
19,,24.9 °C,15.9 °C,11.1 °C,42.2 %,1 ppm,405 ppm,,,,03/11/2021 01:54:25 p. m.
20,,24.9 °C,16.0 °C,11.2 °C,42.5 %,0 ppm,406 ppm,,,,03/11/2021 01:55:25 p. m.
21,,25.0 °C,16.2 °C,11.5 °C,43.0 %,1 ppm,416 ppm,,,,03/11/2021 01:56:25 p. m.
22,,25.0 °C,16.2 °C,11.5 °C,43.1 %,1 ppm,419 ppm,,,,03/11/2021 01:57:25 p. m.
23,,25.0 °C,16.2 °C,11.6 °C,43.3 %,1 ppm,407 ppm,,,,03/11/2021 01:58:25 p. m.
24,,25.0 °C,16.3 °C,11.7 °C,43.7 %,1 ppm,406 ppm,,,,03/11/2021 01:59:25 p. m.
25,,25.0 °C,16.4 °C,11.9 °C,44.0 %,1 ppm,416 ppm,,,,03/11/2021 02:00:25 p. m.
26,,25.0 °C,16.2 °C,11.6 °C,43.2 %,1 ppm,406 ppm,,,,03/11/2021 02:01:25 p. m.
27,,25.0 °C,16.3 °C,11.7 °C,43.5 %,0 ppm,395 ppm,,,,03/11/2021 02:02:25 p. m.
28,,25.0 °C,16.2 °C,11.6 °C,43.3 %,0 ppm,416 ppm,,,,03/11/2021 02:03:25 p. m.
29,,25.0 °C,16.2 °C,11.5 °C,42.9 %,1 ppm,399 ppm,,,,03/11/2021 02:04:25 p. m.
30,,25.0 °C,16.2 °C,11.5 °C,43.0 %,0 ppm,404 ppm,,,,03/11/2021 02:05:25 p. m.
31,,25.0 °C,16.2 °C,11.6 °C,43.2 %,0 ppm,403 ppm,,,,03/11/2021 02:06:25 p. m.
32,,25.0 °C,16.2 °C,11.4 °C,42.5 %,0 ppm,412 ppm,,,,03/11/2021 02:07:25 p. m.
33,,25.1 °C,16.4 °C,11.8 °C,43.5 %,1 ppm,399 ppm,,,,03/11/2021 02:08:25 p. m.
34,,25.1 °C,16.3 °C,11.7 °C,43.4 %,1 ppm,397 ppm,,,,03/11/2021 02:09:25 p. m.
35,,25.1 °C,16.0 °C,11.1 °C,41.7 %,1 ppm,405 ppm,,,,03/11/2021 02:10:25 p. m.
36,,25.1 °C,16.2 °C,11.4 °C,42.6 %,1 ppm,397 ppm,,,,03/11/2021 02:11:25 p. m.
37,,25.1 °C,16.2 °C,11.5 °C,42.7 %,1 ppm,388 ppm,,,,03/11/2021 02:12:25 p. m.
38,,25.1 °C,16.3 °C,11.6 °C,43.1 %,1 ppm,400 ppm,,,,03/11/2021 02:13:25 p. m.
39,,25.1 °C,16.2 °C,11.4 °C,42.5 %,1 ppm,402 ppm,,,,03/11/2021 02:14:25 p. m.
40,,25.1 °C,16.3 °C,11.6 °C,43.0 %,0 ppm,394 ppm,,,,03/11/2021 02:15:25 p. m.
41,,25.1 °C,16.3 °C,11.6 °C,43.1 %,1 ppm,410 ppm,,,,03/11/2021 02:16:25 p. m.
42,,25.1 °C,16.3 °C,11.6 °C,43.0 %,1 ppm,403 ppm,,,,03/11/2021 02:17:25 p. m.
43,,25.1 °C,16.3 °C,11.6 °C,43.0 %,0 ppm,396 ppm,,,,03/11/2021 02:18:25 p. m.
44,,25.1 °C,16.1 °C,11.2 °C,41.9 %,1 ppm,408 ppm,,,,03/11/2021 02:19:25 p. m.
