Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.2 °C,18.3 °C,15.2 °C,53.9 %,0 ppm,468 ppm,,,,18/10/2021 12:23:29 p. m.
2,,25.2 °C,18.1 °C,14.9 °C,53.1 %,0 ppm,459 ppm,,,,18/10/2021 12:24:29 p. m.
3,,25.1 °C,18.2 °C,15.0 °C,53.3 %,1 ppm,450 ppm,,,,18/10/2021 12:25:29 p. m.
4,,25.1 °C,18.1 °C,14.9 °C,53.4 %,1 ppm,451 ppm,,,,18/10/2021 12:26:29 p. m.
5,,25.1 °C,18.1 °C,14.9 °C,53.5 %,0 ppm,428 ppm,,,,18/10/2021 12:27:29 p. m.
6,,25.1 °C,18.0 °C,14.7 °C,52.8 %,1 ppm,435 ppm,,,,18/10/2021 12:28:29 p. m.
7,,25.1 °C,18.0 °C,14.7 °C,52.7 %,1 ppm,439 ppm,,,,18/10/2021 12:29:29 p. m.
8,,25.1 °C,18.0 °C,14.7 °C,52.6 %,1 ppm,434 ppm,,,,18/10/2021 12:30:29 p. m.
9,,25.1 °C,18.0 °C,14.7 °C,52.6 %,1 ppm,418 ppm,,,,18/10/2021 12:31:29 p. m.
10,,25.1 °C,18.0 °C,14.7 °C,52.7 %,0 ppm,421 ppm,,,,18/10/2021 12:32:29 p. m.
11,,25.1 °C,18.0 °C,14.7 °C,52.6 %,0 ppm,438 ppm,,,,18/10/2021 12:33:29 p. m.
12,,25.1 °C,17.9 °C,14.6 °C,52.5 %,1 ppm,423 ppm,,,,18/10/2021 12:34:29 p. m.
13,,25.2 °C,18.1 °C,14.8 °C,52.7 %,0 ppm,412 ppm,,,,18/10/2021 12:35:29 p. m.
14,,25.2 °C,18.1 °C,14.9 °C,52.9 %,1 ppm,434 ppm,,,,18/10/2021 12:36:29 p. m.
15,,25.2 °C,18.1 °C,14.8 °C,52.8 %,0 ppm,421 ppm,,,,18/10/2021 12:37:29 p. m.
