Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,27.4 °C,18.6 °C,14.5 °C,45.5 %,1 ppm,424 ppm,,,,23/07/2021 03:20:14 p. m.
2,,27.4 °C,18.6 °C,14.5 °C,45.6 %,1 ppm,423 ppm,,,,23/07/2021 03:20:15 p. m.
3,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,422 ppm,,,,23/07/2021 03:20:16 p. m.
4,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,422 ppm,,,,23/07/2021 03:20:17 p. m.
5,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,422 ppm,,,,23/07/2021 03:20:18 p. m.
6,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,422 ppm,,,,23/07/2021 03:20:19 p. m.
7,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,422 ppm,,,,23/07/2021 03:20:20 p. m.
8,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,423 ppm,,,,23/07/2021 03:20:21 p. m.
9,,27.4 °C,18.6 °C,14.6 °C,45.6 %,1 ppm,423 ppm,,,,23/07/2021 03:20:22 p. m.
10,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,423 ppm,,,,23/07/2021 03:20:23 p. m.
11,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,423 ppm,,,,23/07/2021 03:20:24 p. m.
12,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,423 ppm,,,,23/07/2021 03:20:25 p. m.
13,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,422 ppm,,,,23/07/2021 03:20:26 p. m.
14,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,423 ppm,,,,23/07/2021 03:20:27 p. m.
15,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,423 ppm,,,,23/07/2021 03:20:28 p. m.
16,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,424 ppm,,,,23/07/2021 03:20:29 p. m.
17,,27.4 °C,18.6 °C,14.6 °C,45.7 %,1 ppm,424 ppm,,,,23/07/2021 03:20:30 p. m.
18,,27.4 °C,18.6 °C,14.6 °C,45.8 %,1 ppm,426 ppm,,,,23/07/2021 03:20:31 p. m.
19,,27.4 °C,18.6 °C,14.6 °C,45.8 %,1 ppm,426 ppm,,,,23/07/2021 03:20:32 p. m.
20,,27.4 °C,18.6 °C,14.6 °C,45.8 %,1 ppm,428 ppm,,,,23/07/2021 03:20:33 p. m.
21,,27.4 °C,18.6 °C,14.6 °C,45.8 %,1 ppm,428 ppm,,,,23/07/2021 03:20:34 p. m.
22,,27.4 °C,18.6 °C,14.6 °C,45.9 %,1 ppm,429 ppm,,,,23/07/2021 03:20:35 p. m.
23,,27.4 °C,18.7 °C,14.7 °C,45.9 %,1 ppm,429 ppm,,,,23/07/2021 03:20:36 p. m.
24,,27.4 °C,18.7 °C,14.7 °C,45.9 %,1 ppm,430 ppm,,,,23/07/2021 03:20:37 p. m.
25,,27.4 °C,18.7 °C,14.7 °C,45.9 %,1 ppm,430 ppm,,,,23/07/2021 03:20:38 p. m.
26,,27.4 °C,18.7 °C,14.7 °C,45.9 %,1 ppm,426 ppm,,,,23/07/2021 03:20:39 p. m.
27,,27.4 °C,18.7 °C,14.7 °C,45.9 %,1 ppm,426 ppm,,,,23/07/2021 03:20:40 p. m.
28,,27.4 °C,18.7 °C,14.7 °C,46.0 %,1 ppm,422 ppm,,,,23/07/2021 03:20:41 p. m.
29,,27.4 °C,18.7 °C,14.7 °C,46.0 %,1 ppm,422 ppm,,,,23/07/2021 03:20:42 p. m.
30,,27.4 °C,18.7 °C,14.7 °C,46.0 %,1 ppm,422 ppm,,,,23/07/2021 03:20:43 p. m.
31,,27.4 °C,18.7 °C,14.7 °C,46.0 %,1 ppm,422 ppm,,,,23/07/2021 03:20:44 p. m.
32,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,421 ppm,,,,23/07/2021 03:20:45 p. m.
33,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,421 ppm,,,,23/07/2021 03:20:46 p. m.
34,,27.4 °C,18.7 °C,14.7 °C,46.2 %,1 ppm,421 ppm,,,,23/07/2021 03:20:47 p. m.
35,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,421 ppm,,,,23/07/2021 03:20:48 p. m.
36,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,420 ppm,,,,23/07/2021 03:20:49 p. m.
37,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,420 ppm,,,,23/07/2021 03:20:50 p. m.
38,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,420 ppm,,,,23/07/2021 03:20:51 p. m.
39,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,420 ppm,,,,23/07/2021 03:20:52 p. m.
40,,27.4 °C,18.7 °C,14.8 °C,46.1 %,1 ppm,422 ppm,,,,23/07/2021 03:20:53 p. m.
41,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,422 ppm,,,,23/07/2021 03:20:54 p. m.
42,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,424 ppm,,,,23/07/2021 03:20:55 p. m.
43,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,423 ppm,,,,23/07/2021 03:20:56 p. m.
44,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,428 ppm,,,,23/07/2021 03:20:57 p. m.
45,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,428 ppm,,,,23/07/2021 03:20:58 p. m.
46,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,430 ppm,,,,23/07/2021 03:20:59 p. m.
47,,27.4 °C,18.7 °C,14.7 °C,46.1 %,1 ppm,430 ppm,,,,23/07/2021 03:21:00 p. m.
48,,27.4 °C,18.7 °C,14.7 °C,46.2 %,1 ppm,434 ppm,,,,23/07/2021 03:21:01 p. m.
49,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,434 ppm,,,,23/07/2021 03:21:02 p. m.
50,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,437 ppm,,,,23/07/2021 03:21:03 p. m.
51,,27.4 °C,18.7 °C,14.8 °C,46.2 %,1 ppm,437 ppm,,,,23/07/2021 03:21:04 p. m.
52,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,439 ppm,,,,23/07/2021 03:21:05 p. m.
53,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,439 ppm,,,,23/07/2021 03:21:06 p. m.
54,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,443 ppm,,,,23/07/2021 03:21:07 p. m.
55,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,443 ppm,,,,23/07/2021 03:21:08 p. m.
56,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,445 ppm,,,,23/07/2021 03:21:09 p. m.
57,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,445 ppm,,,,23/07/2021 03:21:10 p. m.
58,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,447 ppm,,,,23/07/2021 03:21:11 p. m.
59,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,447 ppm,,,,23/07/2021 03:21:12 p. m.
60,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,449 ppm,,,,23/07/2021 03:21:13 p. m.
61,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,449 ppm,,,,23/07/2021 03:21:14 p. m.
62,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,453 ppm,,,,23/07/2021 03:21:15 p. m.
63,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,451 ppm,,,,23/07/2021 03:21:16 p. m.
64,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,454 ppm,,,,23/07/2021 03:21:17 p. m.
65,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,454 ppm,,,,23/07/2021 03:21:18 p. m.
66,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,459 ppm,,,,23/07/2021 03:21:19 p. m.
67,,27.4 °C,18.7 °C,14.8 °C,46.3 %,1 ppm,459 ppm,,,,23/07/2021 03:21:20 p. m.
68,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,465 ppm,,,,23/07/2021 03:21:21 p. m.
69,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,465 ppm,,,,23/07/2021 03:21:22 p. m.
70,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,470 ppm,,,,23/07/2021 03:21:23 p. m.
71,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,470 ppm,,,,23/07/2021 03:21:24 p. m.
72,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,476 ppm,,,,23/07/2021 03:21:25 p. m.
73,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,477 ppm,,,,23/07/2021 03:21:26 p. m.
74,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,481 ppm,,,,23/07/2021 03:21:27 p. m.
75,,27.4 °C,18.7 °C,14.8 °C,46.4 %,1 ppm,481 ppm,,,,23/07/2021 03:21:28 p. m.
76,,27.4 °C,18.7 °C,14.8 °C,46.5 %,1 ppm,486 ppm,,,,23/07/2021 03:21:29 p. m.
77,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,486 ppm,,,,23/07/2021 03:21:30 p. m.
78,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,489 ppm,,,,23/07/2021 03:21:31 p. m.
79,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,489 ppm,,,,23/07/2021 03:21:32 p. m.
80,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,493 ppm,,,,23/07/2021 03:21:33 p. m.
81,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,493 ppm,,,,23/07/2021 03:21:34 p. m.
82,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,495 ppm,,,,23/07/2021 03:21:35 p. m.
83,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,496 ppm,,,,23/07/2021 03:21:36 p. m.
84,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,497 ppm,,,,23/07/2021 03:21:37 p. m.
85,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,497 ppm,,,,23/07/2021 03:21:38 p. m.
86,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,501 ppm,,,,23/07/2021 03:21:39 p. m.
87,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,501 ppm,,,,23/07/2021 03:21:40 p. m.
88,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,504 ppm,,,,23/07/2021 03:21:41 p. m.
89,,27.4 °C,18.8 °C,14.9 °C,46.5 %,1 ppm,504 ppm,,,,23/07/2021 03:21:42 p. m.
90,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,506 ppm,,,,23/07/2021 03:21:43 p. m.
91,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,506 ppm,,,,23/07/2021 03:21:44 p. m.
92,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,507 ppm,,,,23/07/2021 03:21:45 p. m.
