Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,26.7 °C,20.9 °C,18.7 °C,61.70%,1 ppm,412 ppm,,,,25/06/2021 15:02
2,,26.7 °C,20.9 °C,18.7 °C,61.60%,1 ppm,411 ppm,,,,25/06/2021 15:03
3,,26.7 °C,20.8 °C,18.6 °C,61.60%,1 ppm,410 ppm,,,,25/06/2021 15:03
4,,26.7 °C,20.8 °C,18.6 °C,61.60%,1 ppm,407 ppm,,,,25/06/2021 15:03
5,,26.7 °C,20.8 °C,18.6 °C,61.30%,0 ppm,407 ppm,,,,25/06/2021 15:03
6,,26.7 °C,20.8 °C,18.6 °C,61.30%,0 ppm,407 ppm,,,,25/06/2021 15:03
7,,26.7 °C,20.8 °C,18.6 °C,61.30%,1 ppm,412 ppm,,,,25/06/2021 15:03
8,,26.7 °C,20.8 °C,18.6 °C,61.30%,1 ppm,414 ppm,,,,25/06/2021 15:04
9,,26.7 °C,20.8 °C,18.6 °C,61.30%,0 ppm,417 ppm,,,,25/06/2021 15:04
10,,26.7 °C,20.8 °C,18.6 °C,61.40%,0 ppm,416 ppm,,,,25/06/2021 15:04
11,,26.7 °C,20.8 °C,18.6 °C,61.40%,1 ppm,408 ppm,,,,25/06/2021 15:04
12,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,407 ppm,,,,25/06/2021 15:04
13,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,409 ppm,,,,25/06/2021 15:04
14,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,411 ppm,,,,25/06/2021 15:05
15,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,415 ppm,,,,25/06/2021 15:05
16,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,413 ppm,,,,25/06/2021 15:05
17,,26.8 °C,20.9 °C,18.7 °C,61.40%,0 ppm,407 ppm,,,,25/06/2021 15:05
18,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,408 ppm,,,,25/06/2021 15:05
19,,26.8 °C,20.9 °C,18.7 °C,61.40%,0 ppm,406 ppm,,,,25/06/2021 15:05
20,,26.8 °C,20.9 °C,18.7 °C,61.40%,0 ppm,405 ppm,,,,25/06/2021 15:06
21,,26.8 °C,20.9 °C,18.7 °C,61.40%,1 ppm,403 ppm,,,,25/06/2021 15:06
22,,26.8 °C,20.9 °C,18.7 °C,61.40%,0 ppm,400 ppm,,,,25/06/2021 15:06
23,,26.8 °C,21.0 °C,18.8 °C,61.40%,1 ppm,402 ppm,,,,25/06/2021 15:06
24,,26.9 °C,21.0 °C,18.8 °C,61.40%,1 ppm,407 ppm,,,,25/06/2021 15:06
25,,26.9 °C,20.9 °C,18.7 °C,61.40%,1 ppm,411 ppm,,,,25/06/2021 15:06
26,,26.8 °C,21.0 °C,18.8 °C,61.40%,1 ppm,421 ppm,,,,25/06/2021 15:07
27,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,425 ppm,,,,25/06/2021 15:07
28,,26.9 °C,21.0 °C,18.8 °C,61.40%,0 ppm,419 ppm,,,,25/06/2021 15:07
29,,26.9 °C,21.0 °C,18.8 °C,61.50%,0 ppm,421 ppm,,,,25/06/2021 15:07
30,,26.9 °C,21.0 °C,18.8 °C,61.40%,0 ppm,412 ppm,,,,25/06/2021 15:07
31,,26.9 °C,21.0 °C,18.8 °C,61.40%,1 ppm,404 ppm,,,,25/06/2021 15:07
32,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,408 ppm,,,,25/06/2021 15:08
33,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,407 ppm,,,,25/06/2021 15:08
34,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,408 ppm,,,,25/06/2021 15:08
35,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,414 ppm,,,,25/06/2021 15:08
36,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,408 ppm,,,,25/06/2021 15:08
37,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,405 ppm,,,,25/06/2021 15:08
38,,27.0 °C,21.0 °C,18.8 °C,61.50%,1 ppm,402 ppm,,,,25/06/2021 15:09
39,,26.9 °C,21.0 °C,18.8 °C,61.50%,1 ppm,398 ppm,,,,25/06/2021 15:09
40,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,403 ppm,,,,25/06/2021 15:09
41,,27.0 °C,21.1 °C,18.9 °C,61.60%,1 ppm,402 ppm,,,,25/06/2021 15:09
42,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,405 ppm,,,,25/06/2021 15:09
43,,27.0 °C,21.2 °C,19.0 °C,61.60%,0 ppm,410 ppm,,,,25/06/2021 15:09
44,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,410 ppm,,,,25/06/2021 15:10
45,,27.0 °C,21.1 °C,18.9 °C,61.60%,1 ppm,410 ppm,,,,25/06/2021 15:10
46,,27.0 °C,21.1 °C,18.9 °C,61.60%,1 ppm,410 ppm,,,,25/06/2021 15:10
47,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,415 ppm,,,,25/06/2021 15:10
48,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,419 ppm,,,,25/06/2021 15:10
49,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,420 ppm,,,,25/06/2021 15:10
50,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,416 ppm,,,,25/06/2021 15:11
51,,27.0 °C,21.1 °C,18.9 °C,61.60%,0 ppm,406 ppm,,,,25/06/2021 15:11
52,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,403 ppm,,,,25/06/2021 15:11
53,,27.0 °C,21.1 °C,18.9 °C,61.60%,1 ppm,403 ppm,,,,25/06/2021 15:11
54,,27.0 °C,21.2 °C,19.0 °C,61.60%,0 ppm,407 ppm,,,,25/06/2021 15:11
55,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,411 ppm,,,,25/06/2021 15:11
56,,27.0 °C,21.2 °C,19.0 °C,61.60%,1 ppm,413 ppm,,,,25/06/2021 15:12
57,,27.1 °C,21.2 °C,19.0 °C,61.60%,1 ppm,416 ppm,,,,25/06/2021 15:12
58,,27.0 °C,21.2 °C,19.0 °C,61.60%,0 ppm,412 ppm,,,,25/06/2021 15:12
59,,27.1 °C,21.2 °C,19.0 °C,61.70%,0 ppm,411 ppm,,,,25/06/2021 15:12
60,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,413 ppm,,,,25/06/2021 15:12
61,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,407 ppm,,,,25/06/2021 15:12
62,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,409 ppm,,,,25/06/2021 15:13
63,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,412 ppm,,,,25/06/2021 15:13
64,,27.1 °C,21.3 °C,19.1 °C,61.70%,0 ppm,412 ppm,,,,25/06/2021 15:13
65,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,413 ppm,,,,25/06/2021 15:13
66,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,416 ppm,,,,25/06/2021 15:13
67,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,410 ppm,,,,25/06/2021 15:13
68,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,409 ppm,,,,25/06/2021 15:14
69,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,406 ppm,,,,25/06/2021 15:14
70,,27.1 °C,21.3 °C,19.1 °C,61.70%,0 ppm,405 ppm,,,,25/06/2021 15:14
71,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,411 ppm,,,,25/06/2021 15:14
72,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,408 ppm,,,,25/06/2021 15:14
73,,27.1 °C,21.3 °C,19.1 °C,61.70%,0 ppm,412 ppm,,,,25/06/2021 15:14
74,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,407 ppm,,,,25/06/2021 15:15
75,,27.1 °C,21.3 °C,19.1 °C,61.70%,1 ppm,402 ppm,,,,25/06/2021 15:15
