Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,408 ppm,,,,26/07/2021 01:59:01 p. m.
2,,27.3 °C,19.4 °C,16.0 °C,50.2 %,0 ppm,408 ppm,,,,26/07/2021 01:59:02 p. m.
3,,27.3 °C,19.4 °C,16.0 °C,50.2 %,0 ppm,408 ppm,,,,26/07/2021 01:59:03 p. m.
4,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,410 ppm,,,,26/07/2021 01:59:04 p. m.
5,,27.3 °C,19.4 °C,16.0 °C,50.3 %,0 ppm,410 ppm,,,,26/07/2021 01:59:05 p. m.
6,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,408 ppm,,,,26/07/2021 01:59:06 p. m.
7,,27.3 °C,19.4 °C,16.0 °C,50.3 %,0 ppm,408 ppm,,,,26/07/2021 01:59:07 p. m.
8,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,407 ppm,,,,26/07/2021 01:59:08 p. m.
9,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,407 ppm,,,,26/07/2021 01:59:09 p. m.
10,,27.3 °C,19.4 °C,16.0 °C,50.2 %,0 ppm,407 ppm,,,,26/07/2021 01:59:10 p. m.
11,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,407 ppm,,,,26/07/2021 01:59:11 p. m.
12,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,407 ppm,,,,26/07/2021 01:59:12 p. m.
13,,27.3 °C,19.4 °C,16.0 °C,50.2 %,1 ppm,407 ppm,,,,26/07/2021 01:59:13 p. m.
14,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,408 ppm,,,,26/07/2021 01:59:14 p. m.
15,,27.3 °C,19.4 °C,16.0 °C,50.3 %,0 ppm,408 ppm,,,,26/07/2021 01:59:15 p. m.
16,,27.3 °C,19.4 °C,16.0 °C,50.3 %,0 ppm,408 ppm,,,,26/07/2021 01:59:16 p. m.
17,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,408 ppm,,,,26/07/2021 01:59:17 p. m.
18,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,407 ppm,,,,26/07/2021 01:59:18 p. m.
19,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,407 ppm,,,,26/07/2021 01:59:19 p. m.
20,,27.3 °C,19.4 °C,16.0 °C,50.3 %,0 ppm,407 ppm,,,,26/07/2021 01:59:20 p. m.
21,,27.3 °C,19.4 °C,16.0 °C,50.3 %,1 ppm,407 ppm,,,,26/07/2021 01:59:21 p. m.
22,,27.3 °C,19.4 °C,16.0 °C,50.4 %,1 ppm,405 ppm,,,,26/07/2021 01:59:22 p. m.
23,,27.3 °C,19.4 °C,16.0 °C,50.4 %,1 ppm,406 ppm,,,,26/07/2021 01:59:23 p. m.
24,,27.3 °C,19.4 °C,16.0 °C,50.4 %,1 ppm,407 ppm,,,,26/07/2021 01:59:24 p. m.
25,,27.3 °C,19.4 °C,16.0 °C,50.4 %,1 ppm,407 ppm,,,,26/07/2021 01:59:25 p. m.
26,,27.3 °C,19.4 °C,16.0 °C,50.5 %,0 ppm,408 ppm,,,,26/07/2021 01:59:26 p. m.
27,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,408 ppm,,,,26/07/2021 01:59:27 p. m.
28,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,406 ppm,,,,26/07/2021 01:59:28 p. m.
29,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,406 ppm,,,,26/07/2021 01:59:29 p. m.
30,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,407 ppm,,,,26/07/2021 01:59:30 p. m.
31,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,407 ppm,,,,26/07/2021 01:59:31 p. m.
32,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,407 ppm,,,,26/07/2021 01:59:32 p. m.
33,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,408 ppm,,,,26/07/2021 01:59:33 p. m.
34,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,408 ppm,,,,26/07/2021 01:59:34 p. m.
35,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,408 ppm,,,,26/07/2021 01:59:35 p. m.
36,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,410 ppm,,,,26/07/2021 01:59:36 p. m.
37,,27.3 °C,19.4 °C,16.1 °C,50.5 %,1 ppm,410 ppm,,,,26/07/2021 01:59:37 p. m.
38,,27.3 °C,19.4 °C,16.1 °C,50.6 %,1 ppm,408 ppm,,,,26/07/2021 01:59:38 p. m.
39,,27.4 °C,19.4 °C,16.1 °C,50.6 %,1 ppm,408 ppm,,,,26/07/2021 01:59:39 p. m.
40,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,409 ppm,,,,26/07/2021 01:59:40 p. m.
41,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,409 ppm,,,,26/07/2021 01:59:41 p. m.
42,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,410 ppm,,,,26/07/2021 01:59:42 p. m.
43,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,410 ppm,,,,26/07/2021 01:59:43 p. m.
44,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,412 ppm,,,,26/07/2021 01:59:44 p. m.
45,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,412 ppm,,,,26/07/2021 01:59:45 p. m.
46,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,413 ppm,,,,26/07/2021 01:59:46 p. m.
47,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,413 ppm,,,,26/07/2021 01:59:47 p. m.
48,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,416 ppm,,,,26/07/2021 01:59:48 p. m.
49,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,416 ppm,,,,26/07/2021 01:59:49 p. m.
50,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,419 ppm,,,,26/07/2021 01:59:50 p. m.
51,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,419 ppm,,,,26/07/2021 01:59:51 p. m.
52,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,421 ppm,,,,26/07/2021 01:59:52 p. m.
53,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,422 ppm,,,,26/07/2021 01:59:53 p. m.
54,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,424 ppm,,,,26/07/2021 01:59:54 p. m.
55,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,424 ppm,,,,26/07/2021 01:59:55 p. m.
56,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,428 ppm,,,,26/07/2021 01:59:56 p. m.
57,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,428 ppm,,,,26/07/2021 01:59:57 p. m.
58,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,430 ppm,,,,26/07/2021 01:59:58 p. m.
59,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,430 ppm,,,,26/07/2021 01:59:59 p. m.
60,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,434 ppm,,,,26/07/2021 02:00:00 p. m.
61,,27.4 °C,19.5 °C,16.2 °C,50.6 %,0 ppm,434 ppm,,,,26/07/2021 02:00:01 p. m.
62,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,439 ppm,,,,26/07/2021 02:00:02 p. m.
63,,27.4 °C,19.5 °C,16.2 °C,50.6 %,1 ppm,438 ppm,,,,26/07/2021 02:00:03 p. m.
64,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,443 ppm,,,,26/07/2021 02:00:04 p. m.
65,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,448 ppm,,,,26/07/2021 02:00:05 p. m.
66,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,448 ppm,,,,26/07/2021 02:00:06 p. m.
67,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,453 ppm,,,,26/07/2021 02:00:07 p. m.
68,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,453 ppm,,,,26/07/2021 02:00:08 p. m.
69,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,456 ppm,,,,26/07/2021 02:00:09 p. m.
70,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,456 ppm,,,,26/07/2021 02:00:10 p. m.
71,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,462 ppm,,,,26/07/2021 02:00:11 p. m.
72,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,462 ppm,,,,26/07/2021 02:00:12 p. m.
73,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,468 ppm,,,,26/07/2021 02:00:13 p. m.
74,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,468 ppm,,,,26/07/2021 02:00:14 p. m.
75,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,474 ppm,,,,26/07/2021 02:00:15 p. m.
76,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,474 ppm,,,,26/07/2021 02:00:16 p. m.
77,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,482 ppm,,,,26/07/2021 02:00:17 p. m.
78,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,482 ppm,,,,26/07/2021 02:00:18 p. m.
79,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,489 ppm,,,,26/07/2021 02:00:19 p. m.
80,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,489 ppm,,,,26/07/2021 02:00:20 p. m.
81,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,493 ppm,,,,26/07/2021 02:00:21 p. m.
82,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,493 ppm,,,,26/07/2021 02:00:22 p. m.
83,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,497 ppm,,,,26/07/2021 02:00:23 p. m.
84,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,497 ppm,,,,26/07/2021 02:00:24 p. m.
85,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,500 ppm,,,,26/07/2021 02:00:25 p. m.
86,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,500 ppm,,,,26/07/2021 02:00:26 p. m.
87,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,504 ppm,,,,26/07/2021 02:00:27 p. m.
88,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,504 ppm,,,,26/07/2021 02:00:28 p. m.
89,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,510 ppm,,,,26/07/2021 02:00:29 p. m.
90,,27.4 °C,19.5 °C,16.2 °C,50.8 %,0 ppm,510 ppm,,,,26/07/2021 02:00:30 p. m.
91,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,514 ppm,,,,26/07/2021 02:00:31 p. m.
92,,27.4 °C,19.5 °C,16.2 °C,50.8 %,0 ppm,514 ppm,,,,26/07/2021 02:00:32 p. m.
93,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,518 ppm,,,,26/07/2021 02:00:33 p. m.
