Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,470 ppm,,,,05/07/2021 02:35:08 p. m.
2,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,469 ppm,,,,05/07/2021 02:35:13 p. m.
3,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,472 ppm,,,,05/07/2021 02:35:18 p. m.
4,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,470 ppm,,,,05/07/2021 02:35:23 p. m.
5,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,471 ppm,,,,05/07/2021 02:35:28 p. m.
6,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,471 ppm,,,,05/07/2021 02:35:33 p. m.
7,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,471 ppm,,,,05/07/2021 02:35:38 p. m.
8,,26.4 °C,21.5 °C,19.7 °C,67.0 %,1 ppm,471 ppm,,,,05/07/2021 02:35:43 p. m.
9,,26.4 °C,21.5 °C,19.7 °C,67.1 %,1 ppm,473 ppm,,,,05/07/2021 02:35:48 p. m.
10,,26.5 °C,21.5 °C,19.8 °C,67.1 %,1 ppm,473 ppm,,,,05/07/2021 02:35:53 p. m.
11,,26.4 °C,21.5 °C,19.8 °C,67.1 %,1 ppm,467 ppm,,,,05/07/2021 02:35:58 p. m.
12,,26.5 °C,21.6 °C,19.9 °C,67.1 %,1 ppm,466 ppm,,,,05/07/2021 02:36:03 p. m.
13,,26.5 °C,21.6 °C,19.9 °C,67.1 %,1 ppm,464 ppm,,,,05/07/2021 02:36:08 p. m.
14,,26.5 °C,21.6 °C,19.8 °C,67.1 %,1 ppm,463 ppm,,,,05/07/2021 02:36:13 p. m.
15,,26.5 °C,21.6 °C,19.9 °C,67.1 %,1 ppm,463 ppm,,,,05/07/2021 02:36:18 p. m.
16,,26.5 °C,21.6 °C,19.9 °C,67.2 %,1 ppm,468 ppm,,,,05/07/2021 02:36:23 p. m.
17,,26.5 °C,21.6 °C,19.9 °C,67.2 %,1 ppm,473 ppm,,,,05/07/2021 02:36:28 p. m.
18,,26.5 °C,21.6 °C,19.9 °C,67.2 %,1 ppm,480 ppm,,,,05/07/2021 02:36:33 p. m.
19,,26.5 °C,21.6 °C,19.9 °C,67.2 %,1 ppm,485 ppm,,,,05/07/2021 02:36:38 p. m.
20,,26.5 °C,21.6 °C,19.9 °C,67.2 %,1 ppm,490 ppm,,,,05/07/2021 02:36:43 p. m.
21,,26.5 °C,21.6 °C,19.9 °C,67.3 %,1 ppm,496 ppm,,,,05/07/2021 02:36:48 p. m.
22,,26.5 °C,21.6 °C,19.9 °C,67.3 %,0 ppm,501 ppm,,,,05/07/2021 02:36:53 p. m.
23,,26.5 °C,21.6 °C,19.9 °C,67.3 %,1 ppm,505 ppm,,,,05/07/2021 02:36:58 p. m.
24,,26.5 °C,21.6 °C,19.9 °C,67.3 %,0 ppm,508 ppm,,,,05/07/2021 02:37:03 p. m.
25,,26.5 °C,21.6 °C,19.9 °C,67.4 %,1 ppm,515 ppm,,,,05/07/2021 02:37:08 p. m.
26,,26.5 °C,21.6 °C,19.9 °C,67.4 %,1 ppm,516 ppm,,,,05/07/2021 02:37:13 p. m.
27,,26.5 °C,21.6 °C,19.9 °C,67.4 %,1 ppm,522 ppm,,,,05/07/2021 02:37:18 p. m.
28,,26.5 °C,21.6 °C,19.9 °C,67.5 %,1 ppm,526 ppm,,,,05/07/2021 02:37:23 p. m.
29,,26.5 °C,21.6 °C,19.9 °C,67.5 %,1 ppm,526 ppm,,,,05/07/2021 02:37:28 p. m.
30,,26.5 °C,21.6 °C,19.9 °C,67.5 %,1 ppm,532 ppm,,,,05/07/2021 02:37:33 p. m.
31,,26.5 °C,21.6 °C,19.9 °C,67.5 %,1 ppm,539 ppm,,,,05/07/2021 02:37:38 p. m.
