FLUX RECORD TRACKS,,,,,,,,,
#,sec,CH4,H2S,CO2,Cell_T.,Pressure,Battery,AirT,BarP
1,0.18,2.1,0.121749,417.96091,50.88559,874.11499,15.057077,29.350695,877.3111
2,1.18,2.1,0.12342,385.55127,50.88559,867.29675,15.053633,29.350695,877.31018
3,2.18,2.1,0.133705,338.14825,50.88559,863.20563,15.050187,29.347221,877.30164
4,3.18,2.2,0.147332,625.39252,50.88559,859.9328,15.046004,29.347918,877.30237
5,4.18,2.1,0.151391,597.43158,50.88559,860.88739,15.042436,29.347918,877.30286
6,5.18,2.1,0.152352,531.63287,50.859497,860.34192,15.038006,29.348612,877.3031
7,6.18,2.1,0.15426,545.15656,50.859497,860.20563,15.034068,29.347918,877.30035
8,7.18,2.2,0.156892,571.93042,50.88559,860.20563,15.030131,29.35,877.30347
9,8.18,2.1,0.158563,588.27014,50.88559,860.34192,15.026686,29.350695,877.3053
10,9.18,2.1,0.160478,584.42572,50.88559,860.47839,15.022872,29.348612,877.29999
11,10.18,2.1,0.160241,614.03967,50.859497,860.61469,15.019058,29.348612,877.29852
12,11.18,2.1,0.160958,605.28851,50.859497,860.61469,15.015244,29.350695,877.29871
13,12.18,2.1,0.162393,587.66412,50.859497,860.75104,15.010569,29.35,877.29871
14,13.18,2.2,0.164544,591.76318,50.859497,860.75104,15.006878,29.350695,877.29932
15,14.18,2.2,0.165261,575.16693,50.859497,860.75104,15.002572,29.351389,877.29913
16,15.18,2,0.164544,567.40875,50.859497,860.75104,14.998388,29.350695,877.29712
17,16.18,2.1,0.163827,567.26709,50.859497,860.75104,14.994452,29.350695,877.29681
18,17.18,2.1,0.164544,580.90381,50.859497,860.75104,14.990145,29.351389,877.29773
19,18.18,2.2,0.163827,562.15521,50.859497,860.75104,14.985592,29.352083,877.30121
20,19.18,2.1,0.16311,567.76593,50.859497,860.75104,14.981407,29.351389,877.29913
21,20.18,2.1,0.162393,571.36469,50.859497,860.88739,14.976608,29.354166,877.30286
22,21.18,2,0.161676,560.35767,50.859497,860.88739,14.972548,29.352777,877.30023
23,22.18,2.1,0.161432,563.84772,50.859497,860.75104,14.967626,29.354166,877.30188
24,23.18,2.2,0.159997,563.05499,50.859497,860.75104,14.963074,29.352777,877.29834
25,24.18,2.1,0.159997,563.14917,50.859497,860.88739,14.958521,29.352083,877.29877
26,25.18,2.1,0.15928,559.1651,50.833462,860.88739,14.95323,29.352777,877.30072
27,26.18,2.1,0.159997,561.33807,50.833462,860.88739,14.948184,29.352083,877.29877
28,27.18,2.1,0.158563,563.08929,50.833462,860.88739,14.943385,29.353472,877.29877
29,28.18,2.1,0.158807,558.86212,50.833462,860.88739,14.938463,29.352083,877.29138
30,29.18,2.2,0.156892,564.46332,50.833462,860.88739,14.93428,29.351389,877.29138
31,30.18,2.1,0.157845,564.4306,50.833462,860.88739,14.929851,29.350695,877.28906
32,31.18,2.1,0.155694,565.05786,50.833462,860.88739,14.925052,29.352083,877.29156
33,32.18,2.1,0.155938,565.40033,50.833462,860.88739,14.919884,29.353472,877.29321
34,33.18,2.1,0.153306,567.38788,50.833462,860.88739,14.915085,29.355556,877.29706
35,34.18,2.1,0.153786,567.24817,50.833462,860.88739,14.910409,29.355556,877.29706
36,35.18,2.2,0.15474,567.26489,50.833462,860.88739,14.905979,29.356251,877.29559
37,36.18,2.1,0.153543,566.17285,50.833462,860.88739,14.90118,29.356251,877.29608
38,37.18,2.1,0.153069,567.41571,50.833462,860.88739,14.896134,29.359722,877.30182
