ts,s8lp,sen0220,scd30
2021-09-04 19:00:00,431.0,444.0,417.0
2021-09-04 19:01:00,431.0,444.0,418.0
2021-09-04 19:02:00,431.0,444.0,419.0
2021-09-04 19:03:00,431.0,445.0,420.0
2021-09-04 19:04:00,431.0,446.0,421.0
2021-09-04 19:05:00,431.0,445.0,422.0
2021-09-04 19:06:00,431.0,445.0,421.0
2021-09-04 19:07:00,431.0,446.0,420.0
2021-09-04 19:08:00,431.0,446.0,419.0
2021-09-04 19:09:00,431.0,446.0,419.0
2021-09-04 19:10:00,431.0,447.0,419.0
2021-09-04 19:11:00,432.0,447.0,418.0
2021-09-04 19:12:00,432.0,447.0,418.0
2021-09-04 19:13:00,432.0,447.0,417.0
2021-09-04 19:14:00,432.0,448.0,418.0
2021-09-04 19:15:00,432.0,448.0,418.0
2021-09-04 19:16:00,432.0,448.0,419.0
2021-09-04 19:17:00,432.0,448.0,420.0
2021-09-04 19:18:00,432.0,447.0,420.0
2021-09-04 19:19:00,432.0,447.0,419.0
2021-09-04 19:20:00,432.0,447.0,419.0
2021-09-04 19:21:00,433.0,448.0,418.0
2021-09-04 19:22:00,433.0,448.0,419.0
2021-09-04 19:23:00,432.0,447.0,420.0
2021-09-04 19:24:00,432.0,448.0,421.0
2021-09-04 19:25:00,432.0,449.0,420.0
2021-09-04 19:26:00,433.0,449.0,421.0
2021-09-04 19:27:00,433.0,449.0,421.0
2021-09-04 19:28:00,434.0,449.0,420.0
2021-09-04 19:29:00,435.0,449.0,418.0
2021-09-04 19:30:00,435.0,449.0,418.0
2021-09-04 19:31:00,435.0,449.0,418.0
2021-09-04 19:32:00,435.0,449.0,419.0
2021-09-04 19:33:00,436.0,448.0,419.0
2021-09-04 19:34:00,435.0,449.0,421.0
2021-09-04 19:35:00,434.0,451.0,422.0
2021-09-04 19:36:00,434.0,450.0,423.0
2021-09-04 19:37:00,434.0,449.0,422.0
2021-09-04 19:38:00,434.0,449.0,422.0
2021-09-04 19:39:00,434.0,448.0,421.0
2021-09-04 19:40:00,434.0,449.0,421.0
2021-09-04 19:41:00,434.0,449.0,422.0
2021-09-04 19:42:00,434.0,450.0,421.0
2021-09-04 19:43:00,434.0,451.0,422.0
2021-09-04 19:44:00,435.0,450.0,423.0
2021-09-04 19:45:00,435.0,449.0,424.0
2021-09-04 19:46:00,435.0,449.0,424.0
2021-09-04 19:47:00,436.0,450.0,424.0
2021-09-04 19:48:00,436.0,450.0,424.0
2021-09-04 19:49:00,435.0,450.0,424.0
2021-09-04 19:50:00,436.0,450.0,425.0
2021-09-04 19:51:00,436.0,449.0,425.0
2021-09-04 19:52:00,436.0,450.0,425.0
2021-09-04 19:53:00,436.0,450.0,424.0
2021-09-04 19:54:00,436.0,450.0,423.0
2021-09-04 19:55:00,435.0,450.0,423.0
2021-09-04 19:56:00,435.0,450.0,422.0
2021-09-04 19:57:00,435.0,450.0,424.0
2021-09-04 19:58:00,435.0,450.0,424.0
2021-09-04 19:59:00,435.0,450.0,425.0
2021-09-04 20:00:00,435.0,451.0,425.0
2021-09-04 20:01:00,435.0,451.0,425.0
2021-09-04 20:02:00,435.0,451.0,426.0
2021-09-04 20:03:00,435.0,451.0,426.0
2021-09-04 20:04:00,436.0,450.0,426.0
2021-09-04 20:05:00,437.0,451.0,426.0
2021-09-04 20:06:00,437.0,450.0,426.0
2021-09-04 20:07:00,437.0,451.0,426.0
2021-09-04 20:08:00,437.0,451.0,425.0
2021-09-04 20:09:00,438.0,451.0,424.0
2021-09-04 20:10:00,438.0,451.0,423.0
2021-09-04 20:11:00,438.0,452.0,421.0
2021-09-04 20:12:00,438.0,451.0,420.0
2021-09-04 20:13:00,438.0,451.0,420.0
2021-09-04 20:14:00,438.0,451.0,420.0
2021-09-04 20:15:00,438.0,452.0,421.0
2021-09-04 20:16:00,438.0,451.0,422.0
2021-09-04 20:17:00,438.0,451.0,423.0
2021-09-04 20:18:00,437.0,451.0,423.0
2021-09-04 20:19:00,437.0,451.0,423.0
2021-09-04 20:20:00,437.0,451.0,424.0
2021-09-04 20:21:00,436.0,452.0,425.0
2021-09-04 20:22:00,436.0,452.0,426.0
2021-09-04 20:23:00,436.0,451.0,427.0
2021-09-04 20:24:00,438.0,451.0,426.0
2021-09-04 20:25:00,437.0,451.0,425.0
2021-09-04 20:26:00,437.0,452.0,425.0
2021-09-04 20:27:00,437.0,452.0,424.0
2021-09-04 20:28:00,437.0,452.0,422.0
2021-09-04 20:29:00,437.0,452.0,421.0
2021-09-04 20:30:00,437.0,453.0,421.0
2021-09-04 20:31:00,436.0,452.0,420.0
2021-09-04 20:32:00,437.0,453.0,420.0
2021-09-04 20:33:00,437.0,451.0,420.0
2021-09-04 20:34:00,437.0,452.0,421.0
2021-09-04 20:35:00,437.0,452.0,421.0
2021-09-04 20:36:00,438.0,452.0,421.0
2021-09-04 20:37:00,438.0,453.0,421.0
2021-09-04 20:38:00,438.0,452.0,421.0
2021-09-04 20:39:00,439.0,453.0,420.0
2021-09-04 20:40:00,440.0,454.0,422.0
2021-09-04 20:41:00,440.0,453.0,424.0
2021-09-04 20:42:00,441.0,453.0,426.0
2021-09-04 20:43:00,441.0,453.0,427.0
2021-09-04 20:44:00,441.0,453.0,428.0
2021-09-04 20:45:00,441.0,453.0,428.0
2021-09-04 20:46:00,441.0,454.0,427.0
2021-09-04 20:47:00,440.0,455.0,425.0
2021-09-04 20:48:00,440.0,455.0,425.0
2021-09-04 20:49:00,439.0,454.0,427.0
2021-09-04 20:50:00,440.0,454.0,429.0
2021-09-04 20:51:00,440.0,455.0,429.0
2021-09-04 20:52:00,441.0,455.0,429.0
2021-09-04 20:53:00,441.0,454.0,428.0
2021-09-04 20:54:00,441.0,455.0,427.0
2021-09-04 20:55:00,441.0,456.0,426.0
2021-09-04 20:56:00,440.0,456.0,426.0
2021-09-04 20:57:00,439.0,456.0,427.0
2021-09-04 20:58:00,440.0,456.0,428.0
2021-09-04 20:59:00,439.0,456.0,428.0
2021-09-04 21:00:00,439.0,456.0,429.0
2021-09-04 21:01:00,440.0,456.0,428.0
2021-09-04 21:02:00,441.0,456.0,429.0
2021-09-04 21:03:00,441.0,456.0,428.0
2021-09-04 21:04:00,441.0,456.0,429.0
2021-09-04 21:05:00,442.0,456.0,430.0
2021-09-04 21:06:00,442.0,457.0,430.0
2021-09-04 21:07:00,442.0,456.0,431.0
2021-09-04 21:08:00,442.0,456.0,432.0
2021-09-04 21:09:00,443.0,456.0,433.0
2021-09-04 21:10:00,443.0,456.0,433.0
2021-09-04 21:11:00,443.0,456.0,433.0
2021-09-04 21:12:00,443.0,457.0,434.0
2021-09-04 21:13:00,443.0,457.0,434.0
2021-09-04 21:14:00,442.0,457.0,435.0
2021-09-04 21:15:00,442.0,457.0,434.0
2021-09-04 21:16:00,442.0,458.0,432.0
2021-09-04 21:17:00,443.0,457.0,430.0
2021-09-04 21:18:00,444.0,457.0,429.0
2021-09-04 21:19:00,445.0,458.0,430.0
2021-09-04 21:20:00,445.0,458.0,431.0
2021-09-04 21:21:00,445.0,459.0,432.0
2021-09-04 21:22:00,446.0,459.0,434.0
2021-09-04 21:23:00,446.0,459.0,435.0
2021-09-04 21:24:00,446.0,460.0,436.0
2021-09-04 21:25:00,446.0,460.0,436.0
2021-09-04 21:26:00,447.0,461.0,435.0
2021-09-04 21:27:00,448.0,462.0,435.0
2021-09-04 21:28:00,448.0,462.0,434.0
2021-09-04 21:29:00,448.0,462.0,434.0
2021-09-04 21:30:00,449.0,461.0,434.0
2021-09-04 21:31:00,449.0,461.0,433.0
2021-09-04 21:32:00,450.0,462.0,433.0
2021-09-04 21:33:00,450.0,463.0,432.0
2021-09-04 21:34:00,450.0,463.0,432.0
2021-09-04 21:35:00,450.0,463.0,433.0
2021-09-04 21:36:00,450.0,463.0,433.0
2021-09-04 21:37:00,450.0,464.0,433.0
2021-09-04 21:38:00,450.0,464.0,433.0
2021-09-04 21:39:00,451.0,464.0,434.0
2021-09-04 21:40:00,451.0,465.0,435.0
2021-09-04 21:41:00,451.0,465.0,435.0
2021-09-04 21:42:00,452.0,465.0,435.0
2021-09-04 21:43:00,452.0,465.0,436.0
2021-09-04 21:44:00,452.0,465.0,436.0
2021-09-04 21:45:00,452.0,466.0,437.0
2021-09-04 21:46:00,451.0,466.0,440.0
2021-09-04 21:47:00,452.0,466.0,441.0
2021-09-04 21:48:00,453.0,465.0,441.0
2021-09-04 21:49:00,454.0,466.0,443.0
2021-09-04 21:50:00,453.0,466.0,443.0
2021-09-04 21:51:00,453.0,466.0,443.0
2021-09-04 21:52:00,453.0,466.0,443.0
2021-09-04 21:53:00,454.0,467.0,443.0
2021-09-04 21:54:00,454.0,467.0,443.0
2021-09-04 21:55:00,454.0,468.0,445.0
2021-09-04 21:56:00,455.0,469.0,445.0
2021-09-04 21:57:00,456.0,469.0,444.0
2021-09-04 21:58:00,457.0,469.0,446.0
2021-09-04 21:59:00,457.0,469.0,447.0
2021-09-04 22:00:00,456.0,470.0,448.0
2021-09-04 22:01:00,457.0,470.0,449.0
2021-09-04 22:02:00,457.0,471.0,448.0
2021-09-04 22:03:00,457.0,471.0,448.0
2021-09-04 22:04:00,457.0,470.0,448.0
2021-09-04 22:05:00,457.0,470.0,447.0
2021-09-04 22:06:00,457.0,470.0,448.0
2021-09-04 22:07:00,458.0,470.0,449.0
2021-09-04 22:08:00,459.0,471.0,450.0
2021-09-04 22:09:00,460.0,471.0,449.0
2021-09-04 22:10:00,461.0,472.0,450.0
2021-09-04 22:11:00,461.0,472.0,449.0
2021-09-04 22:12:00,461.0,472.0,448.0
2021-09-04 22:13:00,461.0,472.0,446.0
2021-09-04 22:14:00,461.0,473.0,445.0
2021-09-04 22:15:00,461.0,473.0,444.0
2021-09-04 22:16:00,461.0,474.0,445.0
2021-09-04 22:17:00,462.0,474.0,445.0
2021-09-04 22:18:00,463.0,473.0,445.0
2021-09-04 22:19:00,463.0,474.0,445.0
2021-09-04 22:20:00,462.0,475.0,445.0
2021-09-04 22:21:00,462.0,474.0,445.0
2021-09-04 22:22:00,463.0,476.0,444.0
2021-09-04 22:23:00,464.0,475.0,444.0
2021-09-04 22:24:00,464.0,476.0,445.0
2021-09-04 22:25:00,464.0,476.0,445.0
2021-09-04 22:26:00,464.0,476.0,446.0
2021-09-04 22:27:00,464.0,476.0,447.0
2021-09-04 22:28:00,463.0,477.0,449.0
2021-09-04 22:29:00,464.0,477.0,449.0
2021-09-04 22:30:00,465.0,477.0,450.0
2021-09-04 22:31:00,466.0,477.0,451.0
2021-09-04 22:32:00,466.0,477.0,452.0
2021-09-04 22:33:00,466.0,477.0,452.0
2021-09-04 22:34:00,466.0,478.0,454.0
2021-09-04 22:35:00,467.0,478.0,454.0
2021-09-04 22:36:00,467.0,479.0,454.0
2021-09-04 22:37:00,468.0,479.0,454.0
2021-09-04 22:38:00,469.0,479.0,455.0
2021-09-04 22:39:00,470.0,480.0,454.0
2021-09-04 22:40:00,470.0,481.0,453.0
2021-09-04 22:41:00,470.0,481.0,454.0
2021-09-04 22:42:00,470.0,481.0,455.0
2021-09-04 22:43:00,469.0,481.0,454.0
2021-09-04 22:44:00,469.0,482.0,453.0
2021-09-04 22:45:00,469.0,482.0,453.0
2021-09-04 22:46:00,470.0,482.0,453.0
2021-09-04 22:47:00,470.0,483.0,453.0
2021-09-04 22:48:00,471.0,483.0,454.0
2021-09-04 22:49:00,472.0,483.0,453.0
2021-09-04 22:50:00,472.0,483.0,454.0
2021-09-04 22:51:00,472.0,483.0,454.0
2021-09-04 22:52:00,473.0,483.0,455.0
2021-09-04 22:53:00,473.0,484.0,456.0
2021-09-04 22:54:00,474.0,484.0,457.0
2021-09-04 22:55:00,475.0,484.0,458.0
2021-09-04 22:56:00,475.0,485.0,459.0
2021-09-04 22:57:00,475.0,485.0,459.0
2021-09-04 22:58:00,475.0,484.0,457.0
2021-09-04 22:59:00,474.0,485.0,457.0
2021-09-04 23:00:00,474.0,485.0,457.0
2021-09-04 23:01:00,474.0,485.0,459.0
2021-09-04 23:02:00,474.0,486.0,460.0
2021-09-04 23:03:00,474.0,486.0,458.0
2021-09-04 23:04:00,474.0,486.0,457.0
2021-09-04 23:05:00,474.0,486.0,457.0
2021-09-04 23:06:00,475.0,486.0,458.0
2021-09-04 23:07:00,476.0,486.0,459.0
2021-09-04 23:08:00,476.0,486.0,461.0
2021-09-04 23:09:00,476.0,486.0,462.0
2021-09-04 23:10:00,477.0,487.0,462.0
2021-09-04 23:11:00,477.0,487.0,461.0
2021-09-04 23:12:00,478.0,487.0,461.0
2021-09-04 23:13:00,478.0,487.0,462.0
2021-09-04 23:14:00,478.0,488.0,462.0
2021-09-04 23:15:00,478.0,489.0,465.0
2021-09-04 23:16:00,479.0,489.0,465.0
2021-09-04 23:17:00,479.0,490.0,467.0
2021-09-04 23:18:00,479.0,491.0,470.0
2021-09-04 23:19:00,479.0,491.0,469.0
2021-09-04 23:20:00,480.0,491.0,468.0
2021-09-04 23:21:00,481.0,491.0,467.0
2021-09-04 23:22:00,481.0,491.0,469.0
2021-09-04 23:23:00,481.0,491.0,471.0
2021-09-04 23:24:00,479.0,492.0,469.0
2021-09-04 23:25:00,479.0,492.0,470.0
2021-09-04 23:26:00,479.0,492.0,470.0
2021-09-04 23:27:00,480.0,492.0,469.0
2021-09-04 23:28:00,481.0,493.0,469.0
2021-09-04 23:29:00,481.0,492.0,469.0
2021-09-04 23:30:00,482.0,492.0,468.0
2021-09-04 23:31:00,483.0,494.0,469.0
2021-09-04 23:32:00,482.0,494.0,470.0
2021-09-04 23:33:00,482.0,493.0,473.0
2021-09-04 23:34:00,483.0,492.0,473.0
2021-09-04 23:35:00,483.0,492.0,473.0
2021-09-04 23:36:00,484.0,492.0,475.0
2021-09-04 23:37:00,485.0,492.0,476.0
2021-09-04 23:38:00,485.0,493.0,477.0
2021-09-04 23:39:00,486.0,494.0,478.0
2021-09-04 23:40:00,487.0,495.0,480.0
2021-09-04 23:41:00,488.0,495.0,481.0
2021-09-04 23:42:00,488.0,494.0,482.0
2021-09-04 23:43:00,488.0,495.0,482.0
2021-09-04 23:44:00,488.0,495.0,482.0
2021-09-04 23:45:00,488.0,496.0,481.0
2021-09-04 23:46:00,487.0,496.0,480.0
2021-09-04 23:47:00,486.0,496.0,480.0
2021-09-04 23:48:00,486.0,497.0,481.0
2021-09-04 23:49:00,486.0,496.0,481.0
2021-09-04 23:50:00,487.0,497.0,481.0
2021-09-04 23:51:00,487.0,497.0,481.0
2021-09-04 23:52:00,487.0,498.0,482.0
2021-09-04 23:53:00,488.0,498.0,481.0
2021-09-04 23:54:00,487.0,498.0,481.0
2021-09-04 23:55:00,488.0,498.0,482.0
2021-09-04 23:56:00,488.0,499.0,482.0
2021-09-04 23:57:00,488.0,499.0,481.0
2021-09-04 23:58:00,489.0,500.0,479.0
2021-09-04 23:59:00,490.0,499.0,476.0
2021-09-05 00:00:00,491.0,500.0,476.0
2021-09-05 00:01:00,491.0,500.0,476.0
2021-09-05 00:02:00,492.0,499.0,477.0
2021-09-05 00:03:00,492.0,500.0,476.0
2021-09-05 00:04:00,493.0,500.0,475.0
2021-09-05 00:05:00,493.0,501.0,475.0
2021-09-05 00:06:00,493.0,500.0,476.0
2021-09-05 00:07:00,493.0,501.0,477.0
2021-09-05 00:08:00,492.0,501.0,477.0
2021-09-05 00:09:00,493.0,501.0,476.0
2021-09-05 00:10:00,492.0,502.0,476.0
2021-09-05 00:11:00,493.0,502.0,477.0
2021-09-05 00:12:00,493.0,502.0,479.0
2021-09-05 00:13:00,494.0,502.0,481.0
2021-09-05 00:14:00,494.0,502.0,482.0
2021-09-05 00:15:00,494.0,502.0,482.0
2021-09-05 00:16:00,494.0,502.0,483.0
2021-09-05 00:17:00,494.0,503.0,484.0
2021-09-05 00:18:00,494.0,503.0,486.0
2021-09-05 00:19:00,495.0,503.0,486.0
2021-09-05 00:20:00,495.0,503.0,486.0
2021-09-05 00:21:00,495.0,503.0,485.0
2021-09-05 00:22:00,494.0,503.0,486.0
2021-09-05 00:23:00,494.0,504.0,488.0
2021-09-05 00:24:00,494.0,504.0,487.0
2021-09-05 00:25:00,494.0,504.0,487.0
2021-09-05 00:26:00,495.0,504.0,487.0
