,aranet,fluke
2021-06-07 00:42:25,381.0,
2021-06-07 00:43:25,381.0,
2021-06-07 00:44:25,381.0,
2021-06-07 00:45:25,381.0,
2021-06-07 00:46:25,416.0,
2021-06-07 00:47:25,416.0,
2021-06-07 00:48:25,416.0,
2021-06-07 00:49:25,416.0,
2021-06-07 00:50:25,416.0,
2021-06-07 00:51:25,394.0,
2021-06-07 00:52:25,394.0,
2021-06-07 00:53:25,394.0,
2021-06-07 00:54:25,394.0,
2021-06-07 00:55:25,394.0,
2021-06-07 00:56:25,468.0,
2021-06-07 00:57:25,468.0,
2021-06-07 00:58:25,468.0,
2021-06-07 00:59:25,468.0,
2021-06-07 01:00:25,468.0,
2021-06-07 01:01:25,506.0,
2021-06-07 01:02:25,506.0,
2021-06-07 01:03:25,506.0,
2021-06-07 01:04:25,506.0,
2021-06-07 01:05:25,506.0,
2021-06-07 01:06:25,437.0,
2021-06-07 01:07:25,437.0,
2021-06-07 01:08:25,437.0,
2021-06-07 01:09:25,437.0,
2021-06-07 01:10:25,437.0,
2021-06-07 01:11:25,403.0,
2021-06-07 01:12:25,403.0,
2021-06-07 01:13:25,403.0,
2021-06-07 01:14:25,403.0,
2021-06-07 01:15:25,403.0,
2021-06-07 01:16:25,425.0,
2021-06-07 01:17:25,425.0,
2021-06-07 01:18:25,425.0,
2021-06-07 01:19:25,425.0,
2021-06-07 01:20:25,425.0,
2021-06-07 01:21:25,384.0,
2021-06-07 01:22:25,384.0,
2021-06-07 01:23:25,384.0,
2021-06-07 01:24:25,384.0,
2021-06-07 01:25:25,384.0,
2021-06-07 01:26:25,384.0,
2021-06-07 01:27:25,384.0,
2021-06-07 01:28:25,384.0,
2021-06-07 01:29:25,384.0,
2021-06-07 01:30:25,384.0,
2021-06-07 01:31:25,377.0,
2021-06-07 01:32:25,377.0,
2021-06-07 01:33:25,377.0,
2021-06-07 01:34:25,377.0,
2021-06-07 01:35:25,377.0,
2021-06-07 01:36:25,388.0,
2021-06-07 01:37:25,388.0,
2021-06-07 01:38:25,388.0,
2021-06-07 01:39:25,388.0,
2021-06-07 01:40:25,388.0,
2021-06-07 01:41:25,423.0,
2021-06-07 01:42:25,423.0,
2021-06-07 01:43:25,423.0,
2021-06-07 01:44:25,423.0,
2021-06-07 01:45:25,423.0,
2021-06-07 01:46:25,399.0,
2021-06-07 01:47:25,399.0,
2021-06-07 01:48:25,399.0,
2021-06-07 01:49:25,399.0,
2021-06-07 01:50:25,399.0,
2021-06-07 01:51:25,399.0,
2021-06-07 01:52:25,399.0,
2021-06-07 01:53:25,399.0,
2021-06-07 01:54:25,399.0,
2021-06-07 01:55:25,399.0,
2021-06-07 01:56:25,389.0,
2021-06-07 01:57:25,389.0,
2021-06-07 01:58:25,389.0,
2021-06-07 01:59:25,389.0,
2021-06-07 02:00:25,389.0,
2021-06-07 02:01:25,406.0,
2021-06-07 02:02:25,406.0,
2021-06-07 02:03:25,406.0,
2021-06-07 02:04:25,406.0,
2021-06-07 02:05:25,406.0,
2021-06-07 02:06:25,429.0,
2021-06-07 02:07:25,429.0,
2021-06-07 02:08:25,429.0,
2021-06-07 02:09:25,429.0,
2021-06-07 02:10:25,429.0,
2021-06-07 02:11:25,428.0,
2021-06-07 02:12:25,428.0,
2021-06-07 02:13:25,428.0,
2021-06-07 02:14:25,428.0,
2021-06-07 02:15:25,428.0,
2021-06-07 02:16:25,424.0,
2021-06-07 02:17:25,424.0,
2021-06-07 02:18:25,424.0,
2021-06-07 02:19:25,424.0,
2021-06-07 02:20:25,424.0,
2021-06-07 02:21:25,417.0,
2021-06-07 02:22:25,417.0,
2021-06-07 02:23:25,417.0,
2021-06-07 02:24:25,417.0,
2021-06-07 02:25:25,417.0,
2021-06-07 02:26:25,386.0,
2021-06-07 02:27:25,386.0,
2021-06-07 02:28:25,386.0,
2021-06-07 02:29:25,386.0,
2021-06-07 02:30:25,386.0,
2021-06-07 02:31:25,379.0,
2021-06-07 02:32:25,379.0,
2021-06-07 02:33:25,379.0,
2021-06-07 02:34:25,379.0,
2021-06-07 02:35:25,379.0,
2021-06-07 02:36:25,394.0,
2021-06-07 02:37:25,394.0,
2021-06-07 02:38:25,394.0,
2021-06-07 02:39:25,394.0,
2021-06-07 02:40:25,394.0,
2021-06-07 02:41:25,405.0,
2021-06-07 02:42:25,405.0,
2021-06-07 02:43:25,405.0,
2021-06-07 02:44:25,405.0,
2021-06-07 02:45:25,405.0,
2021-06-07 02:46:25,396.0,
2021-06-07 02:47:25,396.0,
2021-06-07 02:48:25,396.0,
2021-06-07 02:49:25,396.0,
2021-06-07 02:50:25,396.0,
2021-06-07 02:51:25,381.0,
2021-06-07 02:52:25,381.0,
2021-06-07 02:53:25,381.0,
2021-06-07 02:54:25,381.0,
2021-06-07 02:55:25,381.0,
2021-06-07 02:56:25,390.0,
2021-06-07 02:57:25,390.0,
2021-06-07 02:58:25,390.0,
2021-06-07 02:59:25,390.0,
2021-06-07 03:00:25,390.0,
2021-06-07 03:01:25,387.0,
2021-06-07 03:02:25,387.0,
2021-06-07 03:03:25,387.0,
2021-06-07 03:04:25,387.0,
2021-06-07 03:05:25,387.0,
2021-06-07 03:06:25,393.0,
2021-06-07 03:07:25,393.0,
2021-06-07 03:08:25,393.0,
2021-06-07 03:09:25,393.0,
2021-06-07 03:10:25,393.0,
2021-06-07 03:11:25,406.0,
2021-06-07 03:12:25,406.0,
2021-06-07 03:13:25,406.0,
2021-06-07 03:14:25,406.0,
2021-06-07 03:15:25,406.0,
2021-06-07 03:16:25,391.0,
2021-06-07 03:17:25,391.0,
2021-06-07 03:18:25,391.0,
2021-06-07 03:19:25,391.0,
2021-06-07 03:20:25,391.0,
2021-06-07 03:21:25,384.0,
2021-06-07 03:22:25,384.0,
2021-06-07 03:23:25,384.0,
2021-06-07 03:24:25,384.0,
2021-06-07 03:25:25,384.0,
2021-06-07 03:26:25,399.0,
2021-06-07 03:27:25,399.0,
2021-06-07 03:28:25,399.0,
2021-06-07 03:29:25,399.0,
2021-06-07 03:30:25,399.0,
2021-06-07 03:31:25,386.0,
2021-06-07 03:32:25,386.0,
2021-06-07 03:33:25,386.0,
2021-06-07 03:34:25,386.0,
2021-06-07 03:35:25,386.0,
2021-06-07 03:36:25,405.0,
2021-06-07 03:37:25,405.0,
2021-06-07 03:38:25,405.0,
2021-06-07 03:39:25,405.0,
2021-06-07 03:40:25,405.0,
2021-06-07 03:41:25,405.0,
2021-06-07 03:42:25,405.0,
2021-06-07 03:43:25,405.0,
2021-06-07 03:44:25,405.0,
2021-06-07 03:45:25,405.0,
2021-06-07 03:46:25,417.0,
2021-06-07 03:47:25,417.0,
2021-06-07 03:48:25,417.0,
2021-06-07 03:49:25,417.0,
2021-06-07 03:50:25,417.0,
2021-06-07 03:51:25,422.0,
2021-06-07 03:52:25,422.0,
2021-06-07 03:53:25,422.0,
2021-06-07 03:54:25,422.0,
2021-06-07 03:55:25,422.0,
2021-06-07 03:56:25,431.0,
2021-06-07 03:57:25,431.0,
2021-06-07 03:58:25,431.0,
2021-06-07 03:59:25,431.0,
2021-06-07 04:00:25,431.0,
2021-06-07 04:01:25,416.0,
2021-06-07 04:02:25,416.0,
2021-06-07 04:03:25,416.0,
2021-06-07 04:04:25,416.0,
