ts,cdm4160,cjmcu811,sen0219,t3022
2021-06-21 15:29:08.677,,0.0,,
2021-06-21 15:29:14.679,,400.0,,
2021-06-21 15:29:20.683,,400.0,,
2021-06-21 15:29:26.685,,403.0,,
2021-06-21 15:29:32.688,,426.0,,
2021-06-21 15:29:38.691,,414.0,,
2021-06-21 15:29:44.694,,426.0,,
2021-06-21 15:29:50.697,,422.0,,
2021-06-21 15:29:56.701,,422.0,,
2021-06-21 15:30:02.704,,414.0,,
2021-06-21 15:30:08.707,,422.0,,
2021-06-21 15:30:14.710,,422.0,,
2021-06-21 15:30:20.714,,418.0,,
2021-06-21 15:30:26.717,,406.0,,
2021-06-21 15:30:32.722,,400.0,,
2021-06-21 15:30:38.723,,400.0,,
2021-06-21 15:30:44.727,,400.0,,
2021-06-21 15:30:50.730,,403.0,,
2021-06-21 15:30:56.733,,407.0,,
2021-06-21 15:31:02.737,,403.0,,
2021-06-21 15:31:08.741,,400.0,,
2021-06-21 15:31:14.743,,402.0,,
2021-06-21 15:31:20.746,,400.0,,
2021-06-21 15:31:26.752,,400.0,,
2021-06-21 15:31:32.754,,418.0,,
2021-06-21 15:31:38.757,,422.0,,
2021-06-21 15:31:44.759,,422.0,,
2021-06-21 15:31:50.764,,427.0,,
2021-06-21 15:31:56.770,,435.0,,
2021-06-21 15:32:02.769,,435.0,,
2021-06-21 15:32:08.774,,422.0,,
2021-06-21 15:32:14.778,,406.0,,
2021-06-21 15:32:20.779,,413.0,,
2021-06-21 15:32:26.784,,403.0,,
2021-06-21 15:32:32.786,,400.0,,
2021-06-21 15:32:38.790,,402.0,,
2021-06-21 15:32:44.796,,400.0,,
2021-06-21 15:32:50.797,,400.0,,
2021-06-21 15:32:56.800,,414.0,,
2021-06-21 15:33:02.803,,417.0,,
2021-06-21 15:33:08.807,,414.0,,
2021-06-21 15:33:14.810,,400.0,,
2021-06-21 15:33:20.813,,406.0,,
2021-06-21 15:33:26.817,,406.0,,
2021-06-21 15:33:32.822,,414.0,,
2021-06-21 15:33:38.824,,400.0,,
2021-06-21 15:33:44.827,,400.0,,
2021-06-21 15:33:50.829,,416.0,,
2021-06-21 15:33:56.832,,413.0,,
2021-06-21 15:34:02.835,,408.0,,
2021-06-21 15:34:08.839,,439.0,,
2021-06-21 15:34:14.841,,447.0,,
2021-06-21 15:34:20.846,,439.0,,
2021-06-21 15:34:26.848,,436.0,,
2021-06-21 15:34:32.852,,447.0,,
2021-06-21 15:34:38.855,,443.0,,
2021-06-21 15:34:44.860,,436.0,,
2021-06-21 15:34:50.862,,591.0,,
2021-06-21 15:34:56.864,,422.0,,
2021-06-21 15:35:02.867,,418.0,,
2021-06-21 15:35:08.870,,426.0,,
2021-06-21 15:35:14.874,,416.0,,
2021-06-21 15:35:20.876,,403.0,,
2021-06-21 15:35:26.880,,408.0,,
2021-06-21 15:35:32.884,,418.0,,
2021-06-21 15:35:38.887,,408.0,,
2021-06-21 15:35:44.890,,403.0,,
2021-06-21 15:35:50.894,,403.0,,
2021-06-21 15:35:56.896,,403.0,,
2021-06-21 15:36:02.899,,403.0,,
2021-06-21 15:36:08.903,,403.0,,
2021-06-21 15:36:14.906,,408.0,,
2021-06-21 15:36:20.909,,406.0,,
2021-06-21 15:36:26.912,,410.0,,
2021-06-21 15:36:32.916,,414.0,,
2021-06-21 15:36:38.920,,414.0,,
2021-06-21 15:36:44.922,,422.0,,
2021-06-21 15:36:50.926,,409.0,,
2021-06-21 15:36:56.929,,409.0,,
2021-06-21 15:37:02.933,,409.0,,
2021-06-21 15:37:08.936,,423.0,,
2021-06-21 15:37:24.762,,0.0,,
2021-06-21 15:37:30.763,,439.0,,
2021-06-21 15:37:36.766,,439.0,,
2021-06-21 15:37:42.769,,420.0,,
2021-06-21 15:37:48.773,,405.0,,
2021-06-21 15:37:54.776,,400.0,,
