ts,s8lp,sen0220,t3022,mh-z14a
2021-07-05 00:00:02.111,,490.0,,
2021-07-05 00:00:08.671,,490.0,,
2021-07-05 00:00:09.086,503.0,,496.0,622.0
2021-07-05 00:00:15.231,,490.0,,
2021-07-05 00:00:21.801,,490.0,,
2021-07-05 00:00:24.952,502.0,,496.0,623.0
2021-07-05 00:00:28.375,,490.0,,
2021-07-05 00:00:34.941,,491.0,,
2021-07-05 00:00:40.534,502.0,,496.0,623.0
2021-07-05 00:00:41.513,,492.0,,
2021-07-05 00:00:48.081,,492.0,,
2021-07-05 00:00:54.652,,492.0,,
2021-07-05 00:00:56.082,501.0,,495.0,622.0
2021-07-05 00:01:01.212,,490.0,,
2021-07-05 00:01:11.693,500.0,,495.0,622.0
2021-07-05 00:01:14.332,,489.0,,
2021-07-05 00:01:20.892,,491.0,,
2021-07-05 00:01:27.333,501.0,,494.0,623.0
2021-07-05 00:01:27.463,,491.0,,
2021-07-05 00:01:34.032,,491.0,,
2021-07-05 00:01:40.602,,492.0,,
2021-07-05 00:01:42.912,501.0,,494.0,623.0
2021-07-05 00:01:47.172,,491.0,,
2021-07-05 00:01:53.732,,491.0,,
2021-07-05 00:01:58.516,502.0,,495.0,624.0
2021-07-05 00:02:00.302,,493.0,,
2021-07-05 00:02:06.874,,494.0,,
2021-07-05 00:02:13.442,,494.0,,
2021-07-05 00:02:14.107,503.0,,495.0,624.0
2021-07-05 00:02:26.582,,494.0,,
2021-07-05 00:02:29.686,502.0,,496.0,625.0
2021-07-05 00:02:33.141,,494.0,,
2021-07-05 00:02:39.702,,494.0,,
2021-07-05 00:02:45.339,502.0,,496.0,625.0
2021-07-05 00:02:46.272,,494.0,,
2021-07-05 00:02:52.831,,494.0,,
2021-07-05 00:02:59.391,,493.0,,
2021-07-05 00:03:01.138,502.0,,496.0,626.0
2021-07-05 00:03:05.952,,493.0,,
2021-07-05 00:03:12.511,,493.0,,
2021-07-05 00:03:16.695,502.0,,498.0,626.0
2021-07-05 00:03:19.072,,493.0,,
2021-07-05 00:03:25.642,,493.0,,
2021-07-05 00:03:32.251,507.0,,498.0,626.0
2021-07-05 00:03:38.762,,494.0,,
2021-07-05 00:03:45.322,,495.0,,
2021-07-05 00:03:47.831,506.0,,498.0,626.0
2021-07-05 00:03:51.882,,492.0,,
2021-07-05 00:03:58.442,,492.0,,
2021-07-05 00:04:03.913,507.0,,499.0,627.0
2021-07-05 00:04:05.013,,491.0,,
2021-07-05 00:04:11.582,,491.0,,
2021-07-05 00:04:18.152,,492.0,,
2021-07-05 00:04:19.611,506.0,,498.0,628.0
2021-07-05 00:04:24.723,,492.0,,
2021-07-05 00:04:31.282,,492.0,,
2021-07-05 00:04:35.176,507.0,,497.0,628.0
2021-07-05 00:04:37.853,,493.0,,
2021-07-05 00:04:44.413,,493.0,,
2021-07-05 00:04:50.777,506.0,,497.0,628.0
2021-07-05 00:04:57.543,,492.0,,
2021-07-05 00:05:04.112,,491.0,,
2021-07-05 00:05:06.330,506.0,,497.0,628.0
2021-07-05 00:05:10.682,,491.0,,
2021-07-05 00:05:17.252,,492.0,,
2021-07-05 00:05:21.880,505.0,,498.0,628.0
2021-07-05 00:05:23.812,,493.0,,
2021-07-05 00:05:30.372,,493.0,,
2021-07-05 00:05:36.945,,493.0,,
2021-07-05 00:05:37.446,503.0,,498.0,629.0
2021-07-05 00:05:43.512,,495.0,,
2021-07-05 00:05:50.092,,492.0,,
2021-07-05 00:05:52.990,504.0,,497.0,628.0
2021-07-05 00:05:56.652,,491.0,,
2021-07-05 00:06:08.543,506.0,,497.0,627.0
2021-07-05 00:06:09.782,,492.0,,
2021-07-05 00:06:16.352,,493.0,,
2021-07-05 00:06:22.912,,492.0,,
2021-07-05 00:06:24.103,506.0,,497.0,627.0
2021-07-05 00:06:29.492,,493.0,,
2021-07-05 00:06:36.062,,493.0,,
2021-07-05 00:06:39.665,506.0,,497.0,627.0
2021-07-05 00:06:42.621,,494.0,,
2021-07-05 00:06:49.182,,495.0,,
2021-07-05 00:06:55.742,,495.0,,
2021-07-05 00:06:57.727,506.0,,497.0,627.0
2021-07-05 00:07:02.312,,495.0,,
2021-07-05 00:07:08.882,,494.0,,
2021-07-05 00:07:13.368,505.0,,496.0,626.0
2021-07-05 00:07:22.002,,493.0,,
2021-07-05 00:07:28.562,,494.0,,
2021-07-05 00:07:28.942,504.0,,496.0,626.0
2021-07-05 00:07:35.122,,494.0,,
2021-07-05 00:07:41.682,,495.0,,
2021-07-05 00:07:44.532,503.0,,496.0,627.0
2021-07-05 00:07:48.242,,494.0,,
2021-07-05 00:07:54.812,,494.0,,
2021-07-05 00:08:01.374,,494.0,,
2021-07-05 00:08:02.589,502.0,,494.0,627.0
2021-07-05 00:08:07.942,,493.0,,
2021-07-05 00:08:14.502,,493.0,,
2021-07-05 00:08:18.150,503.0,,494.0,628.0
2021-07-05 00:08:21.062,,494.0,,
2021-07-05 00:08:33.727,503.0,,494.0,628.0
2021-07-05 00:08:34.182,,493.0,,
2021-07-05 00:08:40.742,,494.0,,
2021-07-05 00:08:47.302,,493.0,,
2021-07-05 00:08:49.352,503.0,,494.0,628.0
2021-07-05 00:08:53.862,,493.0,,
2021-07-05 00:09:00.422,,494.0,,
2021-07-05 00:09:05.007,504.0,,496.0,628.0
2021-07-05 00:09:06.982,,493.0,,
2021-07-05 00:09:13.542,,493.0,,
2021-07-05 00:09:20.102,,493.0,,
2021-07-05 00:09:20.543,503.0,,496.0,628.0
2021-07-05 00:09:26.662,,495.0,,
2021-07-05 00:09:33.222,,495.0,,
2021-07-05 00:09:36.086,504.0,,496.0,628.0
2021-07-05 00:09:39.793,,495.0,,
2021-07-05 00:09:51.604,503.0,,498.0,628.0
2021-07-05 00:09:52.912,,497.0,,
2021-07-05 00:09:59.472,,496.0,,
2021-07-05 00:10:06.032,,496.0,,
2021-07-05 00:10:07.253,503.0,,499.0,628.0
2021-07-05 00:10:12.592,,497.0,,
2021-07-05 00:10:19.152,,496.0,,
2021-07-05 00:10:22.915,503.0,,500.0,629.0
2021-07-05 00:10:25.712,,497.0,,
2021-07-05 00:10:32.272,,497.0,,
2021-07-05 00:10:38.541,504.0,,501.0,628.0
2021-07-05 00:10:38.832,,496.0,,
2021-07-05 00:10:45.394,,496.0,,
2021-07-05 00:10:51.963,,496.0,,
2021-07-05 00:10:54.170,504.0,,502.0,629.0
2021-07-05 00:11:05.082,,496.0,,
2021-07-05 00:11:09.729,504.0,,502.0,628.0
2021-07-05 00:11:11.653,,497.0,,
