ts,s8lp,sen0220,t3022,scd30
2021-07-20 14:30:15.084,,,517.0,
2021-07-20 14:30:19.894,,,,462.0
2021-07-20 14:30:54.783,,499.0,,
2021-07-20 14:30:58.579,522.0,,,
2021-07-20 14:31:14.649,,,520.0,
2021-07-20 14:31:22.968,,,,577.0
2021-07-20 14:31:54.849,,621.0,,
2021-07-20 14:31:58.514,691.0,,,
2021-07-20 14:32:14.666,,,537.0,
2021-07-20 14:32:26.114,,,,685.0
2021-07-20 14:32:54.922,,690.0,,
2021-07-20 14:32:58.444,752.0,,,
2021-07-20 14:33:14.724,,,573.0,
2021-07-20 14:33:29.118,,,,716.0
2021-07-20 14:33:54.987,,743.0,,
2021-07-20 14:33:58.367,838.0,,,
2021-07-20 14:34:14.677,,,633.0,
2021-07-20 14:34:32.197,,,,762.0
2021-07-20 14:34:55.041,,778.0,,
2021-07-20 14:34:58.302,852.0,,,
2021-07-20 14:35:14.594,,,671.0,
2021-07-20 14:35:35.270,,,,803.0
2021-07-20 14:35:55.083,,794.0,,
2021-07-20 14:35:58.229,858.0,,,
2021-07-20 14:36:14.687,,,706.0,
2021-07-20 14:36:38.349,,,,812.0
2021-07-20 14:36:55.152,,794.0,,
2021-07-20 14:36:58.894,859.0,,,
2021-07-20 14:37:14.678,,,735.0,
2021-07-20 14:37:41.510,,,,812.0
2021-07-20 14:37:55.224,,796.0,,
2021-07-20 14:37:58.083,858.0,,,
2021-07-20 14:38:14.630,,,765.0,
2021-07-20 14:38:44.542,,,,817.0
2021-07-20 14:38:55.284,,799.0,,
2021-07-20 14:38:58.009,862.0,,,
2021-07-20 14:39:14.774,,,790.0,
2021-07-20 14:39:47.659,,,,792.0
2021-07-20 14:39:55.345,,798.0,,
2021-07-20 14:39:57.955,862.0,,,
2021-07-20 14:40:14.569,,,813.0,
2021-07-20 14:40:50.650,,,,806.0
2021-07-20 14:40:55.408,,801.0,,
2021-07-20 14:40:57.893,863.0,,,
2021-07-20 14:41:14.535,,,830.0,
2021-07-20 14:41:53.725,,,,813.0
2021-07-20 14:41:55.468,,801.0,,
2021-07-20 14:41:57.833,863.0,,,
2021-07-20 14:42:14.683,,,846.0,
2021-07-20 14:42:55.528,,802.0,,
2021-07-20 14:42:56.915,,,,815.0
2021-07-20 14:42:57.757,865.0,,,
2021-07-20 14:43:14.538,,,860.0,
2021-07-20 14:43:55.585,,805.0,,
2021-07-20 14:43:57.691,866.0,,,
2021-07-20 14:43:59.907,,,,806.0
2021-07-20 14:44:14.548,,,871.0,
2021-07-20 14:44:55.651,,806.0,,
2021-07-20 14:44:57.615,867.0,,,
2021-07-20 14:45:03.020,,,,829.0
2021-07-20 14:45:14.738,,,878.0,
2021-07-20 14:45:55.715,,806.0,,
2021-07-20 14:45:57.543,870.0,,,
2021-07-20 14:46:06.067,,,,820.0
2021-07-20 14:46:14.673,,,886.0,
2021-07-20 14:46:55.786,,807.0,,
2021-07-20 14:46:57.472,870.0,,,
2021-07-20 14:47:09.111,,,,823.0
2021-07-20 14:47:14.710,,,895.0,
