ts,cdm4160,cjmcu811,sen0219,t3022,mh-z14a,sen0220
2021-06-23 00:00:02.392,,1159.0,,,,
2021-06-23 00:00:05.123,544.0,,,,,
2021-06-23 00:00:08.483,,1174.0,,,,
2021-06-23 00:00:11.234,486.0,,,,,
2021-06-23 00:00:14.580,,1147.0,,,,
2021-06-23 00:00:17.346,508.0,,,,,
2021-06-23 00:00:20.680,,1147.0,,,,
2021-06-23 00:00:23.457,562.0,,,,,
2021-06-23 00:00:26.782,,1195.0,,,,
2021-06-23 00:00:29.581,488.0,,,,,
2021-06-23 00:00:32.877,,1207.0,,,,
2021-06-23 00:00:35.696,499.0,,,,,
2021-06-23 00:00:39.048,,1224.0,,,,
2021-06-23 00:00:41.807,489.0,,,,,
2021-06-23 00:00:45.142,,1238.0,,,,
2021-06-23 00:00:47.916,564.0,,,,,
2021-06-23 00:00:51.242,,1238.0,,,,
2021-06-23 00:00:54.026,533.0,,,,,
2021-06-23 00:00:57.336,,1207.0,,,,
2021-06-23 00:01:00.136,490.0,,,,,
2021-06-23 00:01:03.438,,1147.0,,,,
2021-06-23 00:01:06.247,555.0,,,,,
2021-06-23 00:01:09.535,,1038.0,,,,
2021-06-23 00:01:12.360,562.0,,,,,
2021-06-23 00:01:15.632,,1174.0,,,,
2021-06-23 00:01:18.473,543.0,,,,,
2021-06-23 00:01:21.727,,1474.0,,,,
2021-06-23 00:01:24.584,489.0,,,,,
2021-06-23 00:01:27.828,,1458.0,,,,
2021-06-23 00:01:30.705,531.0,,,,,
2021-06-23 00:01:33.927,,1416.0,,,,
2021-06-23 00:01:36.820,489.0,,,,,
2021-06-23 00:01:40.023,,1380.0,,,,
2021-06-23 00:01:42.930,560.0,,,,,
2021-06-23 00:01:46.122,,1380.0,,,,
2021-06-23 00:01:49.041,523.0,,,,,
2021-06-23 00:01:52.223,,1341.0,,,,
2021-06-23 00:01:55.157,486.0,,,,,
2021-06-23 00:01:58.334,,1341.0,,,,
2021-06-23 00:02:01.272,492.0,,,,,
2021-06-23 00:02:04.431,,1341.0,,,,
2021-06-23 00:02:07.384,556.0,,,,,
2021-06-23 00:02:10.527,,1528.0,,,,
2021-06-23 00:02:13.500,523.0,,,,,
2021-06-23 00:02:16.627,,1474.0,,,,
2021-06-23 00:02:19.611,536.0,,,,,
2021-06-23 00:02:22.736,,1436.0,,,,
2021-06-23 00:02:25.744,545.0,,,,,
2021-06-23 00:02:28.837,,1416.0,,,,
2021-06-23 00:02:31.863,493.0,,,,,
2021-06-23 00:02:34.935,,1397.0,,,,
2021-06-23 00:02:37.974,532.0,,,,,
2021-06-23 00:02:41.032,,1380.0,,,,
2021-06-23 00:02:44.088,538.0,,,,,
2021-06-23 00:02:47.134,,1356.0,,,,
2021-06-23 00:02:50.201,488.0,,,,,
2021-06-23 00:02:53.231,,1356.0,,,,
2021-06-23 00:02:56.316,543.0,,,,,
2021-06-23 00:02:59.328,,1356.0,,,,
2021-06-23 00:03:02.429,547.0,,,,,
2021-06-23 00:03:05.426,,1356.0,,,,
2021-06-23 00:03:08.543,487.0,,,,,
2021-06-23 00:03:11.526,,1341.0,,,,
2021-06-23 00:03:14.655,517.0,,,,,
2021-06-23 00:03:17.621,,1259.0,,,,
2021-06-23 00:03:20.770,557.0,,,,,
2021-06-23 00:03:23.724,,1259.0,,,,
2021-06-23 00:03:26.883,494.0,,,,,
2021-06-23 00:03:29.816,,1238.0,,,,
2021-06-23 00:03:32.996,540.0,,,,,
2021-06-23 00:03:35.910,,1259.0,,,,
2021-06-23 00:03:39.113,561.0,,,,,
2021-06-23 00:03:42.007,,1224.0,,,,
2021-06-23 00:03:45.230,553.0,,,,,
2021-06-23 00:03:48.105,,1224.0,,,,
2021-06-23 00:03:51.342,486.0,,,,,
2021-06-23 00:03:54.201,,1195.0,,,,
2021-06-23 00:03:57.452,562.0,,,,,
2021-06-23 00:04:00.314,,1195.0,,,,
2021-06-23 00:04:03.564,552.0,,,,,
2021-06-23 00:04:06.415,,1174.0,,,,
2021-06-23 00:04:09.676,524.0,,,,,
2021-06-23 00:04:12.513,,1159.0,,,,
2021-06-23 00:04:15.790,487.0,,,,,
2021-06-23 00:04:18.613,,1147.0,,,,
2021-06-23 00:04:21.908,534.0,,,,,
2021-06-23 00:04:24.708,,1128.0,,,,
2021-06-23 00:04:28.020,506.0,,,,,
2021-06-23 00:04:30.802,,1113.0,,,,
2021-06-23 00:04:34.135,563.0,,,,,
2021-06-23 00:04:36.919,,1113.0,,,,
2021-06-23 00:04:40.247,490.0,,,,,
2021-06-23 00:04:43.020,,1195.0,,,,
2021-06-23 00:04:46.359,566.0,,,,,
2021-06-23 00:04:49.122,,1159.0,,,,
2021-06-23 00:04:52.473,534.0,,,,,
2021-06-23 00:04:55.227,,1147.0,,,,
2021-06-23 00:04:58.596,566.0,,,,,
2021-06-23 00:05:01.349,,1128.0,,,,
2021-06-23 00:05:04.709,533.0,,,,,
2021-06-23 00:05:07.451,,1147.0,,,,
2021-06-23 00:05:10.821,494.0,,,,,
2021-06-23 00:05:13.548,,1159.0,,,,
2021-06-23 00:05:16.934,566.0,,,,,
2021-06-23 00:05:19.657,,1159.0,,,,
2021-06-23 00:05:23.046,546.0,,,,,
2021-06-23 00:05:25.759,,1380.0,,,,
2021-06-23 00:05:29.159,536.0,,,,,
2021-06-23 00:05:31.853,,1632.0,,,,
2021-06-23 00:05:35.278,563.0,,,,,
2021-06-23 00:05:37.952,,1636.0,,,,
2021-06-23 00:05:41.390,533.0,,,,,
2021-06-23 00:05:44.055,,1563.0,,,,
2021-06-23 00:05:47.502,487.0,,,,,
2021-06-23 00:05:50.152,,1498.0,,,,
