tiempo,fluke
2021-09-23 13:20:00,439.55
2021-09-23 13:20:20,436.15
2021-09-23 13:20:40,432.05
2021-09-23 13:21:00,421.4
2021-09-23 13:21:20,422.35
2021-09-23 13:21:40,424.0
2021-09-23 13:22:00,422.5
2021-09-23 13:22:20,423.75
2021-09-23 13:22:40,420.3
2021-09-23 13:23:00,419.0
2021-09-23 13:23:20,427.75
2021-09-23 13:23:40,432.0
2021-09-23 13:24:00,422.3
2021-09-23 13:24:20,423.2
2021-09-23 13:24:40,428.05
2021-09-23 13:25:00,424.45
2021-09-23 13:25:20,424.75
2021-09-23 13:25:40,423.25
2021-09-23 13:26:00,419.65
2021-09-23 13:26:20,417.05
2021-09-23 13:26:40,417.8
2021-09-23 13:27:00,425.75
2021-09-23 13:27:20,426.4
2021-09-23 13:27:40,419.75
2021-09-23 13:28:00,418.7
2021-09-23 13:28:20,420.45
2021-09-23 13:28:40,416.1
2021-09-23 13:29:00,417.7
2021-09-23 13:29:20,418.7
2021-09-23 13:29:40,416.15
2021-09-23 13:30:00,416.35
2021-09-23 13:30:20,414.6
2021-09-23 13:30:40,412.65
2021-09-23 13:31:00,415.6
2021-09-23 13:31:20,419.6
2021-09-23 13:31:40,421.8
2021-09-23 13:32:00,422.9
2021-09-23 13:32:20,418.1
2021-09-23 13:32:40,414.3
2021-09-23 13:33:00,415.6
2021-09-23 13:33:20,414.9
2021-09-23 13:33:40,409.35
2021-09-23 13:34:00,412.5
2021-09-23 13:34:20,416.0
2021-09-23 13:34:40,412.7
2021-09-23 13:35:00,417.5
2021-09-23 13:35:20,422.65
2021-09-23 13:35:40,417.6
2021-09-23 13:36:00,416.05
2021-09-23 13:36:20,418.2
2021-09-23 13:36:40,414.7
2021-09-23 13:37:00,410.85
2021-09-23 13:37:20,408.1
2021-09-23 13:37:40,408.55
2021-09-23 13:38:00,411.0
2021-09-23 13:38:20,412.55
2021-09-23 13:38:40,416.7
2021-09-23 13:39:00,413.65
2021-09-23 13:39:20,410.25
2021-09-23 13:39:40,415.85
2021-09-23 13:40:00,417.65
2021-09-23 13:40:20,415.75
2021-09-23 13:40:40,415.8
2021-09-23 13:41:00,423.5
2021-09-23 13:41:20,423.15
2021-09-23 13:41:40,425.05
2021-09-23 13:42:00,425.95
2021-09-23 13:42:20,418.6
2021-09-23 13:42:40,415.15
2021-09-23 13:43:00,410.7
2021-09-23 13:43:20,415.85
2021-09-23 13:43:40,421.1
2021-09-23 13:44:00,408.3
2021-09-23 13:44:20,408.1
2021-09-23 13:44:40,412.1
2021-09-23 13:45:00,410.5
2021-09-23 13:45:20,415.3
2021-09-23 13:45:40,413.0
2021-09-23 13:46:00,412.95
2021-09-23 13:46:20,417.95
2021-09-23 13:46:40,415.5
2021-09-23 13:47:00,412.1
2021-09-23 13:47:20,416.7
2021-09-23 13:47:40,415.8
2021-09-23 13:48:00,410.8
2021-09-23 13:48:20,407.85
2021-09-23 13:48:40,405.45
2021-09-23 13:49:00,407.65
2021-09-23 13:49:20,414.0
2021-09-23 13:49:40,415.6
2021-09-23 13:50:00,414.5
2021-09-23 13:50:20,414.6
2021-09-23 13:50:40,413.1
2021-09-23 13:51:00,409.1
2021-09-23 13:51:20,406.75
2021-09-23 13:51:40,406.8
2021-09-23 13:52:00,411.65
2021-09-23 13:52:20,418.6
2021-09-23 13:52:40,421.95
2021-09-23 13:53:00,422.6
2021-09-23 13:53:20,419.1
2021-09-23 13:53:40,419.75
2021-09-23 13:54:00,421.05
2021-09-23 13:54:20,416.4
2021-09-23 13:54:40,417.7
2021-09-23 13:55:00,416.9
2021-09-23 13:55:20,413.2
2021-09-23 13:55:40,411.0
2021-09-23 13:56:00,412.1
2021-09-23 13:56:20,413.9
2021-09-23 13:56:40,414.15
2021-09-23 13:57:00,415.1
2021-09-23 13:57:20,413.4
2021-09-23 13:57:40,413.8
2021-09-23 13:58:00,412.9
2021-09-23 13:58:20,409.3
2021-09-23 13:58:40,414.8
2021-09-23 13:59:00,413.2
2021-09-23 13:59:20,410.15
2021-09-23 13:59:40,410.1
2021-09-23 14:00:00,405.6
2021-09-23 14:00:20,405.55
2021-09-23 14:00:40,410.05
2021-09-23 14:01:00,414.15384615384613
2021-09-23 14:01:20,
2021-09-23 14:01:40,
2021-09-23 14:02:00,
2021-09-23 14:02:20,
2021-09-23 14:02:40,
2021-09-23 14:03:00,
2021-09-23 14:03:20,
2021-09-23 14:03:40,
2021-09-23 14:04:00,
2021-09-23 14:04:20,
2021-09-23 14:04:40,
2021-09-23 14:05:00,
2021-09-23 14:05:20,
2021-09-23 14:05:40,
2021-09-23 14:06:00,
2021-09-23 14:06:20,
2021-09-23 14:06:40,
2021-09-23 14:07:00,
2021-09-23 14:07:20,
2021-09-23 14:07:40,
2021-09-23 14:08:00,
2021-09-23 14:08:20,
2021-09-23 14:08:40,
2021-09-23 14:09:00,
2021-09-23 14:09:20,
2021-09-23 14:09:40,
2021-09-23 14:10:00,
