ts,s8lp
2021-09-22 19:00:00,497.75
2021-09-22 19:00:20,498.0
2021-09-22 19:00:40,498.0
2021-09-22 19:01:00,498.0
2021-09-22 19:01:20,498.0
2021-09-22 19:01:40,498.75
2021-09-22 19:02:00,499.0
2021-09-22 19:02:20,499.0
2021-09-22 19:02:40,499.0
2021-09-22 19:03:00,499.5
2021-09-22 19:03:20,499.75
2021-09-22 19:03:40,499.25
2021-09-22 19:04:00,500.0
2021-09-22 19:04:20,500.0
2021-09-22 19:04:40,500.0
2021-09-22 19:05:00,500.0
2021-09-22 19:05:20,500.0
2021-09-22 19:05:40,499.25
2021-09-22 19:06:00,499.0
2021-09-22 19:06:20,498.5
2021-09-22 19:06:40,498.0
2021-09-22 19:07:00,497.0
2021-09-22 19:07:20,496.75
2021-09-22 19:07:40,497.0
2021-09-22 19:08:00,496.75
2021-09-22 19:08:20,498.0
2021-09-22 19:08:40,497.0
2021-09-22 19:09:00,496.25
2021-09-22 19:09:20,496.75
2021-09-22 19:09:40,496.75
2021-09-22 19:10:00,497.25
2021-09-22 19:10:20,497.0
2021-09-22 19:10:40,497.0
2021-09-22 19:11:00,497.0
2021-09-22 19:11:20,497.0
2021-09-22 19:11:40,497.25
2021-09-22 19:12:00,497.0
2021-09-22 19:12:20,498.0
2021-09-22 19:12:40,498.0
2021-09-22 19:13:00,497.75
2021-09-22 19:13:20,497.0
2021-09-22 19:13:40,496.75
2021-09-22 19:14:00,497.5
2021-09-22 19:14:20,498.0
2021-09-22 19:14:40,497.0
2021-09-22 19:15:00,498.0
2021-09-22 19:15:20,498.75
2021-09-22 19:15:40,498.0
2021-09-22 19:16:00,498.0
2021-09-22 19:16:20,498.25
2021-09-22 19:16:40,498.0
2021-09-22 19:17:00,498.0
2021-09-22 19:17:20,498.0
2021-09-22 19:17:40,498.0
2021-09-22 19:18:00,498.25
2021-09-22 19:18:20,499.0
2021-09-22 19:18:40,499.0
2021-09-22 19:19:00,499.5
2021-09-22 19:19:20,499.25
2021-09-22 19:19:40,498.75
2021-09-22 19:20:00,498.0
2021-09-22 19:20:20,498.0
2021-09-22 19:20:40,498.0
2021-09-22 19:21:00,499.0
2021-09-22 19:21:20,499.25
