ts,scd30
2021-09-22 19:00:00,515.0
2021-09-22 19:00:10,516.0
2021-09-22 19:00:20,516.0
2021-09-22 19:00:30,516.0
2021-09-22 19:00:40,515.5
2021-09-22 19:00:50,515.0
2021-09-22 19:01:00,514.5
2021-09-22 19:01:10,514.0
2021-09-22 19:01:20,512.5
2021-09-22 19:01:30,512.0
2021-09-22 19:01:40,511.5
2021-09-22 19:01:50,511.0
2021-09-22 19:02:00,510.5
2021-09-22 19:02:10,510.0
2021-09-22 19:02:20,510.0
2021-09-22 19:02:30,510.0
2021-09-22 19:02:40,510.0
2021-09-22 19:02:50,510.0
2021-09-22 19:03:00,509.5
2021-09-22 19:03:10,509.0
2021-09-22 19:03:20,510.0
2021-09-22 19:03:30,510.0
2021-09-22 19:03:40,509.5
2021-09-22 19:03:50,509.0
2021-09-22 19:04:00,507.5
2021-09-22 19:04:10,508.0
2021-09-22 19:04:20,509.0
2021-09-22 19:04:30,509.0
2021-09-22 19:04:40,509.0
2021-09-22 19:04:50,509.5
2021-09-22 19:05:00,510.0
2021-09-22 19:05:10,509.5
2021-09-22 19:05:20,510.0
2021-09-22 19:05:30,509.0
2021-09-22 19:05:40,509.0
2021-09-22 19:05:50,508.0
2021-09-22 19:06:00,508.0
2021-09-22 19:06:10,507.0
2021-09-22 19:06:20,506.5
2021-09-22 19:06:30,505.0
2021-09-22 19:06:40,506.0
2021-09-22 19:06:50,505.5
2021-09-22 19:07:00,505.0
2021-09-22 19:07:10,504.5
2021-09-22 19:07:20,505.0
2021-09-22 19:07:30,503.0
2021-09-22 19:07:40,502.5
2021-09-22 19:07:50,501.5
2021-09-22 19:08:00,503.0
2021-09-22 19:08:10,502.0
2021-09-22 19:08:20,501.5
2021-09-22 19:08:30,502.0
2021-09-22 19:08:40,502.5
2021-09-22 19:08:50,503.0
2021-09-22 19:09:00,504.0
2021-09-22 19:09:10,504.0
2021-09-22 19:09:20,503.5
2021-09-22 19:09:30,503.5
2021-09-22 19:09:40,502.0
2021-09-22 19:09:50,503.0
2021-09-22 19:10:00,503.0
2021-09-22 19:10:10,502.5
2021-09-22 19:10:20,502.0
2021-09-22 19:10:30,502.0
2021-09-22 19:10:40,502.0
2021-09-22 19:10:50,501.0
2021-09-22 19:11:00,501.0
2021-09-22 19:11:10,501.0
2021-09-22 19:11:20,501.0
2021-09-22 19:11:30,501.0
2021-09-22 19:11:40,501.0
2021-09-22 19:11:50,500.0
2021-09-22 19:12:00,500.0
2021-09-22 19:12:10,500.0
2021-09-22 19:12:20,500.5
2021-09-22 19:12:30,501.0
2021-09-22 19:12:40,499.5
2021-09-22 19:12:50,499.0
2021-09-22 19:13:00,498.5
2021-09-22 19:13:10,499.0
2021-09-22 19:13:20,498.0
2021-09-22 19:13:30,497.5
2021-09-22 19:13:40,497.5
2021-09-22 19:13:50,497.5
2021-09-22 19:14:00,498.5
2021-09-22 19:14:10,499.0
2021-09-22 19:14:20,499.5
2021-09-22 19:14:30,500.0
2021-09-22 19:14:40,500.0
2021-09-22 19:14:50,499.5
2021-09-22 19:15:00,498.5
2021-09-22 19:15:10,499.0
2021-09-22 19:15:20,499.0
2021-09-22 19:15:30,498.0
2021-09-22 19:15:40,498.0
2021-09-22 19:15:50,499.0
2021-09-22 19:16:00,499.0
2021-09-22 19:16:10,498.0
2021-09-22 19:16:20,499.0
2021-09-22 19:16:30,499.5
2021-09-22 19:16:40,499.0
2021-09-22 19:16:50,500.0
2021-09-22 19:17:00,500.0
2021-09-22 19:17:10,500.5
2021-09-22 19:17:20,500.0
2021-09-22 19:17:30,500.5
2021-09-22 19:17:40,501.0
2021-09-22 19:17:50,501.0
2021-09-22 19:18:00,501.5
2021-09-22 19:18:10,501.0
2021-09-22 19:18:20,500.0
2021-09-22 19:18:30,500.0
2021-09-22 19:18:40,501.0
2021-09-22 19:18:50,501.0
2021-09-22 19:19:00,502.0
2021-09-22 19:19:10,502.0
2021-09-22 19:19:20,502.0
2021-09-22 19:19:30,502.0
2021-09-22 19:19:40,502.0
2021-09-22 19:19:50,501.5
2021-09-22 19:20:00,501.0
2021-09-22 19:20:10,500.0
2021-09-22 19:20:20,499.5
2021-09-22 19:20:30,499.0
2021-09-22 19:20:40,499.0
2021-09-22 19:20:50,499.5
2021-09-22 19:21:00,499.0
2021-09-22 19:21:10,499.0
2021-09-22 19:21:20,500.0
2021-09-22 19:21:30,500.0
2021-09-22 19:21:40,500.5
2021-09-22 19:21:50,501.0
2021-09-22 19:22:00,501.5
2021-09-22 19:22:10,502.0
2021-09-22 19:22:20,502.0
2021-09-22 19:22:30,502.0
2021-09-22 19:22:40,502.0
2021-09-22 19:22:50,502.0
2021-09-22 19:23:00,502.0
2021-09-22 19:23:10,502.0
2021-09-22 19:23:20,502.5
2021-09-22 19:23:30,503.0
2021-09-22 19:23:40,502.0
2021-09-22 19:23:50,503.5
2021-09-22 19:24:00,502.5
2021-09-22 19:24:10,502.0
2021-09-22 19:24:20,502.0
2021-09-22 19:24:30,502.0
2021-09-22 19:24:40,502.0
2021-09-22 19:24:50,501.5
2021-09-22 19:25:00,501.0
2021-09-22 19:25:10,501.0
2021-09-22 19:25:20,500.0
2021-09-22 19:25:30,500.5
2021-09-22 19:25:40,500.5
2021-09-22 19:25:50,500.0
2021-09-22 19:26:00,500.0
2021-09-22 19:26:10,501.0
2021-09-22 19:26:20,500.5
2021-09-22 19:26:30,501.0
2021-09-22 19:26:40,501.5
2021-09-22 19:26:50,501.0
2021-09-22 19:27:00,501.5
2021-09-22 19:27:10,502.0
2021-09-22 19:27:20,502.0
2021-09-22 19:27:30,502.0
2021-09-22 19:27:40,501.5
2021-09-22 19:27:50,502.0
2021-09-22 19:28:00,502.5
2021-09-22 19:28:10,503.0
2021-09-22 19:28:20,503.0
2021-09-22 19:28:30,503.5
2021-09-22 19:28:40,504.0
2021-09-22 19:28:50,504.0
2021-09-22 19:29:00,504.0
2021-09-22 19:29:10,504.0
2021-09-22 19:29:20,503.5
2021-09-22 19:29:30,502.5
2021-09-22 19:29:40,501.5
2021-09-22 19:29:50,501.0
2021-09-22 19:30:00,500.5
2021-09-22 19:30:10,500.5
2021-09-22 19:30:20,500.0
2021-09-22 19:30:30,500.0
2021-09-22 19:30:40,501.0
2021-09-22 19:30:50,501.0
2021-09-22 19:31:00,501.0
2021-09-22 19:31:10,501.0
2021-09-22 19:31:20,501.0
2021-09-22 19:31:30,501.0
2021-09-22 19:31:40,500.0
2021-09-22 19:31:50,500.0
2021-09-22 19:32:00,499.5
2021-09-22 19:32:10,499.0
2021-09-22 19:32:20,499.0
2021-09-22 19:32:30,499.0
2021-09-22 19:32:40,498.5
2021-09-22 19:32:50,499.0
2021-09-22 19:33:00,499.0
2021-09-22 19:33:10,499.0
2021-09-22 19:33:20,499.0
2021-09-22 19:33:30,499.5
2021-09-22 19:33:40,499.5
2021-09-22 19:33:50,500.0
2021-09-22 19:34:00,500.0
2021-09-22 19:34:10,500.0
2021-09-22 19:34:20,501.0
2021-09-22 19:34:30,501.0
2021-09-22 19:34:40,501.0
2021-09-22 19:34:50,500.0
2021-09-22 19:35:00,501.0
2021-09-22 19:35:10,502.0
2021-09-22 19:35:20,502.5
2021-09-22 19:35:30,503.0
2021-09-22 19:35:40,503.0
2021-09-22 19:35:50,503.5
2021-09-22 19:36:00,503.0
2021-09-22 19:36:10,503.0
