Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,476 ppm,,,,28/09/2021 03:13:48 p. m.
2,,25.5 °C,21.0 °C,19.4 °C,69.4 %,0 ppm,480 ppm,,,,28/09/2021 03:13:53 p. m.
3,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,483 ppm,,,,28/09/2021 03:13:58 p. m.
4,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,486 ppm,,,,28/09/2021 03:14:03 p. m.
5,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,485 ppm,,,,28/09/2021 03:14:08 p. m.
6,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,486 ppm,,,,28/09/2021 03:14:13 p. m.
7,,25.5 °C,21.0 °C,19.4 °C,69.4 %,1 ppm,487 ppm,,,,28/09/2021 03:14:18 p. m.
8,,25.5 °C,21.0 °C,19.4 °C,69.5 %,1 ppm,487 ppm,,,,28/09/2021 03:14:23 p. m.
9,,25.5 °C,21.1 °C,19.5 °C,69.5 %,1 ppm,487 ppm,,,,28/09/2021 03:14:28 p. m.
10,,25.6 °C,21.1 °C,19.5 °C,69.5 %,0 ppm,493 ppm,,,,28/09/2021 03:14:33 p. m.
11,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,498 ppm,,,,28/09/2021 03:14:38 p. m.
12,,25.6 °C,21.2 °C,19.6 °C,69.5 %,1 ppm,501 ppm,,,,28/09/2021 03:14:43 p. m.
13,,25.6 °C,21.2 °C,19.6 °C,69.5 %,1 ppm,513 ppm,,,,28/09/2021 03:14:48 p. m.
14,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,520 ppm,,,,28/09/2021 03:14:53 p. m.
15,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,537 ppm,,,,28/09/2021 03:14:58 p. m.
16,,25.6 °C,21.2 °C,19.6 °C,69.5 %,1 ppm,546 ppm,,,,28/09/2021 03:15:03 p. m.
17,,25.6 °C,21.1 °C,19.5 °C,69.5 %,1 ppm,558 ppm,,,,28/09/2021 03:15:08 p. m.
18,,25.7 °C,21.2 °C,19.6 °C,69.5 %,1 ppm,565 ppm,,,,28/09/2021 03:15:13 p. m.
19,,25.6 °C,21.2 °C,19.6 °C,69.5 %,1 ppm,576 ppm,,,,28/09/2021 03:15:18 p. m.
20,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,587 ppm,,,,28/09/2021 03:15:23 p. m.
21,,25.6 °C,21.2 °C,19.6 °C,69.6 %,0 ppm,595 ppm,,,,28/09/2021 03:15:28 p. m.
22,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,593 ppm,,,,28/09/2021 03:15:33 p. m.
23,,25.6 °C,21.2 °C,19.6 °C,69.6 %,1 ppm,592 ppm,,,,28/09/2021 03:15:38 p. m.
24,,25.7 °C,21.3 °C,19.7 °C,69.6 %,0 ppm,600 ppm,,,,28/09/2021 03:15:43 p. m.
25,,25.7 °C,21.3 °C,19.7 °C,69.7 %,1 ppm,604 ppm,,,,28/09/2021 03:15:48 p. m.
26,,25.7 °C,21.3 °C,19.7 °C,69.7 %,1 ppm,603 ppm,,,,28/09/2021 03:15:53 p. m.
27,,25.7 °C,21.3 °C,19.7 °C,69.7 %,1 ppm,603 ppm,,,,28/09/2021 03:15:58 p. m.
28,,25.7 °C,21.3 °C,19.7 °C,69.7 %,1 ppm,601 ppm,,,,28/09/2021 03:16:03 p. m.
29,,25.7 °C,21.3 °C,19.7 °C,69.7 %,1 ppm,604 ppm,,,,28/09/2021 03:16:08 p. m.
30,,25.8 °C,21.3 °C,19.7 °C,69.6 %,1 ppm,614 ppm,,,,28/09/2021 03:16:13 p. m.
31,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,618 ppm,,,,28/09/2021 03:16:18 p. m.
32,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,616 ppm,,,,28/09/2021 03:16:23 p. m.
33,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,616 ppm,,,,28/09/2021 03:16:28 p. m.
34,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,616 ppm,,,,28/09/2021 03:16:33 p. m.
35,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,619 ppm,,,,28/09/2021 03:16:38 p. m.
36,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,620 ppm,,,,28/09/2021 03:16:43 p. m.
37,,25.8 °C,21.4 °C,19.8 °C,69.6 %,0 ppm,618 ppm,,,,28/09/2021 03:16:48 p. m.
38,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,619 ppm,,,,28/09/2021 03:16:53 p. m.
39,,25.8 °C,21.4 °C,19.8 °C,69.6 %,1 ppm,623 ppm,,,,28/09/2021 03:16:58 p. m.
