Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,26.5 °C,19.9 °C,17.3 °C,57.3 %,1 ppm,461 ppm,,,,23/09/2021 04:40:15 p. m.
2,,26.5 °C,19.9 °C,17.3 °C,57.2 %,1 ppm,463 ppm,,,,23/09/2021 04:40:20 p. m.
3,,26.5 °C,19.9 °C,17.3 °C,57.3 %,1 ppm,460 ppm,,,,23/09/2021 04:40:25 p. m.
4,,26.5 °C,19.9 °C,17.3 °C,57.3 %,1 ppm,457 ppm,,,,23/09/2021 04:40:30 p. m.
5,,26.5 °C,19.9 °C,17.3 °C,57.4 %,1 ppm,451 ppm,,,,23/09/2021 04:40:35 p. m.
6,,26.5 °C,20.0 °C,17.4 °C,57.5 %,1 ppm,449 ppm,,,,23/09/2021 04:40:40 p. m.
7,,26.5 °C,20.0 °C,17.4 °C,57.6 %,1 ppm,442 ppm,,,,23/09/2021 04:40:45 p. m.
8,,26.5 °C,20.0 °C,17.4 °C,57.7 %,1 ppm,444 ppm,,,,23/09/2021 04:40:50 p. m.
9,,26.5 °C,20.0 °C,17.4 °C,57.6 %,1 ppm,451 ppm,,,,23/09/2021 04:40:55 p. m.
10,,26.5 °C,20.0 °C,17.4 °C,57.6 %,1 ppm,462 ppm,,,,23/09/2021 04:41:00 p. m.
11,,26.5 °C,20.0 °C,17.4 °C,57.6 %,1 ppm,475 ppm,,,,23/09/2021 04:41:05 p. m.
12,,26.5 °C,20.0 °C,17.4 °C,57.7 %,1 ppm,499 ppm,,,,23/09/2021 04:41:10 p. m.
13,,26.5 °C,20.0 °C,17.4 °C,57.7 %,1 ppm,511 ppm,,,,23/09/2021 04:41:15 p. m.
14,,26.5 °C,20.1 °C,17.5 °C,57.7 %,1 ppm,541 ppm,,,,23/09/2021 04:41:20 p. m.
15,,26.5 °C,20.0 °C,17.4 °C,57.7 %,1 ppm,565 ppm,,,,23/09/2021 04:41:25 p. m.
16,,26.5 °C,20.0 °C,17.4 °C,57.8 %,1 ppm,592 ppm,,,,23/09/2021 04:41:30 p. m.
17,,26.6 °C,20.1 °C,17.5 °C,57.7 %,1 ppm,605 ppm,,,,23/09/2021 04:41:35 p. m.
18,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,633 ppm,,,,23/09/2021 04:41:40 p. m.
19,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,646 ppm,,,,23/09/2021 04:41:45 p. m.
20,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,659 ppm,,,,23/09/2021 04:41:50 p. m.
21,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,667 ppm,,,,23/09/2021 04:41:55 p. m.
22,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,676 ppm,,,,23/09/2021 04:42:00 p. m.
23,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,677 ppm,,,,23/09/2021 04:42:05 p. m.
24,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,684 ppm,,,,23/09/2021 04:42:10 p. m.
25,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,686 ppm,,,,23/09/2021 04:42:15 p. m.
26,,26.6 °C,20.1 °C,17.5 °C,57.8 %,1 ppm,687 ppm,,,,23/09/2021 04:42:20 p. m.
27,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,690 ppm,,,,23/09/2021 04:42:25 p. m.
28,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,699 ppm,,,,23/09/2021 04:42:30 p. m.
29,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,702 ppm,,,,23/09/2021 04:42:35 p. m.
30,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,700 ppm,,,,23/09/2021 04:42:40 p. m.
31,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,698 ppm,,,,23/09/2021 04:42:45 p. m.
32,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,700 ppm,,,,23/09/2021 04:42:50 p. m.
33,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,706 ppm,,,,23/09/2021 04:42:55 p. m.
34,,26.6 °C,20.2 °C,17.6 °C,57.8 %,1 ppm,707 ppm,,,,23/09/2021 04:43:00 p. m.
35,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,709 ppm,,,,23/09/2021 04:43:05 p. m.
36,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,711 ppm,,,,23/09/2021 04:43:10 p. m.
37,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,716 ppm,,,,23/09/2021 04:43:15 p. m.
38,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,729 ppm,,,,23/09/2021 04:43:20 p. m.
39,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,736 ppm,,,,23/09/2021 04:43:25 p. m.
40,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,739 ppm,,,,23/09/2021 04:43:30 p. m.
41,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,745 ppm,,,,23/09/2021 04:43:35 p. m.
42,,26.6 °C,20.2 °C,17.6 °C,57.9 %,1 ppm,750 ppm,,,,23/09/2021 04:43:40 p. m.
43,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,746 ppm,,,,23/09/2021 04:43:45 p. m.
44,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,743 ppm,,,,23/09/2021 04:43:50 p. m.
45,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,740 ppm,,,,23/09/2021 04:43:55 p. m.
46,,26.7 °C,20.2 °C,17.7 °C,57.9 %,1 ppm,737 ppm,,,,23/09/2021 04:44:00 p. m.
47,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,738 ppm,,,,23/09/2021 04:44:05 p. m.
48,,26.7 °C,20.2 °C,17.7 °C,57.9 %,1 ppm,744 ppm,,,,23/09/2021 04:44:10 p. m.
49,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,744 ppm,,,,23/09/2021 04:44:15 p. m.
50,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,743 ppm,,,,23/09/2021 04:44:20 p. m.
51,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,748 ppm,,,,23/09/2021 04:44:25 p. m.
52,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,757 ppm,,,,23/09/2021 04:44:30 p. m.
53,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,763 ppm,,,,23/09/2021 04:44:35 p. m.
54,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,768 ppm,,,,23/09/2021 04:44:40 p. m.
55,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,774 ppm,,,,23/09/2021 04:44:45 p. m.
56,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,770 ppm,,,,23/09/2021 04:44:50 p. m.
57,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,774 ppm,,,,23/09/2021 04:44:55 p. m.
58,,26.7 °C,20.2 °C,17.7 °C,57.9 %,1 ppm,775 ppm,,,,23/09/2021 04:45:00 p. m.
59,,26.7 °C,20.3 °C,17.7 °C,57.9 %,1 ppm,776 ppm,,,,23/09/2021 04:45:05 p. m.
60,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,779 ppm,,,,23/09/2021 04:45:10 p. m.
61,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,769 ppm,,,,23/09/2021 04:45:15 p. m.
62,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,766 ppm,,,,23/09/2021 04:45:20 p. m.
63,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,767 ppm,,,,23/09/2021 04:45:25 p. m.
64,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,767 ppm,,,,23/09/2021 04:45:30 p. m.
65,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,765 ppm,,,,23/09/2021 04:45:35 p. m.
66,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,770 ppm,,,,23/09/2021 04:45:40 p. m.
67,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,781 ppm,,,,23/09/2021 04:45:45 p. m.
68,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,780 ppm,,,,23/09/2021 04:45:50 p. m.
69,,26.7 °C,20.2 °C,17.7 °C,58.0 %,1 ppm,795 ppm,,,,23/09/2021 04:45:55 p. m.
70,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,797 ppm,,,,23/09/2021 04:46:00 p. m.
71,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,798 ppm,,,,23/09/2021 04:46:05 p. m.
72,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,804 ppm,,,,23/09/2021 04:46:10 p. m.
