Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
6/25/2021 12:05:22 a. m.,"903","26.4","63","872"
6/25/2021 12:06:22 a. m.,"908","26.4","63","872"
6/25/2021 12:07:22 a. m.,"905","26.4","63","872"
6/25/2021 12:08:22 a. m.,"933","26.4","62","872"
6/25/2021 12:09:22 a. m.,"916","26.4","63","872"
6/25/2021 12:10:22 a. m.,"903","26.4","62","872"
6/25/2021 12:11:22 a. m.,"928","26.4","62","872"
6/25/2021 12:12:22 a. m.,"909","26.4","62","872"
6/25/2021 12:13:22 a. m.,"920","26.4","62","872"
6/25/2021 12:14:22 a. m.,"939","26.4","62","872"
6/25/2021 12:15:22 a. m.,"926","26.4","62","872"
6/25/2021 12:16:22 a. m.,"927","26.4","62","872"
6/25/2021 12:17:22 a. m.,"953","26.4","62","872"
6/25/2021 12:18:22 a. m.,"947","26.4","62","872"
6/25/2021 12:19:22 a. m.,"955","26.4","62","872"
6/25/2021 12:20:22 a. m.,"956","26.4","62","872"
6/25/2021 12:21:22 a. m.,"956","26.5","62","872"
6/25/2021 12:22:22 a. m.,"970","26.4","62","872"
6/25/2021 12:23:22 a. m.,"996","26.4","62","872"
6/25/2021 12:24:22 a. m.,"992","26.4","62","872"
6/25/2021 12:25:22 a. m.,"1011","26.4","62","872"
6/25/2021 12:26:22 a. m.,"986","26.4","62","872"
6/25/2021 12:27:22 a. m.,"1003","26.4","62","872"
6/25/2021 12:28:22 a. m.,"980","26.4","62","872"
6/25/2021 12:29:22 a. m.,"998","26.4","62","872"
6/25/2021 12:30:22 a. m.,"1007","26.4","62","872"
6/25/2021 12:31:22 a. m.,"1015","26.4","62","872"
6/25/2021 12:32:22 a. m.,"1002","26.4","62","872"
6/25/2021 12:33:22 a. m.,"1026","26.4","62","872"
6/25/2021 12:34:22 a. m.,"1014","26.4","62","872"
6/25/2021 12:35:22 a. m.,"1025","26.4","62","872"
6/25/2021 12:36:22 a. m.,"1012","26.4","62","872"
6/25/2021 12:37:22 a. m.,"1033","26.4","62","872"
6/25/2021 12:38:22 a. m.,"1031","26.4","62","872"
6/25/2021 12:39:22 a. m.,"1033","26.4","62","872"
6/25/2021 12:40:22 a. m.,"1040","26.4","62","872"
6/25/2021 12:41:22 a. m.,"1033","26.4","62","872"
6/25/2021 12:42:22 a. m.,"1052","26.4","62","872"
6/25/2021 12:43:22 a. m.,"1043","26.4","62","872"
6/25/2021 12:44:22 a. m.,"1073","26.4","62","872"
6/25/2021 12:45:22 a. m.,"1069","26.4","62","872"
6/25/2021 12:46:22 a. m.,"1103","26.4","63","872"
6/25/2021 12:47:22 a. m.,"1078","26.4","63","872"
6/25/2021 12:48:22 a. m.,"1100","26.4","63","872"
6/25/2021 12:49:22 a. m.,"1092","26.4","63","872"
6/25/2021 12:50:22 a. m.,"1096","26.4","63","872"
6/25/2021 12:51:22 a. m.,"1087","26.4","63","872"
6/25/2021 12:52:22 a. m.,"1114","26.4","63","872"
6/25/2021 12:53:22 a. m.,"1130","26.4","63","872"
6/25/2021 12:54:22 a. m.,"1118","26.3","62","872"
6/25/2021 12:55:22 a. m.,"1129","26.4","63","872"
6/25/2021 12:56:22 a. m.,"1124","26.3","63","872"
6/25/2021 12:57:22 a. m.,"1109","26.4","63","872"
6/25/2021 12:58:22 a. m.,"1131","26.3","63","872"
6/25/2021 12:59:22 a. m.,"1120","26.3","63","872"
6/25/2021 1:00:22 a. m.,"1129","26.3","63","872"
6/25/2021 1:01:22 a. m.,"1112","26.4","63","872"
6/25/2021 1:02:22 a. m.,"1126","26.3","63","872"
6/25/2021 1:03:22 a. m.,"1118","26.3","63","872"
6/25/2021 1:04:22 a. m.,"1107","26.3","63","872"
6/25/2021 1:05:22 a. m.,"1124","26.3","63","872"
6/25/2021 1:06:22 a. m.,"1132","26.3","63","872"
6/25/2021 1:07:22 a. m.,"1147","26.3","63","872"
6/25/2021 1:08:22 a. m.,"1150","26.3","63","872"
6/25/2021 1:09:22 a. m.,"1125","26.3","63","872"
6/25/2021 1:10:22 a. m.,"1132","26.2","63","872"
6/25/2021 1:11:22 a. m.,"1144","26.2","63","872"
6/25/2021 1:12:22 a. m.,"1142","26.3","63","872"
6/25/2021 1:13:22 a. m.,"1150","26.3","63","872"
6/25/2021 1:14:22 a. m.,"1123","26.2","63","872"
6/25/2021 1:15:22 a. m.,"1147","26.3","63","872"
6/25/2021 1:16:22 a. m.,"1144","26.2","63","872"
6/25/2021 1:17:22 a. m.,"1147","26.2","63","872"
6/25/2021 1:18:22 a. m.,"1147","26.2","63","872"
6/25/2021 1:19:22 a. m.,"1167","26.2","63","872"
6/25/2021 1:20:22 a. m.,"1164","26.2","63","872"
6/25/2021 1:21:22 a. m.,"1158","26.2","63","872"
6/25/2021 1:22:22 a. m.,"1153","26.2","63","872"
6/25/2021 1:23:22 a. m.,"1172","26.2","63","872"
6/25/2021 1:24:22 a. m.,"1153","26.2","63","872"
6/25/2021 1:25:22 a. m.,"1193","26.2","64","872"
6/25/2021 1:26:22 a. m.,"1173","26.2","64","872"
6/25/2021 1:27:22 a. m.,"1149","26.2","64","872"
6/25/2021 1:28:22 a. m.,"1158","26.2","64","872"
6/25/2021 1:29:22 a. m.,"1189","26.2","64","872"
6/25/2021 1:30:22 a. m.,"1184","26.2","64","872"
6/25/2021 1:31:22 a. m.,"1196","26.2","64","872"
6/25/2021 1:32:22 a. m.,"1222","26.2","64","872"
6/25/2021 1:33:22 a. m.,"1179","26.2","64","872"
6/25/2021 1:34:22 a. m.,"1213","26.2","64","872"
6/25/2021 1:35:22 a. m.,"1225","26.2","64","872"
6/25/2021 1:36:22 a. m.,"1181","26.2","64","872"
6/25/2021 1:37:22 a. m.,"1225","26.2","64","872"
6/25/2021 1:38:22 a. m.,"1209","26.2","64","872"
6/25/2021 1:39:22 a. m.,"1213","26.2","64","872"
6/25/2021 1:40:22 a. m.,"1278","26.1","64","872"
6/25/2021 1:41:22 a. m.,"1210","26.2","64","872"
6/25/2021 1:42:22 a. m.,"1226","26.1","64","872"
6/25/2021 1:43:22 a. m.,"1254","26.1","64","872"
6/25/2021 1:44:22 a. m.,"1243","26.1","64","872"
6/25/2021 1:45:22 a. m.,"1239","26.1","64","872"
6/25/2021 1:46:22 a. m.,"1240","26.1","64","872"
6/25/2021 1:47:22 a. m.,"1238","26.1","64","872"
6/25/2021 1:48:22 a. m.,"1231","26.1","64","872"
6/25/2021 1:49:22 a. m.,"1246","26.1","64","872"
6/25/2021 1:50:22 a. m.,"1240","26.1","64","872"
6/25/2021 1:51:22 a. m.,"1297","26.1","64","872"
6/25/2021 1:52:22 a. m.,"1264","26.1","64","872"
6/25/2021 1:53:22 a. m.,"1234","26.1","64","872"
6/25/2021 1:54:22 a. m.,"1255","26.1","64","872"
6/25/2021 1:55:22 a. m.,"1276","26.1","64","872"
6/25/2021 1:56:22 a. m.,"1260","26.1","64","872"
6/25/2021 1:57:22 a. m.,"1254","26.1","64","872"
6/25/2021 1:58:22 a. m.,"1264","26.1","64","872"
6/25/2021 1:59:22 a. m.,"1261","26.1","64","872"
6/25/2021 2:00:22 a. m.,"1273","26.1","64","872"
6/25/2021 2:01:22 a. m.,"1259","26.1","64","872"
6/25/2021 2:02:22 a. m.,"1297","26.1","64","872"
6/25/2021 2:03:22 a. m.,"1270","26.1","64","872"
6/25/2021 2:04:22 a. m.,"1273","26.1","64","872"
6/25/2021 2:05:22 a. m.,"1310","26.0","64","872"
6/25/2021 2:06:22 a. m.,"1306","26.1","64","872"
6/25/2021 2:07:22 a. m.,"1282","26.0","64","872"
6/25/2021 2:08:22 a. m.,"1323","26.0","64","872"
6/25/2021 2:09:22 a. m.,"1312","26.0","64","872"
6/25/2021 2:10:22 a. m.,"1312","26.0","64","872"
6/25/2021 2:11:22 a. m.,"1314","26.0","64","872"
6/25/2021 2:12:22 a. m.,"1327","26.0","64","872"
6/25/2021 2:13:22 a. m.,"1302","26.0","65","872"
6/25/2021 2:14:22 a. m.,"1301","26.0","65","872"
6/25/2021 2:15:22 a. m.,"1283","26.0","64","872"
6/25/2021 2:16:22 a. m.,"1253","26.0","64","872"
6/25/2021 2:17:22 a. m.,"1266","26.0","64","872"
6/25/2021 2:18:22 a. m.,"1262","26.0","64","872"
6/25/2021 2:19:22 a. m.,"1241","26.0","64","872"
6/25/2021 2:20:22 a. m.,"1256","26.0","64","872"
6/25/2021 2:21:22 a. m.,"1239","26.0","64","872"
6/25/2021 2:22:22 a. m.,"1239","26.0","64","872"
6/25/2021 2:23:22 a. m.,"1217","26.0","64","872"
6/25/2021 2:24:22 a. m.,"1223","26.0","64","872"
6/25/2021 2:25:22 a. m.,"1224","26.0","64","871"
6/25/2021 2:26:22 a. m.,"1208","26.0","64","871"
6/25/2021 2:27:22 a. m.,"1222","26.0","64","871"
6/25/2021 2:28:22 a. m.,"1226","26.0","64","871"
6/25/2021 2:29:22 a. m.,"1236","26.0","64","871"
6/25/2021 2:30:22 a. m.,"1233","26.0","64","871"
6/25/2021 2:31:22 a. m.,"1221","26.0","64","871"
6/25/2021 2:32:22 a. m.,"1204","26.0","64","871"
6/25/2021 2:33:22 a. m.,"1173","26.0","64","871"
6/25/2021 2:34:22 a. m.,"1173","26.0","64","871"
6/25/2021 2:35:22 a. m.,"1193","26.0","64","871"
6/25/2021 2:36:22 a. m.,"1166","26.0","64","871"
6/25/2021 2:37:22 a. m.,"1195","26.0","64","871"
6/25/2021 2:38:22 a. m.,"1185","26.0","64","871"
6/25/2021 2:39:22 a. m.,"1170","26.0","64","871"
6/25/2021 2:40:22 a. m.,"1180","26.0","64","871"
6/25/2021 2:41:22 a. m.,"1171","26.0","64","871"
6/25/2021 2:42:22 a. m.,"1173","26.0","64","871"
6/25/2021 2:43:22 a. m.,"1162","26.0","64","871"
6/25/2021 2:44:22 a. m.,"1162","26.0","64","871"
6/25/2021 2:45:22 a. m.,"1178","26.0","64","871"
6/25/2021 2:46:22 a. m.,"1181","26.0","64","871"
6/25/2021 2:47:22 a. m.,"1167","25.9","64","871"
6/25/2021 2:48:22 a. m.,"1196","25.9","64","871"
6/25/2021 2:49:22 a. m.,"1184","25.9","64","871"
6/25/2021 2:50:22 a. m.,"1199","26.0","64","871"
6/25/2021 2:51:22 a. m.,"1183","26.0","64","871"
6/25/2021 2:52:22 a. m.,"1182","25.9","64","871"
6/25/2021 2:53:22 a. m.,"1185","25.9","64","871"
6/25/2021 2:54:22 a. m.,"1190","25.9","65","871"
6/25/2021 2:55:22 a. m.,"1199","25.9","65","871"
6/25/2021 2:56:22 a. m.,"1192","25.9","65","871"
6/25/2021 2:57:22 a. m.,"1223","25.9","65","871"
6/25/2021 2:58:22 a. m.,"1161","25.9","64","871"
6/25/2021 2:59:22 a. m.,"1170","25.9","65","871"
6/25/2021 3:00:22 a. m.,"1124","26.0","64","871"
6/25/2021 3:01:22 a. m.,"1121","26.0","64","871"
6/25/2021 3:02:22 a. m.,"1139","26.0","64","871"
6/25/2021 3:03:22 a. m.,"1164","26.0","64","871"
6/25/2021 3:04:22 a. m.,"1166","26.0","64","871"
6/25/2021 3:05:22 a. m.,"1155","25.9","65","871"
6/25/2021 3:06:22 a. m.,"1171","25.9","65","871"
6/25/2021 3:07:22 a. m.,"1171","25.9","65","871"
6/25/2021 3:08:22 a. m.,"1173","25.9","65","871"
6/25/2021 3:09:22 a. m.,"1188","25.9","65","871"
6/25/2021 3:10:22 a. m.,"1180","25.9","65","871"
6/25/2021 3:11:22 a. m.,"1179","25.9","65","871"
6/25/2021 3:12:22 a. m.,"1201","25.9","65","871"
6/25/2021 3:13:22 a. m.,"1193","25.9","65","871"
6/25/2021 3:14:22 a. m.,"1149","25.9","65","871"
6/25/2021 3:15:22 a. m.,"1204","25.9","65","871"
6/25/2021 3:16:22 a. m.,"872","25.8","64","871"
6/25/2021 3:17:22 a. m.,"675","25.5","65","871"
6/25/2021 3:18:22 a. m.,"602","25.2","65","871"
6/25/2021 3:19:22 a. m.,"575","25.0","65","871"
6/25/2021 3:20:22 a. m.,"540","24.8","66","871"
6/25/2021 3:21:22 a. m.,"529","24.5","66","871"
6/25/2021 3:22:22 a. m.,"510","24.3","67","871"
6/25/2021 3:23:22 a. m.,"543","24.2","67","871"
6/25/2021 3:24:22 a. m.,"492","24.1","67","871"
6/25/2021 3:25:22 a. m.,"493","24.0","68","871"
6/25/2021 3:26:22 a. m.,"483","24.0","68","871"
6/25/2021 3:27:22 a. m.,"486","23.8","68","871"
6/25/2021 3:28:22 a. m.,"478","23.8","68","871"
6/25/2021 3:29:22 a. m.,"463","23.6","69","871"
6/25/2021 3:30:22 a. m.,"457","23.6","69","871"
6/25/2021 3:31:22 a. m.,"479","23.6","69","871"
6/25/2021 3:32:22 a. m.,"496","23.6","69","871"
6/25/2021 3:33:22 a. m.,"503","23.7","69","871"
6/25/2021 3:34:22 a. m.,"485","23.8","69","871"
6/25/2021 3:35:22 a. m.,"515","23.9","69","871"
6/25/2021 3:36:22 a. m.,"513","24.0","68","871"
6/25/2021 3:37:22 a. m.,"504","24.0","69","871"
6/25/2021 3:38:22 a. m.,"504","24.0","69","871"
6/25/2021 3:39:22 a. m.,"493","24.0","68","871"
6/25/2021 3:40:22 a. m.,"486","24.0","69","871"
6/25/2021 3:41:22 a. m.,"493","24.0","69","871"
6/25/2021 3:42:22 a. m.,"486","23.9","69","871"
6/25/2021 3:43:22 a. m.,"465","23.9","69","871"
6/25/2021 3:44:22 a. m.,"480","23.8","69","871"
6/25/2021 3:45:22 a. m.,"493","23.8","69","871"
6/25/2021 3:46:22 a. m.,"496","23.7","70","871"
6/25/2021 3:47:22 a. m.,"472","23.6","70","871"
6/25/2021 3:48:22 a. m.,"476","23.5","70","871"
6/25/2021 3:49:22 a. m.,"486","23.5","70","871"
6/25/2021 3:50:22 a. m.,"506","23.5","70","871"
6/25/2021 3:51:22 a. m.,"521","23.6","70","871"
6/25/2021 3:52:22 a. m.,"522","23.8","70","871"
6/25/2021 3:53:22 a. m.,"576","23.9","69","871"
6/25/2021 3:54:22 a. m.,"585","24.0","69","871"
6/25/2021 3:55:22 a. m.,"585","24.1","69","871"
6/25/2021 3:56:22 a. m.,"600","24.2","69","871"
6/25/2021 3:57:22 a. m.,"597","24.2","69","871"
6/25/2021 3:58:22 a. m.,"594","24.3","68","871"
6/25/2021 3:59:22 a. m.,"606","24.4","68","871"
6/25/2021 4:00:22 a. m.,"604","24.5","68","871"
6/25/2021 4:01:22 a. m.,"621","24.5","68","871"
6/25/2021 4:02:22 a. m.,"617","24.5","68","871"
6/25/2021 4:03:22 a. m.,"635","24.6","68","871"
6/25/2021 4:04:22 a. m.,"611","24.6","68","871"
6/25/2021 4:05:22 a. m.,"642","24.7","68","870"
6/25/2021 4:06:22 a. m.,"643","24.8","68","870"
6/25/2021 4:07:22 a. m.,"655","24.8","68","870"
6/25/2021 4:08:22 a. m.,"660","24.8","68","870"
6/25/2021 4:09:22 a. m.,"644","24.9","67","870"
6/25/2021 4:10:22 a. m.,"671","24.9","67","870"
6/25/2021 4:11:22 a. m.,"669","24.9","67","870"
6/25/2021 4:12:22 a. m.,"677","24.9","67","870"
6/25/2021 4:13:22 a. m.,"687","25.0","67","870"
6/25/2021 4:14:22 a. m.,"688","25.0","67","870"
6/25/2021 4:15:22 a. m.,"705","25.0","67","870"
6/25/2021 4:16:22 a. m.,"689","25.0","67","870"
6/25/2021 4:17:22 a. m.,"698","25.0","67","870"
6/25/2021 4:18:22 a. m.,"741","25.0","67","870"
6/25/2021 4:19:22 a. m.,"741","25.0","67","870"
6/25/2021 4:20:22 a. m.,"725","25.0","67","870"
6/25/2021 4:21:22 a. m.,"734","25.0","67","870"
6/25/2021 4:22:22 a. m.,"754","25.1","67","870"
6/25/2021 4:23:22 a. m.,"754","25.1","67","870"
6/25/2021 4:24:22 a. m.,"749","25.1","67","870"
6/25/2021 4:25:22 a. m.,"755","25.1","67","870"
6/25/2021 4:26:22 a. m.,"752","25.1","67","870"
6/25/2021 4:27:22 a. m.,"760","25.2","67","870"
6/25/2021 4:28:22 a. m.,"757","25.1","67","870"
6/25/2021 4:29:22 a. m.,"769","25.2","67","870"
6/25/2021 4:30:22 a. m.,"775","25.2","67","870"
6/25/2021 4:31:22 a. m.,"786","25.2","67","870"
6/25/2021 4:32:22 a. m.,"779","25.2","67","870"
6/25/2021 4:33:22 a. m.,"793","25.2","67","870"
6/25/2021 4:34:22 a. m.,"788","25.2","67","870"
6/25/2021 4:35:22 a. m.,"800","25.2","67","870"
6/25/2021 4:36:22 a. m.,"778","25.2","67","870"
6/25/2021 4:37:22 a. m.,"783","25.2","66","870"
6/25/2021 4:38:22 a. m.,"789","25.2","66","870"
6/25/2021 4:39:22 a. m.,"815","25.2","66","870"
6/25/2021 4:40:22 a. m.,"818","25.3","66","870"
6/25/2021 4:41:22 a. m.,"815","25.2","66","870"
6/25/2021 4:42:22 a. m.,"800","25.2","66","870"
6/25/2021 4:43:22 a. m.,"837","25.2","66","870"
6/25/2021 4:44:22 a. m.,"844","25.3","66","870"
6/25/2021 4:45:22 a. m.,"829","25.3","66","870"
6/25/2021 4:46:22 a. m.,"821","25.3","66","870"
6/25/2021 4:47:22 a. m.,"848","25.3","66","870"
6/25/2021 4:48:22 a. m.,"865","25.3","66","870"
6/25/2021 4:49:22 a. m.,"852","25.4","66","870"
6/25/2021 4:50:22 a. m.,"864","25.4","66","870"
6/25/2021 4:51:22 a. m.,"880","25.4","66","870"
6/25/2021 4:52:22 a. m.,"869","25.3","66","870"
6/25/2021 4:53:22 a. m.,"871","25.3","66","870"
6/25/2021 4:54:22 a. m.,"882","25.4","66","870"
6/25/2021 4:55:22 a. m.,"875","25.4","66","870"
6/25/2021 4:56:22 a. m.,"884","25.4","66","870"
6/25/2021 4:57:22 a. m.,"856","25.4","66","870"
6/25/2021 4:58:22 a. m.,"875","25.4","66","870"
6/25/2021 4:59:22 a. m.,"891","25.3","66","870"
6/25/2021 5:00:22 a. m.,"883","25.4","66","870"
6/25/2021 5:01:22 a. m.,"878","25.4","66","870"
6/25/2021 5:02:22 a. m.,"888","25.4","66","870"
6/25/2021 5:03:22 a. m.,"899","25.4","66","870"
6/25/2021 5:04:22 a. m.,"886","25.4","66","870"
6/25/2021 5:05:22 a. m.,"915","25.4","66","870"
6/25/2021 5:06:22 a. m.,"918","25.4","66","870"
6/25/2021 5:07:22 a. m.,"882","25.4","66","870"
6/25/2021 5:08:22 a. m.,"896","25.4","66","870"
6/25/2021 5:09:22 a. m.,"903","25.4","66","870"
6/25/2021 5:10:22 a. m.,"919","25.4","66","870"
6/25/2021 5:11:22 a. m.,"923","25.4","66","870"
6/25/2021 5:12:22 a. m.,"912","25.4","66","870"
6/25/2021 5:13:22 a. m.,"920","25.4","66","870"
6/25/2021 5:14:22 a. m.,"937","25.4","66","870"
6/25/2021 5:15:22 a. m.,"916","25.4","66","870"
6/25/2021 5:16:22 a. m.,"906","25.4","66","870"
6/25/2021 5:17:22 a. m.,"944","25.4","66","870"
6/25/2021 5:18:22 a. m.,"935","25.4","66","870"
6/25/2021 5:19:22 a. m.,"930","25.4","66","870"
6/25/2021 5:20:22 a. m.,"933","25.4","66","870"
6/25/2021 5:21:22 a. m.,"924","25.4","66","870"
6/25/2021 5:22:22 a. m.,"958","25.4","66","870"
6/25/2021 5:23:22 a. m.,"942","25.4","66","870"
6/25/2021 5:24:22 a. m.,"954","25.4","66","870"
6/25/2021 5:25:22 a. m.,"947","25.4","66","870"
6/25/2021 5:26:22 a. m.,"971","25.4","66","870"
6/25/2021 5:27:22 a. m.,"960","25.4","66","870"
6/25/2021 5:28:22 a. m.,"946","25.4","66","870"
6/25/2021 5:29:22 a. m.,"960","25.4","66","870"
6/25/2021 5:30:22 a. m.,"958","25.4","66","870"
6/25/2021 5:31:22 a. m.,"923","25.3","66","870"
6/25/2021 5:32:22 a. m.,"961","25.3","66","870"
6/25/2021 5:33:22 a. m.,"1001","25.4","66","870"
6/25/2021 5:34:22 a. m.,"978","25.4","66","870"
6/25/2021 5:35:22 a. m.,"1012","25.4","66","871"
6/25/2021 5:36:22 a. m.,"981","25.3","66","871"
6/25/2021 5:37:22 a. m.,"980","25.3","66","871"
