Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
6/21/2021 7:52:48 a. m.,"448","25.0","60","871"
6/21/2021 7:53:48 a. m.,"449","25.0","60","871"
6/21/2021 7:54:48 a. m.,"457","25.0","60","871"
6/21/2021 7:55:48 a. m.,"439","24.9","60","871"
6/21/2021 7:56:48 a. m.,"449","24.9","60","871"
6/21/2021 7:57:48 a. m.,"460","24.9","60","871"
6/21/2021 7:58:48 a. m.,"447","24.9","60","871"
6/21/2021 7:59:48 a. m.,"447","25.0","60","871"
6/21/2021 8:00:48 a. m.,"442","24.9","60","871"
6/21/2021 8:01:48 a. m.,"461","25.0","60","871"
6/21/2021 8:02:48 a. m.,"460","25.0","60","871"
6/21/2021 8:03:48 a. m.,"450","25.0","60","871"
6/21/2021 8:04:48 a. m.,"447","24.9","60","871"
6/21/2021 8:05:48 a. m.,"454","24.9","60","871"
6/21/2021 8:06:48 a. m.,"443","24.9","60","871"
6/21/2021 8:07:48 a. m.,"453","24.9","60","871"
6/21/2021 8:08:48 a. m.,"449","24.9","60","871"
6/21/2021 8:09:48 a. m.,"442","24.9","60","871"
6/21/2021 8:10:48 a. m.,"470","24.9","60","871"
6/21/2021 8:11:48 a. m.,"449","24.9","60","871"
6/21/2021 8:12:48 a. m.,"439","24.9","60","871"
6/21/2021 8:13:48 a. m.,"456","24.9","60","871"
6/21/2021 8:14:48 a. m.,"457","24.9","60","871"
6/21/2021 8:15:48 a. m.,"451","24.9","60","871"
6/21/2021 8:16:48 a. m.,"442","24.9","60","871"
6/21/2021 8:17:48 a. m.,"471","24.9","60","871"
6/21/2021 8:18:48 a. m.,"442","24.9","60","871"
6/21/2021 8:19:48 a. m.,"458","24.9","60","871"
6/21/2021 8:20:48 a. m.,"457","24.9","60","871"
6/21/2021 8:21:48 a. m.,"438","24.9","60","871"
6/21/2021 8:22:48 a. m.,"443","24.9","60","871"
6/21/2021 8:23:48 a. m.,"437","24.9","60","871"
6/21/2021 8:24:48 a. m.,"446","24.9","60","871"
6/21/2021 8:25:48 a. m.,"449","24.9","60","871"
6/21/2021 8:26:48 a. m.,"426","24.9","60","871"
6/21/2021 8:27:48 a. m.,"445","24.9","60","871"
6/21/2021 8:28:48 a. m.,"442","24.9","60","871"
6/21/2021 8:29:48 a. m.,"456","24.9","60","871"
6/21/2021 8:30:48 a. m.,"425","24.9","60","871"
6/21/2021 8:31:48 a. m.,"437","24.9","60","871"
6/21/2021 8:32:48 a. m.,"442","24.9","60","871"
6/21/2021 8:33:48 a. m.,"444","24.9","60","871"
6/21/2021 8:34:48 a. m.,"425","24.9","60","871"
6/21/2021 8:35:48 a. m.,"453","24.9","60","871"
6/21/2021 8:36:48 a. m.,"458","24.9","60","871"
6/21/2021 8:37:48 a. m.,"460","24.9","60","871"
6/21/2021 8:38:48 a. m.,"454","24.9","60","871"
6/21/2021 8:39:48 a. m.,"444","24.9","60","871"
6/21/2021 8:40:48 a. m.,"445","24.9","60","871"
6/21/2021 8:41:48 a. m.,"440","24.9","60","871"
6/21/2021 8:42:48 a. m.,"431","24.9","60","871"
6/21/2021 8:43:48 a. m.,"446","24.9","60","871"
6/21/2021 8:44:48 a. m.,"436","25.0","60","871"
6/21/2021 8:45:48 a. m.,"415","24.9","60","871"
6/21/2021 8:46:48 a. m.,"434","25.0","60","871"
6/21/2021 8:47:48 a. m.,"424","25.0","60","871"
6/21/2021 8:48:48 a. m.,"440","25.0","60","871"
6/21/2021 8:49:48 a. m.,"450","25.0","60","871"
6/21/2021 8:50:48 a. m.,"445","25.0","60","871"
6/21/2021 8:51:48 a. m.,"427","25.0","60","871"
6/21/2021 8:52:48 a. m.,"433","25.0","60","871"
6/21/2021 8:53:48 a. m.,"435","25.0","60","871"
6/21/2021 8:54:48 a. m.,"434","25.0","60","871"
6/21/2021 8:55:48 a. m.,"437","25.0","60","871"
6/21/2021 8:56:48 a. m.,"433","25.0","60","871"
6/21/2021 8:57:48 a. m.,"441","25.0","60","871"
6/21/2021 8:58:48 a. m.,"449","25.0","60","871"
6/21/2021 8:59:48 a. m.,"470","25.0","60","871"
6/21/2021 9:00:48 a. m.,"474","25.0","60","871"
6/21/2021 9:01:48 a. m.,"463","25.0","60","871"
6/21/2021 9:02:48 a. m.,"465","25.0","60","871"
6/21/2021 9:03:48 a. m.,"458","25.0","60","871"
6/21/2021 9:04:48 a. m.,"463","25.0","61","871"
6/21/2021 9:05:48 a. m.,"456","25.0","61","871"
6/21/2021 9:06:48 a. m.,"463","25.0","61","871"
6/21/2021 9:07:48 a. m.,"461","25.0","61","871"
6/21/2021 9:08:48 a. m.,"460","25.0","61","871"
6/21/2021 9:09:48 a. m.,"475","25.1","61","871"
6/21/2021 9:10:48 a. m.,"469","25.1","61","871"
6/21/2021 9:11:48 a. m.,"446","25.1","61","871"
6/21/2021 9:12:48 a. m.,"453","25.1","61","871"
6/21/2021 9:13:48 a. m.,"446","25.1","61","871"
6/21/2021 9:14:48 a. m.,"451","25.1","61","871"
6/21/2021 9:15:48 a. m.,"457","25.1","61","871"
6/21/2021 9:16:48 a. m.,"462","25.1","61","871"
6/21/2021 9:17:48 a. m.,"457","25.1","61","871"
6/21/2021 9:18:48 a. m.,"463","25.1","61","871"
6/21/2021 9:19:48 a. m.,"446","25.1","61","871"
6/21/2021 9:20:48 a. m.,"449","25.2","61","871"
6/21/2021 9:21:48 a. m.,"450","25.2","61","871"
6/21/2021 9:22:48 a. m.,"463","25.2","61","871"
6/21/2021 9:23:48 a. m.,"469","25.2","61","871"
6/21/2021 9:24:48 a. m.,"451","25.2","61","871"
6/21/2021 9:25:48 a. m.,"462","25.2","61","871"
6/21/2021 9:26:48 a. m.,"462","25.2","61","871"
6/21/2021 9:27:48 a. m.,"478","25.2","61","871"
6/21/2021 9:28:48 a. m.,"476","25.2","61","871"
6/21/2021 9:29:48 a. m.,"469","25.2","61","871"
6/21/2021 9:30:48 a. m.,"474","25.2","61","871"
6/21/2021 9:31:48 a. m.,"472","25.2","62","871"
6/21/2021 9:32:48 a. m.,"471","25.2","62","871"
6/21/2021 9:33:48 a. m.,"457","25.3","62","871"
6/21/2021 9:34:48 a. m.,"471","25.3","62","871"
6/21/2021 9:35:48 a. m.,"449","25.3","62","871"
6/21/2021 9:36:48 a. m.,"482","25.3","62","871"
6/21/2021 9:37:48 a. m.,"479","25.3","62","871"
6/21/2021 9:38:48 a. m.,"465","25.3","62","871"
6/21/2021 9:39:48 a. m.,"466","25.3","62","871"
6/21/2021 9:40:48 a. m.,"526","25.3","62","871"
6/21/2021 9:41:48 a. m.,"487","25.3","62","871"
6/21/2021 9:42:48 a. m.,"525","25.3","62","871"
6/21/2021 9:43:48 a. m.,"503","25.3","62","871"
6/21/2021 9:44:48 a. m.,"482","25.3","62","871"
6/21/2021 9:45:48 a. m.,"500","25.3","62","871"
6/21/2021 9:46:48 a. m.,"512","25.3","62","871"
6/21/2021 9:47:48 a. m.,"493","25.3","62","871"
6/21/2021 9:48:48 a. m.,"487","25.3","62","871"
6/21/2021 9:49:48 a. m.,"490","25.3","62","871"
6/21/2021 9:50:48 a. m.,"477","25.3","62","871"
6/21/2021 9:51:48 a. m.,"454","25.3","62","871"
6/21/2021 9:52:48 a. m.,"455","25.3","62","871"
6/21/2021 9:53:48 a. m.,"454","25.2","62","871"
6/21/2021 9:54:48 a. m.,"443","25.3","62","871"
6/21/2021 9:55:48 a. m.,"438","25.3","62","871"
6/21/2021 9:56:48 a. m.,"445","25.3","62","871"
6/21/2021 9:57:48 a. m.,"449","25.2","62","871"
6/21/2021 9:58:48 a. m.,"439","25.3","62","871"
6/21/2021 9:59:48 a. m.,"416","25.3","62","871"
6/21/2021 10:00:48 a. m.,"417","25.3","62","871"
6/21/2021 10:01:48 a. m.,"432","25.3","62","871"
6/21/2021 10:02:48 a. m.,"419","25.2","62","871"
6/21/2021 10:03:48 a. m.,"426","25.2","62","871"
6/21/2021 10:04:48 a. m.,"452","25.2","62","871"
6/21/2021 10:05:48 a. m.,"452","25.2","62","871"
6/21/2021 10:06:48 a. m.,"468","25.2","62","871"
6/21/2021 10:07:48 a. m.,"489","25.3","62","871"
6/21/2021 10:08:48 a. m.,"492","25.3","62","871"
6/21/2021 10:09:48 a. m.,"519","25.3","62","871"
6/21/2021 10:10:48 a. m.,"542","25.4","71","872"
6/21/2021 10:11:48 a. m.,"445","25.6","64","872"
6/21/2021 10:12:48 a. m.,"441","25.5","63","872"
6/21/2021 10:13:48 a. m.,"453","25.5","63","872"
6/21/2021 10:14:48 a. m.,"441","25.5","63","872"
6/21/2021 10:15:48 a. m.,"454","25.4","63","872"
6/21/2021 10:16:48 a. m.,"447","25.3","63","872"
6/21/2021 10:17:48 a. m.,"456","25.2","63","872"
6/21/2021 10:18:48 a. m.,"455","25.2","63","872"
6/21/2021 10:19:48 a. m.,"475","25.1","63","872"
6/21/2021 10:20:48 a. m.,"507","25.1","65","872"
6/21/2021 10:21:48 a. m.,"515","25.1","65","872"
6/21/2021 10:22:48 a. m.,"523","25.2","64","872"
6/21/2021 10:23:48 a. m.,"512","25.2","64","872"
6/21/2021 10:24:48 a. m.,"490","25.2","64","872"
6/21/2021 10:25:48 a. m.,"504","25.2","64","872"
6/21/2021 10:26:48 a. m.,"504","25.2","64","872"
6/21/2021 10:27:48 a. m.,"502","25.2","64","872"
6/21/2021 10:28:48 a. m.,"496","25.1","64","872"
6/21/2021 10:29:48 a. m.,"511","25.1","64","872"
6/21/2021 10:30:48 a. m.,"508","25.1","64","872"
6/21/2021 10:31:48 a. m.,"496","25.1","64","872"
6/21/2021 10:32:48 a. m.,"517","25.1","64","872"
6/21/2021 10:33:48 a. m.,"497","25.1","64","872"
6/21/2021 10:34:48 a. m.,"495","25.1","64","872"
6/21/2021 10:35:48 a. m.,"519","25.1","64","872"
6/21/2021 10:36:48 a. m.,"521","25.1","64","872"
6/21/2021 10:37:48 a. m.,"522","25.1","64","872"
6/21/2021 10:38:48 a. m.,"512","25.1","64","872"
6/21/2021 10:39:48 a. m.,"508","25.1","64","872"
6/21/2021 10:40:48 a. m.,"525","25.1","64","872"
6/21/2021 10:41:48 a. m.,"533","25.1","64","872"
6/21/2021 10:42:48 a. m.,"569","25.5","74","872"
6/21/2021 10:43:48 a. m.,"510","25.8","72","872"
6/21/2021 10:44:48 a. m.,"504","26.1","71","873"
6/21/2021 10:45:48 a. m.,"440","26.4","68","874"
6/21/2021 10:46:48 a. m.,"440","26.5","67","874"
6/21/2021 10:47:48 a. m.,"475","26.6","66","875"
