,s8lp,sen0220,t3022,mh-z14a,fluke
2021-07-01 15:35:00,417.0,421.5,448.0,450.0,
2021-07-01 15:35:15,418.0,420.0,449.0,449.0,
2021-07-01 15:35:30,418.0,420.5,449.0,448.0,
2021-07-01 15:35:45,418.0,421.0,448.0,448.0,
2021-07-01 15:36:00,419.0,422.5,448.0,448.0,
2021-07-01 15:36:15,418.0,421.6666666666667,449.0,447.0,
2021-07-01 15:36:30,418.0,421.0,447.0,447.0,
2021-07-01 15:36:45,418.0,422.0,447.0,447.0,
2021-07-01 15:37:00,419.0,420.5,447.0,448.0,
2021-07-01 15:37:15,419.0,422.0,447.0,449.0,
2021-07-01 15:37:30,419.0,423.0,447.0,450.0,
2021-07-01 15:37:45,419.0,420.0,448.0,451.0,
2021-07-01 15:38:00,419.0,420.0,448.0,452.0,
2021-07-01 15:38:15,418.0,420.0,447.0,453.0,
2021-07-01 15:38:30,418.0,419.5,446.0,454.0,
2021-07-01 15:38:45,419.0,418.0,445.0,454.0,
2021-07-01 15:39:00,419.0,417.5,444.0,455.0,
2021-07-01 15:39:15,420.0,418.0,444.0,456.0,
2021-07-01 15:39:30,420.0,418.0,444.0,457.0,
2021-07-01 15:39:45,420.0,418.6666666666667,444.0,458.0,
2021-07-01 15:40:00,419.0,419.0,445.0,460.0,429.0
2021-07-01 15:40:15,419.0,417.0,445.0,461.0,435.0
2021-07-01 15:40:30,,498.0,,,433.0
2021-07-01 15:40:45,437.0,575.0,446.0,462.0,441.0
2021-07-01 15:41:00,602.0,646.5,451.0,464.0,471.0
2021-07-01 15:41:15,688.0,676.0,459.0,515.0,507.0
2021-07-01 15:41:30,725.0,710.0,487.0,575.0,544.0
2021-07-01 15:41:45,747.0,723.5,532.0,612.0,562.0
2021-07-01 15:42:00,747.0,730.5,539.0,638.0,585.0
2021-07-01 15:42:15,750.0,734.0,550.0,675.0,598.0
2021-07-01 15:42:30,750.0,735.0,581.0,703.0,606.0
2021-07-01 15:42:45,750.0,738.5,588.0,729.0,615.0
2021-07-01 15:43:00,749.0,740.5,593.0,758.0,616.0
2021-07-01 15:43:15,750.0,741.0,600.0,776.0,626.0
2021-07-01 15:43:30,749.0,741.6666666666666,604.0,793.0,633.0
2021-07-01 15:43:45,749.0,742.0,609.0,808.0,634.0
2021-07-01 15:44:00,749.0,743.0,615.0,825.0,644.0
2021-07-01 15:44:15,749.0,744.0,625.0,834.0,651.0
2021-07-01 15:44:30,750.0,744.5,632.0,842.0,652.0
2021-07-01 15:44:45,749.0,743.5,638.0,848.0,649.0
2021-07-01 15:45:00,749.0,743.0,646.0,856.0,640.0
2021-07-01 15:45:15,749.0,744.6666666666666,652.0,862.0,645.0
2021-07-01 15:45:30,,744.5,,,655.0
2021-07-01 15:45:45,749.0,744.0,656.0,869.0,661.0
2021-07-01 15:46:00,749.0,744.6666666666666,664.0,873.0,667.0
2021-07-01 15:46:15,749.0,744.0,671.0,878.0,671.0
2021-07-01 15:46:30,749.0,745.0,676.0,882.0,670.0
2021-07-01 15:46:45,749.0,745.5,683.0,885.0,665.0
2021-07-01 15:47:00,749.0,745.0,689.0,886.0,664.0
2021-07-01 15:47:15,750.0,746.5,695.0,888.0,670.0
2021-07-01 15:47:30,750.0,747.5,697.0,890.0,685.0
2021-07-01 15:47:45,750.0,746.3333333333334,703.0,891.0,688.0
2021-07-01 15:48:00,750.0,746.0,707.0,893.0,678.0
2021-07-01 15:48:15,750.0,746.0,711.0,896.0,682.0
2021-07-01 15:48:30,750.0,744.0,716.0,896.0,691.0
2021-07-01 15:48:45,749.0,742.0,721.0,896.0,704.0
2021-07-01 15:49:00,749.0,743.0,725.0,896.0,701.0
2021-07-01 15:49:15,750.0,744.5,728.0,897.0,703.0
2021-07-01 15:49:30,750.0,743.0,732.0,897.0,702.0
2021-07-01 15:49:45,750.0,744.0,736.0,897.0,710.0
2021-07-01 15:50:00,750.0,744.5,739.0,897.0,708.0
2021-07-01 15:50:15,749.0,744.0,743.0,897.0,701.0
2021-07-01 15:50:30,748.0,743.0,748.0,896.0,693.0
2021-07-01 15:50:45,748.0,743.5,750.0,896.0,703.0
2021-07-01 15:51:00,747.0,740.5,751.0,896.0,713.0
2021-07-01 15:51:15,748.0,740.5,752.0,894.0,708.0
2021-07-01 15:51:30,747.0,738.6666666666666,754.0,893.0,712.0
2021-07-01 15:51:45,,740.0,,,721.0
2021-07-01 15:52:00,747.0,740.0,757.0,893.0,723.0
2021-07-01 15:52:15,748.0,739.0,759.0,893.0,722.0
2021-07-01 15:52:30,748.0,740.0,761.0,892.0,729.0
2021-07-01 15:52:45,746.0,740.0,763.0,891.0,728.0
2021-07-01 15:53:00,746.0,741.5,765.0,891.0,728.0
2021-07-01 15:53:15,746.0,741.0,765.0,890.0,723.0
2021-07-01 15:53:30,747.0,740.0,766.0,889.0,719.0
2021-07-01 15:53:45,748.0,740.5,767.0,889.0,717.0
2021-07-01 15:54:00,748.0,742.0,769.0,889.0,722.0
2021-07-01 15:54:15,750.0,741.6666666666666,770.0,889.0,725.0
2021-07-01 15:54:30,751.0,743.0,774.0,889.0,733.0
2021-07-01 15:54:45,751.0,743.5,776.0,889.0,732.0
2021-07-01 15:55:00,751.0,743.5,776.0,888.0,738.0
2021-07-01 15:55:15,750.0,744.6666666666666,778.0,887.0,730.0
2021-07-01 15:55:30,751.0,744.0,780.0,887.0,731.0
2021-07-01 15:55:45,751.0,743.5,781.0,888.0,731.0
2021-07-01 15:56:00,750.0,742.6666666666666,782.0,888.0,741.0
2021-07-01 15:56:15,750.0,742.5,783.0,887.0,741.0
2021-07-01 15:56:30,750.0,742.5,784.0,888.0,742.0
2021-07-01 15:56:45,750.0,741.0,784.0,888.0,737.0
2021-07-01 15:57:00,749.0,742.3333333333334,785.0,888.0,726.0
2021-07-01 15:57:15,750.0,742.5,787.0,888.0,723.0
2021-07-01 15:57:30,751.0,741.0,786.0,887.0,738.0
2021-07-01 15:57:45,,742.6666666666666,,,737.0
2021-07-01 15:58:00,750.0,743.0,787.0,888.0,739.0
2021-07-01 15:58:15,750.0,744.0,788.0,888.0,744.0
2021-07-01 15:58:30,752.0,743.0,790.0,888.0,751.0
2021-07-01 15:58:45,753.0,742.0,793.0,888.0,760.0
2021-07-01 15:59:00,754.0,744.0,794.0,888.0,747.0
2021-07-01 15:59:15,753.0,744.0,793.0,888.0,745.0
2021-07-01 15:59:30,751.0,744.0,793.0,888.0,744.0
2021-07-01 15:59:45,753.0,745.0,793.0,888.0,749.0
2021-07-01 16:00:00,754.0,743.0,793.0,888.0,747.0
2021-07-01 16:00:15,754.0,742.5,794.0,887.0,748.0
2021-07-01 16:00:30,754.0,742.3333333333334,794.0,887.0,741.0
2021-07-01 16:00:45,754.0,744.5,794.0,888.0,753.0
2021-07-01 16:01:00,753.0,745.0,795.0,888.0,758.0
