Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.8 °C,21.7 °C,20.3 °C,72.0 %,1 ppm,429 ppm,,,,01/07/2021 03:40:14 p. m.
2,,25.8 °C,21.7 °C,20.3 °C,72.0 %,1 ppm,435 ppm,,,,01/07/2021 03:40:29 p. m.
3,,25.9 °C,21.8 °C,20.4 °C,72.1 %,1 ppm,433 ppm,,,,01/07/2021 03:40:44 p. m.
4,,25.9 °C,21.8 °C,20.4 °C,72.1 %,1 ppm,441 ppm,,,,01/07/2021 03:40:59 p. m.
5,,25.9 °C,21.8 °C,20.4 °C,72.1 %,1 ppm,471 ppm,,,,01/07/2021 03:41:14 p. m.
6,,25.9 °C,21.8 °C,20.4 °C,72.0 %,1 ppm,507 ppm,,,,01/07/2021 03:41:29 p. m.
7,,25.9 °C,21.8 °C,20.4 °C,72.0 %,1 ppm,544 ppm,,,,01/07/2021 03:41:44 p. m.
8,,25.9 °C,21.8 °C,20.4 °C,72.0 %,1 ppm,562 ppm,,,,01/07/2021 03:41:59 p. m.
9,,25.9 °C,21.8 °C,20.4 °C,72.0 %,1 ppm,585 ppm,,,,01/07/2021 03:42:14 p. m.
10,,25.9 °C,21.8 °C,20.4 °C,72.0 %,1 ppm,598 ppm,,,,01/07/2021 03:42:29 p. m.
11,,26.0 °C,21.9 °C,20.5 °C,72.2 %,1 ppm,606 ppm,,,,01/07/2021 03:42:44 p. m.
12,,26.0 °C,21.9 °C,20.5 °C,72.2 %,1 ppm,615 ppm,,,,01/07/2021 03:42:59 p. m.
13,,26.0 °C,21.9 °C,20.5 °C,72.1 %,1 ppm,616 ppm,,,,01/07/2021 03:43:14 p. m.
14,,26.0 °C,21.9 °C,20.5 °C,72.1 %,1 ppm,626 ppm,,,,01/07/2021 03:43:29 p. m.
15,,26.0 °C,21.9 °C,20.5 °C,72.1 %,1 ppm,633 ppm,,,,01/07/2021 03:43:44 p. m.
16,,26.0 °C,21.9 °C,20.5 °C,72.1 %,1 ppm,634 ppm,,,,01/07/2021 03:43:59 p. m.
17,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,644 ppm,,,,01/07/2021 03:44:14 p. m.
18,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,651 ppm,,,,01/07/2021 03:44:29 p. m.
19,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,652 ppm,,,,01/07/2021 03:44:44 p. m.
20,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,649 ppm,,,,01/07/2021 03:44:59 p. m.
21,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,640 ppm,,,,01/07/2021 03:45:14 p. m.
22,,26.0 °C,21.9 °C,20.5 °C,72.0 %,1 ppm,645 ppm,,,,01/07/2021 03:45:29 p. m.
23,,26.1 °C,22.0 °C,20.6 °C,72.0 %,1 ppm,655 ppm,,,,01/07/2021 03:45:44 p. m.
24,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,661 ppm,,,,01/07/2021 03:45:59 p. m.
25,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,667 ppm,,,,01/07/2021 03:46:14 p. m.
26,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,671 ppm,,,,01/07/2021 03:46:29 p. m.
27,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,670 ppm,,,,01/07/2021 03:46:44 p. m.
28,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,665 ppm,,,,01/07/2021 03:46:59 p. m.
29,,26.1 °C,22.0 °C,20.6 °C,71.9 %,1 ppm,664 ppm,,,,01/07/2021 03:47:14 p. m.
30,,26.1 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,670 ppm,,,,01/07/2021 03:47:29 p. m.
31,,26.1 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,685 ppm,,,,01/07/2021 03:47:44 p. m.
32,,26.1 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,688 ppm,,,,01/07/2021 03:47:59 p. m.
33,,26.1 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,678 ppm,,,,01/07/2021 03:48:14 p. m.
34,,26.1 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,682 ppm,,,,01/07/2021 03:48:29 p. m.
35,,26.2 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,691 ppm,,,,01/07/2021 03:48:44 p. m.
36,,26.2 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,704 ppm,,,,01/07/2021 03:48:59 p. m.
37,,26.2 °C,22.0 °C,20.6 °C,71.8 %,1 ppm,701 ppm,,,,01/07/2021 03:49:14 p. m.
38,,26.2 °C,22.0 °C,20.6 °C,71.7 %,1 ppm,703 ppm,,,,01/07/2021 03:49:29 p. m.
39,,26.2 °C,22.0 °C,20.6 °C,71.7 %,1 ppm,702 ppm,,,,01/07/2021 03:49:44 p. m.
40,,26.2 °C,22.0 °C,20.6 °C,71.7 %,1 ppm,710 ppm,,,,01/07/2021 03:49:59 p. m.
41,,26.2 °C,22.0 °C,20.6 °C,71.7 %,1 ppm,708 ppm,,,,01/07/2021 03:50:14 p. m.
42,,26.2 °C,22.0 °C,20.6 °C,71.7 %,1 ppm,701 ppm,,,,01/07/2021 03:50:29 p. m.
43,,26.2 °C,22.0 °C,20.6 °C,71.6 %,1 ppm,693 ppm,,,,01/07/2021 03:50:44 p. m.
44,,26.2 °C,22.0 °C,20.6 °C,71.6 %,1 ppm,703 ppm,,,,01/07/2021 03:50:59 p. m.
