Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,483 ppm,,,,13/09/2021 09:32:08 a. m.
2,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,483 ppm,,,,13/09/2021 09:32:09 a. m.
3,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,484 ppm,,,,13/09/2021 09:32:10 a. m.
4,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,486 ppm,,,,13/09/2021 09:32:11 a. m.
5,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,488 ppm,,,,13/09/2021 09:32:12 a. m.
6,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,488 ppm,,,,13/09/2021 09:32:13 a. m.
7,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,487 ppm,,,,13/09/2021 09:32:14 a. m.
8,,25.1 °C,21.1 °C,19.7 °C,72.3 %,0 ppm,487 ppm,,,,13/09/2021 09:32:15 a. m.
9,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:16 a. m.
10,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:17 a. m.
11,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:18 a. m.
12,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:19 a. m.
13,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:20 a. m.
14,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:21 a. m.
15,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:22 a. m.
16,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,485 ppm,,,,13/09/2021 09:32:23 a. m.
17,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,485 ppm,,,,13/09/2021 09:32:24 a. m.
18,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,484 ppm,,,,13/09/2021 09:32:25 a. m.
19,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,482 ppm,,,,13/09/2021 09:32:26 a. m.
20,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,482 ppm,,,,13/09/2021 09:32:27 a. m.
21,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,482 ppm,,,,13/09/2021 09:32:28 a. m.
22,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,485 ppm,,,,13/09/2021 09:32:29 a. m.
23,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,485 ppm,,,,13/09/2021 09:32:30 a. m.
24,,25.1 °C,21.1 °C,19.7 °C,72.4 %,1 ppm,486 ppm,,,,13/09/2021 09:32:31 a. m.
25,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,486 ppm,,,,13/09/2021 09:32:32 a. m.
26,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,485 ppm,,,,13/09/2021 09:32:33 a. m.
27,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,485 ppm,,,,13/09/2021 09:32:34 a. m.
28,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,486 ppm,,,,13/09/2021 09:32:35 a. m.
29,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,485 ppm,,,,13/09/2021 09:32:36 a. m.
30,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,486 ppm,,,,13/09/2021 09:32:37 a. m.
31,,25.1 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,486 ppm,,,,13/09/2021 09:32:38 a. m.
32,,25.2 °C,21.1 °C,19.7 °C,72.3 %,1 ppm,487 ppm,,,,13/09/2021 09:32:39 a. m.
33,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:40 a. m.
34,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:41 a. m.
35,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:42 a. m.
36,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:43 a. m.
37,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:44 a. m.
38,,25.2 °C,21.2 °C,19.8 °C,72.3 %,1 ppm,488 ppm,,,,13/09/2021 09:32:45 a. m.
39,,25.2 °C,21.2 °C,19.8 °C,72.2 %,1 ppm,488 ppm,,,,13/09/2021 09:32:46 a. m.
