Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,27.9 °C,21.3 °C,18.8 °C,57.4 %,1 ppm,469 ppm,,,,20/07/2021 02:30:04 p. m.
2,,28.0 °C,21.3 °C,18.8 °C,57.5 %,0 ppm,469 ppm,,,,20/07/2021 02:30:34 p. m.
3,,28.0 °C,21.3 °C,18.8 °C,57.6 %,1 ppm,486 ppm,,,,20/07/2021 02:31:04 p. m.
4,,28.0 °C,21.3 °C,18.8 °C,57.7 %,1 ppm,513 ppm,,,,20/07/2021 02:31:34 p. m.
5,,28.0 °C,21.3 °C,18.8 °C,57.7 %,1 ppm,546 ppm,,,,20/07/2021 02:32:04 p. m.
6,,28.0 °C,21.3 °C,18.8 °C,57.8 %,1 ppm,566 ppm,,,,20/07/2021 02:32:34 p. m.
7,,28.1 °C,21.3 °C,18.8 °C,57.8 %,1 ppm,598 ppm,,,,20/07/2021 02:33:04 p. m.
8,,28.1 °C,21.4 °C,18.9 °C,57.8 %,1 ppm,633 ppm,,,,20/07/2021 02:33:34 p. m.
9,,28.1 °C,21.5 °C,19.0 °C,57.9 %,1 ppm,650 ppm,,,,20/07/2021 02:34:04 p. m.
10,,28.1 °C,21.5 °C,19.0 °C,57.9 %,1 ppm,670 ppm,,,,20/07/2021 02:34:34 p. m.
11,,28.1 °C,21.5 °C,19.0 °C,57.9 %,1 ppm,680 ppm,,,,20/07/2021 02:35:04 p. m.
12,,28.1 °C,21.5 °C,19.0 °C,58.0 %,1 ppm,681 ppm,,,,20/07/2021 02:35:34 p. m.
13,,28.1 °C,21.5 °C,19.0 °C,58.1 %,1 ppm,702 ppm,,,,20/07/2021 02:36:04 p. m.
14,,28.1 °C,21.5 °C,19.0 °C,58.1 %,1 ppm,714 ppm,,,,20/07/2021 02:36:34 p. m.
15,,28.1 °C,21.5 °C,19.0 °C,58.1 %,1 ppm,722 ppm,,,,20/07/2021 02:37:04 p. m.
16,,28.1 °C,21.5 °C,19.1 °C,58.2 %,1 ppm,727 ppm,,,,20/07/2021 02:37:34 p. m.
17,,28.1 °C,21.6 °C,19.2 °C,58.2 %,1 ppm,744 ppm,,,,20/07/2021 02:38:04 p. m.
18,,28.2 °C,21.6 °C,19.2 °C,58.3 %,1 ppm,738 ppm,,,,20/07/2021 02:38:34 p. m.
19,,28.2 °C,21.6 °C,19.2 °C,58.3 %,1 ppm,750 ppm,,,,20/07/2021 02:39:04 p. m.
20,,28.2 °C,21.6 °C,19.2 °C,58.4 %,1 ppm,771 ppm,,,,20/07/2021 02:39:34 p. m.
21,,28.2 °C,21.6 °C,19.2 °C,58.4 %,1 ppm,765 ppm,,,,20/07/2021 02:40:04 p. m.
22,,28.2 °C,21.6 °C,19.2 °C,58.4 %,1 ppm,765 ppm,,,,20/07/2021 02:40:34 p. m.
23,,28.2 °C,21.6 °C,19.2 °C,58.5 %,1 ppm,787 ppm,,,,20/07/2021 02:41:04 p. m.
24,,28.2 °C,21.6 °C,19.2 °C,58.5 %,1 ppm,787 ppm,,,,20/07/2021 02:41:34 p. m.
25,,28.2 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,779 ppm,,,,20/07/2021 02:42:04 p. m.
26,,28.2 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,777 ppm,,,,20/07/2021 02:42:34 p. m.
27,,28.2 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,778 ppm,,,,20/07/2021 02:43:04 p. m.
28,,28.2 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,796 ppm,,,,20/07/2021 02:43:34 p. m.
29,,28.2 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,792 ppm,,,,20/07/2021 02:44:04 p. m.
30,,28.3 °C,21.7 °C,19.3 °C,58.6 %,1 ppm,791 ppm,,,,20/07/2021 02:44:34 p. m.
31,,28.3 °C,21.8 °C,19.4 °C,58.7 %,1 ppm,809 ppm,,,,20/07/2021 02:45:04 p. m.
32,,28.3 °C,21.8 °C,19.4 °C,58.7 %,1 ppm,807 ppm,,,,20/07/2021 02:45:34 p. m.
33,,28.3 °C,21.8 °C,19.4 °C,58.8 %,1 ppm,801 ppm,,,,20/07/2021 02:46:04 p. m.
34,,28.3 °C,21.8 °C,19.4 °C,58.8 %,1 ppm,803 ppm,,,,20/07/2021 02:46:34 p. m.
35,,28.3 °C,21.8 °C,19.4 °C,58.8 %,1 ppm,809 ppm,,,,20/07/2021 02:47:04 p. m.
36,,28.3 °C,21.8 °C,19.4 °C,58.8 %,1 ppm,810 ppm,,,,20/07/2021 02:47:34 p. m.
37,,28.3 °C,21.8 °C,19.4 °C,58.9 %,1 ppm,820 ppm,,,,20/07/2021 02:48:04 p. m.
38,,28.3 °C,21.8 °C,19.4 °C,58.9 %,1 ppm,826 ppm,,,,20/07/2021 02:48:34 p. m.
39,,28.3 °C,21.8 °C,19.4 °C,58.9 %,1 ppm,826 ppm,,,,20/07/2021 02:49:04 p. m.
40,,28.3 °C,21.8 °C,19.4 °C,58.9 %,1 ppm,817 ppm,,,,20/07/2021 02:49:34 p. m.
41,,28.3 °C,21.8 °C,19.4 °C,58.9 %,0 ppm,825 ppm,,,,20/07/2021 02:50:04 p. m.
42,,28.3 °C,21.8 °C,19.5 °C,59.0 %,1 ppm,842 ppm,,,,20/07/2021 02:50:34 p. m.
43,,28.3 °C,21.8 °C,19.5 °C,59.0 %,1 ppm,831 ppm,,,,20/07/2021 02:51:04 p. m.
44,,28.3 °C,21.8 °C,19.5 °C,59.0 %,1 ppm,826 ppm,,,,20/07/2021 02:51:34 p. m.
45,,28.3 °C,21.8 °C,19.5 °C,59.0 %,0 ppm,830 ppm,,,,20/07/2021 02:52:04 p. m.
46,,28.3 °C,21.9 °C,19.6 °C,59.0 %,1 ppm,840 ppm,,,,20/07/2021 02:52:34 p. m.
47,,28.4 °C,21.9 °C,19.6 °C,59.0 %,1 ppm,834 ppm,,,,20/07/2021 02:53:04 p. m.
48,,28.4 °C,21.9 °C,19.6 °C,59.0 %,1 ppm,835 ppm,,,,20/07/2021 02:53:34 p. m.
49,,28.4 °C,21.9 °C,19.6 °C,59.1 %,1 ppm,853 ppm,,,,20/07/2021 02:54:04 p. m.
50,,28.4 °C,21.9 °C,19.6 °C,59.1 %,1 ppm,846 ppm,,,,20/07/2021 02:54:34 p. m.
51,,28.4 °C,21.9 °C,19.6 °C,59.1 %,1 ppm,835 ppm,,,,20/07/2021 02:55:04 p. m.
52,,28.4 °C,21.9 °C,19.6 °C,59.1 %,1 ppm,833 ppm,,,,20/07/2021 02:55:34 p. m.
53,,28.4 °C,21.9 °C,19.6 °C,59.2 %,1 ppm,844 ppm,,,,20/07/2021 02:56:04 p. m.
54,,28.4 °C,21.9 °C,19.6 °C,59.2 %,1 ppm,853 ppm,,,,20/07/2021 02:56:34 p. m.
55,,28.4 °C,21.9 °C,19.6 °C,59.2 %,1 ppm,860 ppm,,,,20/07/2021 02:57:04 p. m.
56,,28.4 °C,21.9 °C,19.6 °C,59.2 %,1 ppm,859 ppm,,,,20/07/2021 02:57:34 p. m.
