Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,460 ppm,,,,23/07/2021 14:20
2,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,460 ppm,,,,23/07/2021 14:20
3,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,460 ppm,,,,23/07/2021 14:20
4,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
5,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
6,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,460 ppm,,,,23/07/2021 14:20
7,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,460 ppm,,,,23/07/2021 14:20
8,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,459 ppm,,,,23/07/2021 14:20
9,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,459 ppm,,,,23/07/2021 14:20
10,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,459 ppm,,,,23/07/2021 14:20
11,,26.9 °C,19.3 °C,16.1 °C,52.00%,1 ppm,459 ppm,,,,23/07/2021 14:20
12,,26.9 °C,19.4 °C,16.2 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
13,,26.8 °C,19.4 °C,16.2 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
14,,26.8 °C,19.3 °C,16.1 °C,52.00%,0 ppm,461 ppm,,,,23/07/2021 14:20
15,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
16,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,462 ppm,,,,23/07/2021 14:20
17,,26.9 °C,19.3 °C,16.1 °C,52.00%,1 ppm,461 ppm,,,,23/07/2021 14:20
18,,26.9 °C,19.4 °C,16.2 °C,52.00%,1 ppm,464 ppm,,,,23/07/2021 14:20
19,,26.8 °C,19.4 °C,16.2 °C,52.00%,1 ppm,464 ppm,,,,23/07/2021 14:20
20,,26.8 °C,19.3 °C,16.1 °C,52.00%,1 ppm,466 ppm,,,,23/07/2021 14:20
21,,26.9 °C,19.3 °C,16.1 °C,52.00%,1 ppm,466 ppm,,,,23/07/2021 14:20
22,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,467 ppm,,,,23/07/2021 14:20
23,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,467 ppm,,,,23/07/2021 14:20
24,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,466 ppm,,,,23/07/2021 14:20
25,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,466 ppm,,,,23/07/2021 14:20
26,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,467 ppm,,,,23/07/2021 14:20
27,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,467 ppm,,,,23/07/2021 14:20
28,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,469 ppm,,,,23/07/2021 14:20
29,,26.9 °C,19.4 °C,16.2 °C,52.10%,0 ppm,469 ppm,,,,23/07/2021 14:20
30,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,469 ppm,,,,23/07/2021 14:20
31,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,469 ppm,,,,23/07/2021 14:20
32,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,469 ppm,,,,23/07/2021 14:20
33,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,469 ppm,,,,23/07/2021 14:20
34,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,472 ppm,,,,23/07/2021 14:20
35,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,472 ppm,,,,23/07/2021 14:20
36,,26.9 °C,19.4 °C,16.2 °C,52.10%,0 ppm,473 ppm,,,,23/07/2021 14:20
37,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,474 ppm,,,,23/07/2021 14:20
38,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,473 ppm,,,,23/07/2021 14:20
39,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,473 ppm,,,,23/07/2021 14:20
40,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,472 ppm,,,,23/07/2021 14:20
41,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,472 ppm,,,,23/07/2021 14:20
42,,26.9 °C,19.4 °C,16.2 °C,52.20%,0 ppm,472 ppm,,,,23/07/2021 14:20
43,,26.9 °C,19.4 °C,16.2 °C,52.20%,1 ppm,472 ppm,,,,23/07/2021 14:20
44,,26.9 °C,19.4 °C,16.2 °C,52.10%,1 ppm,470 ppm,,,,23/07/2021 14:20
