Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.5 °C,19.7 °C,17.4 °C,61.0 %,0 ppm,418 ppm,,,,23/09/2021 02:10:03 p. m.
2,,25.5 °C,19.7 °C,17.4 °C,60.9 %,1 ppm,418 ppm,,,,23/09/2021 02:10:04 p. m.
3,,25.5 °C,19.7 °C,17.4 °C,60.9 %,1 ppm,419 ppm,,,,23/09/2021 02:10:05 p. m.
4,,25.5 °C,19.7 °C,17.4 °C,60.8 %,1 ppm,419 ppm,,,,23/09/2021 02:10:06 p. m.
5,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,420 ppm,,,,23/09/2021 02:10:07 p. m.
6,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,420 ppm,,,,23/09/2021 02:10:08 p. m.
7,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,422 ppm,,,,23/09/2021 02:10:09 p. m.
8,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,422 ppm,,,,23/09/2021 02:10:10 p. m.
9,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,423 ppm,,,,23/09/2021 02:10:11 p. m.
10,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,423 ppm,,,,23/09/2021 02:10:12 p. m.
11,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,424 ppm,,,,23/09/2021 02:10:13 p. m.
12,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,424 ppm,,,,23/09/2021 02:10:14 p. m.
13,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,426 ppm,,,,23/09/2021 02:10:15 p. m.
14,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,426 ppm,,,,23/09/2021 02:10:16 p. m.
15,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,426 ppm,,,,23/09/2021 02:10:17 p. m.
16,,25.5 °C,19.6 °C,17.2 °C,60.5 %,1 ppm,426 ppm,,,,23/09/2021 02:10:18 p. m.
17,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,424 ppm,,,,23/09/2021 02:10:19 p. m.
18,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,424 ppm,,,,23/09/2021 02:10:20 p. m.
19,,25.5 °C,19.7 °C,17.3 °C,60.5 %,1 ppm,420 ppm,,,,23/09/2021 02:10:21 p. m.
20,,25.5 °C,19.7 °C,17.3 °C,60.6 %,1 ppm,420 ppm,,,,23/09/2021 02:10:22 p. m.
21,,25.5 °C,19.7 °C,17.3 °C,60.6 %,0 ppm,419 ppm,,,,23/09/2021 02:10:23 p. m.
22,,25.5 °C,19.7 °C,17.3 °C,60.6 %,1 ppm,419 ppm,,,,23/09/2021 02:10:24 p. m.
23,,25.5 °C,19.7 °C,17.3 °C,60.6 %,1 ppm,419 ppm,,,,23/09/2021 02:10:25 p. m.
24,,25.5 °C,19.7 °C,17.3 °C,60.6 %,1 ppm,419 ppm,,,,23/09/2021 02:10:26 p. m.
25,,25.5 °C,19.7 °C,17.3 °C,60.6 %,1 ppm,419 ppm,,,,23/09/2021 02:10:27 p. m.
26,,25.5 °C,19.7 °C,17.3 °C,60.7 %,0 ppm,418 ppm,,,,23/09/2021 02:10:28 p. m.
27,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,418 ppm,,,,23/09/2021 02:10:29 p. m.
28,,25.5 °C,19.7 °C,17.3 °C,60.7 %,0 ppm,417 ppm,,,,23/09/2021 02:10:30 p. m.
29,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,417 ppm,,,,23/09/2021 02:10:31 p. m.
30,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,417 ppm,,,,23/09/2021 02:10:32 p. m.
31,,25.5 °C,19.7 °C,17.3 °C,60.7 %,1 ppm,417 ppm,,,,23/09/2021 02:10:33 p. m.
32,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,418 ppm,,,,23/09/2021 02:10:34 p. m.
33,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,418 ppm,,,,23/09/2021 02:10:35 p. m.
34,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,418 ppm,,,,23/09/2021 02:10:36 p. m.
35,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,418 ppm,,,,23/09/2021 02:10:37 p. m.
36,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,418 ppm,,,,23/09/2021 02:10:38 p. m.
37,,25.5 °C,19.7 °C,17.3 °C,60.8 %,0 ppm,418 ppm,,,,23/09/2021 02:10:39 p. m.
38,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,417 ppm,,,,23/09/2021 02:10:40 p. m.
39,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,417 ppm,,,,23/09/2021 02:10:41 p. m.
40,,25.5 °C,19.7 °C,17.3 °C,60.8 %,0 ppm,416 ppm,,,,23/09/2021 02:10:42 p. m.
41,,25.5 °C,19.7 °C,17.3 °C,60.8 %,0 ppm,416 ppm,,,,23/09/2021 02:10:43 p. m.
42,,25.5 °C,19.7 °C,17.3 °C,60.8 %,0 ppm,417 ppm,,,,23/09/2021 02:10:44 p. m.
43,,25.5 °C,19.7 °C,17.3 °C,60.8 %,1 ppm,417 ppm,,,,23/09/2021 02:10:45 p. m.
44,,25.5 °C,19.7 °C,17.3 °C,60.9 %,1 ppm,418 ppm,,,,23/09/2021 02:10:46 p. m.
45,,25.5 °C,19.7 °C,17.3 °C,60.9 %,1 ppm,418 ppm,,,,23/09/2021 02:10:47 p. m.
46,,25.5 °C,19.7 °C,17.3 °C,60.9 %,1 ppm,418 ppm,,,,23/09/2021 02:10:48 p. m.
47,,25.5 °C,19.7 °C,17.4 °C,60.9 %,0 ppm,418 ppm,,,,23/09/2021 02:10:49 p. m.
48,,25.5 °C,19.7 °C,17.4 °C,61.0 %,1 ppm,417 ppm,,,,23/09/2021 02:10:50 p. m.
49,,25.5 °C,19.7 °C,17.4 °C,61.0 %,1 ppm,417 ppm,,,,23/09/2021 02:10:51 p. m.
50,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,417 ppm,,,,23/09/2021 02:10:52 p. m.
51,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,417 ppm,,,,23/09/2021 02:10:53 p. m.
52,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,416 ppm,,,,23/09/2021 02:10:54 p. m.
53,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,416 ppm,,,,23/09/2021 02:10:55 p. m.
54,,25.5 °C,19.7 °C,17.4 °C,61.3 %,1 ppm,415 ppm,,,,23/09/2021 02:10:56 p. m.
55,,25.5 °C,19.7 °C,17.4 °C,61.3 %,1 ppm,415 ppm,,,,23/09/2021 02:10:57 p. m.
56,,25.5 °C,19.7 °C,17.4 °C,61.3 %,1 ppm,417 ppm,,,,23/09/2021 02:10:58 p. m.
57,,25.5 °C,19.7 °C,17.4 °C,61.3 %,1 ppm,417 ppm,,,,23/09/2021 02:10:59 p. m.
58,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 02:11:00 p. m.
59,,25.5 °C,19.7 °C,17.4 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 02:11:01 p. m.
60,,25.5 °C,19.7 °C,17.4 °C,61.3 %,1 ppm,419 ppm,,,,23/09/2021 02:11:02 p. m.
61,,25.5 °C,19.8 °C,17.5 °C,61.3 %,1 ppm,419 ppm,,,,23/09/2021 02:11:03 p. m.
62,,25.5 °C,19.8 °C,17.5 °C,61.4 %,1 ppm,420 ppm,,,,23/09/2021 02:11:04 p. m.
63,,25.5 °C,19.8 °C,17.5 °C,61.4 %,0 ppm,420 ppm,,,,23/09/2021 02:11:05 p. m.
64,,25.5 °C,19.8 °C,17.5 °C,61.5 %,1 ppm,420 ppm,,,,23/09/2021 02:11:06 p. m.
65,,25.5 °C,19.8 °C,17.5 °C,61.5 %,1 ppm,420 ppm,,,,23/09/2021 02:11:07 p. m.
