Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.0 °C,19.1 °C,16.6 °C,60.3 %,1 ppm,443 ppm,,,,23/09/2021 01:20:00 p. m.
2,,25.0 °C,19.2 °C,16.7 °C,60.3 %,1 ppm,443 ppm,,,,23/09/2021 01:20:01 p. m.
3,,25.0 °C,19.2 °C,16.7 °C,60.3 %,0 ppm,443 ppm,,,,23/09/2021 01:20:02 p. m.
4,,25.0 °C,19.2 °C,16.7 °C,60.1 %,1 ppm,443 ppm,,,,23/09/2021 01:20:03 p. m.
5,,25.0 °C,19.2 °C,16.7 °C,60.1 %,0 ppm,440 ppm,,,,23/09/2021 01:20:04 p. m.
6,,25.0 °C,19.2 °C,16.7 °C,60.0 %,0 ppm,440 ppm,,,,23/09/2021 01:20:05 p. m.
7,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,437 ppm,,,,23/09/2021 01:20:06 p. m.
8,,25.0 °C,19.1 °C,16.6 °C,60.0 %,0 ppm,437 ppm,,,,23/09/2021 01:20:07 p. m.
9,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,436 ppm,,,,23/09/2021 01:20:08 p. m.
10,,25.0 °C,19.1 °C,16.6 °C,59.7 %,1 ppm,436 ppm,,,,23/09/2021 01:20:09 p. m.
11,,25.0 °C,19.1 °C,16.6 °C,59.7 %,1 ppm,436 ppm,,,,23/09/2021 01:20:10 p. m.
12,,25.0 °C,19.1 °C,16.6 °C,59.6 %,1 ppm,437 ppm,,,,23/09/2021 01:20:11 p. m.
13,,25.0 °C,19.1 °C,16.6 °C,59.6 %,1 ppm,437 ppm,,,,23/09/2021 01:20:12 p. m.
14,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,437 ppm,,,,23/09/2021 01:20:13 p. m.
15,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,439 ppm,,,,23/09/2021 01:20:14 p. m.
16,,25.0 °C,19.0 °C,16.5 °C,59.6 %,1 ppm,439 ppm,,,,23/09/2021 01:20:15 p. m.
17,,25.0 °C,19.0 °C,16.5 °C,59.6 %,0 ppm,442 ppm,,,,23/09/2021 01:20:16 p. m.
18,,25.0 °C,19.0 °C,16.5 °C,59.6 %,1 ppm,442 ppm,,,,23/09/2021 01:20:17 p. m.
19,,25.0 °C,19.0 °C,16.5 °C,59.6 %,0 ppm,442 ppm,,,,23/09/2021 01:20:18 p. m.
20,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,442 ppm,,,,23/09/2021 01:20:19 p. m.
21,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,439 ppm,,,,23/09/2021 01:20:20 p. m.
22,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,439 ppm,,,,23/09/2021 01:20:21 p. m.
23,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,439 ppm,,,,23/09/2021 01:20:22 p. m.
24,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,436 ppm,,,,23/09/2021 01:20:23 p. m.
25,,25.0 °C,19.0 °C,16.5 °C,59.4 %,1 ppm,435 ppm,,,,23/09/2021 01:20:24 p. m.
26,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,435 ppm,,,,23/09/2021 01:20:25 p. m.
27,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,435 ppm,,,,23/09/2021 01:20:26 p. m.
28,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,435 ppm,,,,23/09/2021 01:20:27 p. m.
29,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,435 ppm,,,,23/09/2021 01:20:28 p. m.
30,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,435 ppm,,,,23/09/2021 01:20:29 p. m.
31,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,436 ppm,,,,23/09/2021 01:20:30 p. m.
32,,25.0 °C,19.0 °C,16.5 °C,59.5 %,1 ppm,437 ppm,,,,23/09/2021 01:20:31 p. m.
33,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,437 ppm,,,,23/09/2021 01:20:32 p. m.
34,,25.0 °C,19.0 °C,16.5 °C,59.5 %,0 ppm,439 ppm,,,,23/09/2021 01:20:33 p. m.
35,,25.0 °C,19.0 °C,16.5 °C,59.6 %,1 ppm,439 ppm,,,,23/09/2021 01:20:34 p. m.
36,,25.0 °C,19.0 °C,16.5 °C,59.7 %,0 ppm,436 ppm,,,,23/09/2021 01:20:35 p. m.
37,,25.0 °C,19.1 °C,16.6 °C,59.7 %,0 ppm,436 ppm,,,,23/09/2021 01:20:36 p. m.
38,,25.0 °C,19.1 °C,16.6 °C,59.7 %,0 ppm,436 ppm,,,,23/09/2021 01:20:37 p. m.
39,,25.0 °C,19.1 °C,16.6 °C,59.9 %,1 ppm,432 ppm,,,,23/09/2021 01:20:38 p. m.
40,,25.0 °C,19.1 °C,16.6 °C,59.9 %,0 ppm,432 ppm,,,,23/09/2021 01:20:39 p. m.
41,,25.0 °C,19.1 °C,16.6 °C,60.0 %,1 ppm,432 ppm,,,,23/09/2021 01:20:40 p. m.
42,,25.0 °C,19.1 °C,16.6 °C,60.1 %,0 ppm,433 ppm,,,,23/09/2021 01:20:41 p. m.
43,,25.0 °C,19.1 °C,16.6 °C,60.1 %,0 ppm,433 ppm,,,,23/09/2021 01:20:42 p. m.
44,,25.0 °C,19.2 °C,16.7 °C,60.1 %,1 ppm,433 ppm,,,,23/09/2021 01:20:43 p. m.
45,,25.0 °C,19.2 °C,16.7 °C,60.2 %,0 ppm,434 ppm,,,,23/09/2021 01:20:44 p. m.
