Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.2 °C,20.7 °C,19.0 °C,68.6 %,1 ppm,429 ppm,,,,30/06/2021 01:10:03 p. m.
2,,25.2 °C,20.7 °C,19.0 °C,68.6 %,1 ppm,427 ppm,,,,30/06/2021 01:10:08 p. m.
3,,25.2 °C,20.7 °C,19.0 °C,68.6 %,1 ppm,427 ppm,,,,30/06/2021 01:10:13 p. m.
4,,25.2 °C,20.7 °C,19.0 °C,68.6 %,1 ppm,427 ppm,,,,30/06/2021 01:10:18 p. m.
5,,25.2 °C,20.7 °C,19.0 °C,68.6 %,1 ppm,427 ppm,,,,30/06/2021 01:10:23 p. m.
6,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,427 ppm,,,,30/06/2021 01:10:28 p. m.
7,,25.3 °C,20.8 °C,19.1 °C,68.6 %,1 ppm,427 ppm,,,,30/06/2021 01:10:33 p. m.
8,,25.3 °C,20.8 °C,19.1 °C,68.6 %,0 ppm,425 ppm,,,,30/06/2021 01:10:38 p. m.
9,,25.3 °C,20.8 °C,19.1 °C,68.6 %,0 ppm,427 ppm,,,,30/06/2021 01:10:43 p. m.
10,,25.3 °C,20.8 °C,19.1 °C,68.6 %,1 ppm,434 ppm,,,,30/06/2021 01:10:48 p. m.
11,,25.3 °C,20.8 °C,19.1 °C,68.6 %,1 ppm,433 ppm,,,,30/06/2021 01:10:53 p. m.
12,,25.3 °C,20.8 °C,19.1 °C,68.6 %,1 ppm,438 ppm,,,,30/06/2021 01:10:58 p. m.
13,,25.3 °C,20.8 °C,19.1 °C,68.6 %,1 ppm,444 ppm,,,,30/06/2021 01:11:03 p. m.
14,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,451 ppm,,,,30/06/2021 01:11:08 p. m.
15,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,458 ppm,,,,30/06/2021 01:11:13 p. m.
16,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,471 ppm,,,,30/06/2021 01:11:18 p. m.
17,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,478 ppm,,,,30/06/2021 01:11:23 p. m.
18,,25.3 °C,20.8 °C,19.1 °C,68.7 %,0 ppm,482 ppm,,,,30/06/2021 01:11:28 p. m.
19,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,491 ppm,,,,30/06/2021 01:11:33 p. m.
20,,25.3 °C,20.8 °C,19.1 °C,68.7 %,0 ppm,502 ppm,,,,30/06/2021 01:11:38 p. m.
21,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,508 ppm,,,,30/06/2021 01:11:43 p. m.
22,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,517 ppm,,,,30/06/2021 01:11:48 p. m.
23,,25.3 °C,20.8 °C,19.1 °C,68.7 %,0 ppm,519 ppm,,,,30/06/2021 01:11:53 p. m.
24,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,521 ppm,,,,30/06/2021 01:11:58 p. m.
25,,25.3 °C,20.8 °C,19.1 °C,68.7 %,1 ppm,525 ppm,,,,30/06/2021 01:12:03 p. m.
26,,25.3 °C,20.8 °C,19.1 °C,68.7 %,0 ppm,530 ppm,,,,30/06/2021 01:12:08 p. m.
27,,25.3 °C,20.9 °C,19.2 °C,68.8 %,1 ppm,531 ppm,,,,30/06/2021 01:12:13 p. m.
28,,25.4 °C,20.9 °C,19.2 °C,68.8 %,1 ppm,536 ppm,,,,30/06/2021 01:12:18 p. m.
29,,25.4 °C,20.8 °C,19.1 °C,68.8 %,1 ppm,540 ppm,,,,30/06/2021 01:12:23 p. m.
30,,25.4 °C,20.9 °C,19.2 °C,68.8 %,1 ppm,544 ppm,,,,30/06/2021 01:12:28 p. m.
31,,25.4 °C,20.9 °C,19.2 °C,68.8 %,0 ppm,547 ppm,,,,30/06/2021 01:12:33 p. m.
32,,25.4 °C,20.9 °C,19.2 °C,68.8 %,1 ppm,558 ppm,,,,30/06/2021 01:12:38 p. m.
33,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,560 ppm,,,,30/06/2021 01:12:43 p. m.
34,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,564 ppm,,,,30/06/2021 01:12:48 p. m.
35,,25.4 °C,20.9 °C,19.2 °C,68.8 %,1 ppm,567 ppm,,,,30/06/2021 01:12:53 p. m.
36,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,568 ppm,,,,30/06/2021 01:12:58 p. m.
37,,25.4 °C,20.9 °C,19.2 °C,68.8 %,0 ppm,565 ppm,,,,30/06/2021 01:13:03 p. m.
38,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,566 ppm,,,,30/06/2021 01:13:08 p. m.
39,,25.4 °C,20.9 °C,19.2 °C,68.7 %,1 ppm,566 ppm,,,,30/06/2021 01:13:13 p. m.
