Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
1,,25.9 °C,21.1 °C,19.3 °C,67.2 %,1 ppm,469 ppm,,,,06/07/2021 01:05:04 p. m.
2,,25.9 °C,21.1 °C,19.3 °C,67.2 %,1 ppm,471 ppm,,,,06/07/2021 01:05:09 p. m.
3,,25.9 °C,21.1 °C,19.3 °C,67.2 %,1 ppm,469 ppm,,,,06/07/2021 01:05:14 p. m.
4,,25.9 °C,21.1 °C,19.3 °C,67.2 %,1 ppm,468 ppm,,,,06/07/2021 01:05:19 p. m.
5,,25.9 °C,21.1 °C,19.3 °C,67.3 %,1 ppm,472 ppm,,,,06/07/2021 01:05:24 p. m.
6,,25.9 °C,21.1 °C,19.3 °C,67.3 %,1 ppm,473 ppm,,,,06/07/2021 01:05:29 p. m.
7,,25.9 °C,21.1 °C,19.3 °C,67.3 %,1 ppm,476 ppm,,,,06/07/2021 01:05:34 p. m.
8,,26.0 °C,21.1 °C,19.3 °C,67.3 %,1 ppm,474 ppm,,,,06/07/2021 01:05:39 p. m.
9,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,474 ppm,,,,06/07/2021 01:05:44 p. m.
10,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,472 ppm,,,,06/07/2021 01:05:49 p. m.
11,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,474 ppm,,,,06/07/2021 01:05:54 p. m.
12,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,474 ppm,,,,06/07/2021 01:05:59 p. m.
13,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,480 ppm,,,,06/07/2021 01:06:04 p. m.
14,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,484 ppm,,,,06/07/2021 01:06:09 p. m.
15,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,495 ppm,,,,06/07/2021 01:06:14 p. m.
16,,26.0 °C,21.2 °C,19.5 °C,67.5 %,1 ppm,508 ppm,,,,06/07/2021 01:06:19 p. m.
