FLUX RECORD TRACKS,,,,,,,,,
#,sec,CH4,H2S,CO2,Cell_T.,Pressure,Battery,AirT,BarP
1,0.76,2.1,0.118164,397.914,50.88559,875.61499,15.076159,29.019444,877.49829
2,1.76,2,0.118881,400.65955,50.88559,875.06952,15.07136,29.019444,877.49811
3,2.76,2,0.125572,383.00497,50.88559,866.88751,15.066683,29.02014,877.49957
4,3.76,2.1,0.133942,442.13583,50.88559,863.7511,15.062253,29.018749,877.49615
5,4.76,2.1,0.142068,443.35641,50.88559,861.16022,15.058315,29.018055,877.49609
6,5.76,2.1,0.150437,430.21729,50.88559,861.02393,15.053762,29.017361,877.495
7,6.76,2.1,0.156892,426.94278,50.88559,860.88739,15.049825,29.016666,877.4942
8,7.76,2.1,0.158807,426.01242,50.88559,860.88739,15.045272,29.016666,877.49365
9,8.76,2.1,0.160714,427.28635,50.88559,860.88739,15.04072,29.018055,877.49719
10,9.76,2.1,0.161432,426.72873,50.88559,860.75104,15.03629,29.018055,877.49811
11,10.76,2.1,0.16311,426.57837,50.859497,860.75104,15.03186,29.016666,877.49591
12,11.76,2.1,0.164064,426.56802,50.859497,860.75104,15.028047,29.013889,877.49011
13,12.76,2.1,0.166452,427.03696,50.859497,860.75104,15.023493,29.013889,877.49072
14,13.76,2.1,0.166932,427.38132,50.859497,860.75104,15.018818,29.013195,877.48853
15,14.76,2.1,0.165978,426.52994,50.859497,860.75104,15.014143,29.012501,877.48724
16,15.76,2.1,0.167649,427.2229,50.859497,860.75104,15.009713,29.01111,877.48413
17,16.76,2.1,0.167169,426.1445,50.859497,860.75104,15.005529,29.011806,877.48535
18,17.76,2.1,0.167413,425.26666,50.859497,860.75104,15.001346,29.013195,877.48895
19,18.76,2.1,0.16813,427.36154,50.859497,860.75104,14.99667,29.013889,877.48828
20,19.76,2.1,0.167649,426.43488,50.859497,860.75104,14.991995,29.014584,877.48975
21,20.76,2.1,0.166452,425.80133,50.859497,860.75104,14.987565,29.013889,877.48621
22,21.76,2.1,0.166932,427.26352,50.859497,860.75104,14.983135,29.012501,877.48419
23,22.76,2.1,0.166215,428.16422,50.859497,860.75104,14.978582,29.012501,877.48535
24,23.76,2,0.165261,427.08136,50.833462,860.75104,14.974153,29.01111,877.48297
25,24.76,2,0.164781,426.72061,50.833462,860.75104,14.969476,29.012501,877.48645
26,25.76,2,0.165261,426.67218,50.833462,860.75104,14.964061,29.01111,877.48462
27,26.76,2.1,0.1643,428.07013,50.833462,860.88739,14.958648,29.01111,877.48566
28,27.76,2,0.162629,426.57837,50.833462,860.88739,14.953357,29.008333,877.48212
29,28.76,2,0.162149,426.05191,50.833462,860.88739,14.948436,29.008333,877.48212
30,29.76,2.1,0.160958,427.27377,50.833462,860.88739,14.943883,29.00625,877.47784
31,30.76,2,0.161676,425.33926,50.833462,860.88739,14.938592,29.00625,877.47943
32,31.76,2.1,0.162629,427.24509,50.833462,860.88739,14.933916,29.006945,877.48169
33,32.76,2,0.161912,425.47574,50.833462,860.75104,14.929118,29.006945,877.48328
34,33.76,2,0.162866,426.86685,50.833462,860.75104,14.924197,29.007639,877.48218
35,34.76,2,0.160958,428.10373,50.833462,860.88739,14.919028,29.007639,877.4801
36,35.76,2,0.159997,426.21002,50.833462,860.88739,14.913737,29.008333,877.48517
37,36.76,2,0.15976,428.75439,50.833462,860.88739,14.908816,29.006945,877.48395
38,37.76,2,0.159524,425.69431,50.833462,860.88739,14.904017,29.006945,877.4848
39,38.76,2,0.159997,428.67569,50.833462,860.88739,14.89811,29.005556,877.48267
40,39.76,2,0.159043,427.00449,50.833462,860.75104,14.893312,29.005556,877.48395
41,40.76,2,0.158089,428.18082,50.833462,860.75104,14.888144,29.002777,877.47784
42,41.76,2,0.158807,428.81265,50.833462,860.88739,14.88273,29.002083,877.47754
43,42.76,2,0.156892,425.93527,50.833462,860.88739,14.877316,29.000694,877.47241
44,43.76,2,0.158089,425.8298,50.833462,860.88739,14.872393,29.000694,877.47137
45,44.76,2,0.157372,426.81329,50.833462,860.75104,14.867595,29.002777,877.47437
46,45.76,2,0.156655,425.81982,50.833462,860.75104,14.862549,29.004168,877.47656
47,46.76,2,0.157128,426.44522,50.833462,860.88739,14.857012,29.004862,877.47821
48,47.76,2,0.157372,425.45157,50.833462,860.75104,14.851229,29.003471,877.47424
49,48.76,2,0.158089,425.26187,50.833462,860.75104,14.845322,29.001389,877.46918
50,49.76,2,0.157609,427.64185,50.859497,860.88739,14.839908,29.002777,877.4693
51,50.76,2,0.156892,424.9357,50.859497,860.88739,14.834862,29.002777,877.46912
52,51.76,2,0.156892,427.91309,50.859497,860.88739,14.829695,29.003471,877.46979
53,52.76,2,0.156174,426.01535,50.859497,860.88739,14.82428,29.004168,877.46838
54,53.76,2,0.155221,427.27084,50.859497,860.88739,14.819111,29.003471,877.46875
55,54.76,2,0.154023,426.71899,50.859497,860.88739,14.81382,29.003471,877.46893
56,55.76,2,0.153306,425.61002,50.859497,860.88739,14.80779,29.005556,877.47119
57,56.76,2,0.152352,426.17691,50.859497,860.88739,14.802744,29.00625,877.47168
58,57.76,2,0.150918,425.20944,50.859497,860.88739,14.797329,29.006945,877.47388
59,58.76,2.1,0.150201,427.07355,50.859497,860.88739,14.791177,29.008333,877.47754
60,59.76,2.1,0.14972,425.01685,50.859497,860.88739,14.786132,29.009722,877.47882
61,60.76,2,0.149483,425.98764,50.859497,860.88739,14.780962,29.009722,877.47906
62,61.76,2.1,0.149483,426.72812,50.859497,860.75104,14.775426,29.010416,877.47717
