,aranet,fluke
2021-06-25 00:05:22,903.0,
2021-06-25 00:06:22,908.0,
2021-06-25 00:07:22,905.0,
2021-06-25 00:08:22,933.0,
2021-06-25 00:09:22,916.0,
2021-06-25 00:10:22,903.0,
2021-06-25 00:11:22,928.0,
2021-06-25 00:12:22,909.0,
2021-06-25 00:13:22,920.0,
2021-06-25 00:14:22,939.0,
2021-06-25 00:15:22,926.0,
2021-06-25 00:16:22,927.0,
2021-06-25 00:17:22,953.0,
2021-06-25 00:18:22,947.0,
2021-06-25 00:19:22,955.0,
2021-06-25 00:20:22,956.0,
2021-06-25 00:21:22,956.0,
2021-06-25 00:22:22,970.0,
2021-06-25 00:23:22,996.0,
2021-06-25 00:24:22,992.0,
2021-06-25 00:25:22,1011.0,
2021-06-25 00:26:22,986.0,
2021-06-25 00:27:22,1003.0,
2021-06-25 00:28:22,980.0,
2021-06-25 00:29:22,998.0,
2021-06-25 00:30:22,1007.0,
2021-06-25 00:31:22,1015.0,
2021-06-25 00:32:22,1002.0,
2021-06-25 00:33:22,1026.0,
2021-06-25 00:34:22,1014.0,
2021-06-25 00:35:22,1025.0,
2021-06-25 00:36:22,1012.0,
2021-06-25 00:37:22,1033.0,
2021-06-25 00:38:22,1031.0,
2021-06-25 00:39:22,1033.0,
2021-06-25 00:40:22,1040.0,
2021-06-25 00:41:22,1033.0,
2021-06-25 00:42:22,1052.0,
2021-06-25 00:43:22,1043.0,
2021-06-25 00:44:22,1073.0,
2021-06-25 00:45:22,1069.0,
2021-06-25 00:46:22,1103.0,
2021-06-25 00:47:22,1078.0,
2021-06-25 00:48:22,1100.0,
2021-06-25 00:49:22,1092.0,
2021-06-25 00:50:22,1096.0,
2021-06-25 00:51:22,1087.0,
2021-06-25 00:52:22,1114.0,
2021-06-25 00:53:22,1130.0,
2021-06-25 00:54:22,1118.0,
2021-06-25 00:55:22,1129.0,
2021-06-25 00:56:22,1124.0,
2021-06-25 00:57:22,1109.0,
2021-06-25 00:58:22,1131.0,
2021-06-25 00:59:22,1120.0,
2021-06-25 01:00:22,1129.0,
2021-06-25 01:01:22,1112.0,
2021-06-25 01:02:22,1126.0,
2021-06-25 01:03:22,1118.0,
2021-06-25 01:04:22,1107.0,
2021-06-25 01:05:22,1124.0,
2021-06-25 01:06:22,1132.0,
2021-06-25 01:07:22,1147.0,
2021-06-25 01:08:22,1150.0,
2021-06-25 01:09:22,1125.0,
2021-06-25 01:10:22,1132.0,
2021-06-25 01:11:22,1144.0,
2021-06-25 01:12:22,1142.0,
2021-06-25 01:13:22,1150.0,
2021-06-25 01:14:22,1123.0,
2021-06-25 01:15:22,1147.0,
2021-06-25 01:16:22,1144.0,
2021-06-25 01:17:22,1147.0,
2021-06-25 01:18:22,1147.0,
2021-06-25 01:19:22,1167.0,
2021-06-25 01:20:22,1164.0,
2021-06-25 01:21:22,1158.0,
2021-06-25 01:22:22,1153.0,
2021-06-25 01:23:22,1172.0,
2021-06-25 01:24:22,1153.0,
2021-06-25 01:25:22,1193.0,
2021-06-25 01:26:22,1173.0,
2021-06-25 01:27:22,1149.0,
2021-06-25 01:28:22,1158.0,
2021-06-25 01:29:22,1189.0,
2021-06-25 01:30:22,1184.0,
2021-06-25 01:31:22,1196.0,
2021-06-25 01:32:22,1222.0,
2021-06-25 01:33:22,1179.0,
2021-06-25 01:34:22,1213.0,
2021-06-25 01:35:22,1225.0,
2021-06-25 01:36:22,1181.0,
2021-06-25 01:37:22,1225.0,
2021-06-25 01:38:22,1209.0,
2021-06-25 01:39:22,1213.0,
2021-06-25 01:40:22,1278.0,
2021-06-25 01:41:22,1210.0,
2021-06-25 01:42:22,1226.0,
2021-06-25 01:43:22,1254.0,
2021-06-25 01:44:22,1243.0,
2021-06-25 01:45:22,1239.0,
2021-06-25 01:46:22,1240.0,
2021-06-25 01:47:22,1238.0,
2021-06-25 01:48:22,1231.0,
2021-06-25 01:49:22,1246.0,
2021-06-25 01:50:22,1240.0,
2021-06-25 01:51:22,1297.0,
2021-06-25 01:52:22,1264.0,
