ts,s8lp
2021-09-30 14:59:57.361,419.0
2021-09-30 14:59:52.492,419.0
2021-09-30 14:59:47.360,419.0
2021-09-30 14:59:42.361,419.0
2021-09-30 14:59:37.361,419.0
2021-09-30 14:59:32.496,419.0
2021-09-30 14:59:27.362,419.0
2021-09-30 14:59:22.361,420.0
2021-09-30 14:59:17.362,420.0
2021-09-30 14:59:12.492,420.0
2021-09-30 14:59:07.361,420.0
2021-09-30 14:59:02.361,420.0
2021-09-30 14:58:57.361,419.0
2021-09-30 14:58:52.499,419.0
2021-09-30 14:58:47.361,419.0
2021-09-30 14:58:42.365,420.0
2021-09-30 14:58:37.360,419.0
2021-09-30 14:58:32.497,419.0
2021-09-30 14:58:27.360,419.0
2021-09-30 14:58:22.363,419.0
2021-09-30 14:58:17.361,419.0
2021-09-30 14:58:12.495,419.0
2021-09-30 14:58:07.361,419.0
2021-09-30 14:58:02.360,420.0
2021-09-30 14:57:57.361,420.0
2021-09-30 14:57:52.503,420.0
2021-09-30 14:57:47.361,420.0
2021-09-30 14:57:42.362,419.0
2021-09-30 14:57:37.361,419.0
2021-09-30 14:57:32.497,419.0
2021-09-30 14:57:27.360,419.0
2021-09-30 14:57:22.361,419.0
2021-09-30 14:57:17.361,419.0
2021-09-30 14:57:12.493,419.0
2021-09-30 14:57:07.359,418.0
2021-09-30 14:57:02.360,418.0
2021-09-30 14:56:57.361,418.0
2021-09-30 14:56:52.497,418.0
2021-09-30 14:56:47.364,419.0
2021-09-30 14:56:42.362,419.0
2021-09-30 14:56:37.362,419.0
2021-09-30 14:56:32.495,419.0
2021-09-30 14:56:27.361,419.0
2021-09-30 14:56:22.362,419.0
2021-09-30 14:56:17.362,419.0
2021-09-30 14:56:12.496,419.0
2021-09-30 14:56:07.360,418.0
2021-09-30 14:56:02.360,418.0
2021-09-30 14:55:57.359,418.0
2021-09-30 14:55:52.492,418.0
2021-09-30 14:55:47.370,417.0
2021-09-30 14:55:42.362,416.0
2021-09-30 14:55:37.361,416.0
2021-09-30 14:55:32.492,416.0
2021-09-30 14:55:27.361,416.0
2021-09-30 14:55:22.361,416.0
2021-09-30 14:55:17.360,416.0
2021-09-30 14:55:12.496,416.0
2021-09-30 14:55:07.361,417.0
2021-09-30 14:55:02.360,417.0
2021-09-30 14:54:57.381,417.0
2021-09-30 14:54:52.490,417.0
2021-09-30 14:54:47.361,417.0
2021-09-30 14:54:42.362,417.0
2021-09-30 14:54:37.361,416.0
2021-09-30 14:54:32.495,416.0
2021-09-30 14:54:27.360,416.0
2021-09-30 14:54:22.370,416.0
2021-09-30 14:54:17.362,416.0
2021-09-30 14:54:12.496,416.0
2021-09-30 14:54:07.361,417.0
2021-09-30 14:54:02.359,416.0
2021-09-30 14:53:57.359,417.0
2021-09-30 14:53:52.497,417.0
2021-09-30 14:53:47.365,416.0
2021-09-30 14:53:42.362,416.0
2021-09-30 14:53:37.360,416.0
2021-09-30 14:53:32.494,417.0
2021-09-30 14:53:27.361,418.0
2021-09-30 14:53:22.360,418.0
2021-09-30 14:53:17.360,418.0
2021-09-30 14:53:12.495,418.0
2021-09-30 14:53:07.359,418.0
2021-09-30 14:53:02.359,418.0
2021-09-30 14:52:57.360,418.0
2021-09-30 14:52:52.497,418.0
2021-09-30 14:52:47.360,417.0
2021-09-30 14:52:42.361,417.0
2021-09-30 14:52:37.360,417.0
2021-09-30 14:52:32.496,417.0
2021-09-30 14:52:27.360,417.0
2021-09-30 14:52:22.361,417.0
2021-09-30 14:52:17.360,417.0
2021-09-30 14:52:12.496,417.0
2021-09-30 14:52:07.361,417.0
2021-09-30 14:52:02.358,417.0
2021-09-30 14:51:57.360,417.0
2021-09-30 14:51:52.495,417.0
2021-09-30 14:51:47.361,417.0
2021-09-30 14:51:42.363,417.0
2021-09-30 14:51:37.361,417.0
2021-09-30 14:51:32.496,417.0
2021-09-30 14:51:27.362,416.0
2021-09-30 14:51:22.361,416.0
2021-09-30 14:51:17.360,416.0
2021-09-30 14:51:12.496,416.0
2021-09-30 14:51:07.361,416.0
2021-09-30 14:51:02.362,416.0
