ts,cdm4160,cjmcu811,sen0219,t3022,mh-z14a,sen0220
2021-06-24 00:00:13.202,,,1809.0,1501.0,1427.0,
2021-06-24 00:00:29.951,,,1456.0,1503.0,1426.0,
2021-06-24 00:00:46.695,,,1728.0,1504.0,1427.0,
2021-06-24 00:01:03.430,,,1818.0,1506.0,1426.0,
2021-06-24 00:01:20.201,,,1468.0,1506.0,1427.0,
2021-06-24 00:01:36.911,,,1890.0,1506.0,1427.0,
2021-06-24 00:01:53.645,,,1890.0,1505.0,1427.0,
2021-06-24 00:02:10.366,,,1468.0,1506.0,1427.0,
2021-06-24 00:02:27.081,,,1709.0,1507.0,1425.0,
2021-06-24 00:02:43.911,,,1456.0,1508.0,1419.0,
2021-06-24 00:03:00.595,,,1456.0,1509.0,1413.0,
2021-06-24 00:03:17.342,,,1700.0,1511.0,1411.0,
2021-06-24 00:03:34.069,,,1446.0,1510.0,1410.0,
2021-06-24 00:03:50.768,,,1446.0,1511.0,1411.0,
2021-06-24 00:04:07.585,,,1700.0,1510.0,1413.0,
2021-06-24 00:04:24.284,,,1456.0,1511.0,1413.0,
2021-06-24 00:04:41.005,,,1668.0,1513.0,1413.0,
2021-06-24 00:04:57.724,,,1709.0,1513.0,1415.0,
2021-06-24 00:05:14.481,,,1446.0,1511.0,1416.0,
2021-06-24 00:05:31.417,,,1456.0,1507.0,1418.0,
2021-06-24 00:05:48.094,,,1709.0,1506.0,1424.0,
2021-06-24 00:06:04.725,,,1468.0,1506.0,1430.0,
2021-06-24 00:06:21.435,,,1468.0,1507.0,1434.0,
2021-06-24 00:06:38.177,,,1740.0,1507.0,1442.0,
2021-06-24 00:06:54.946,,,1487.0,1509.0,1448.0,
2021-06-24 00:07:11.669,,,1487.0,1507.0,1450.0,
2021-06-24 00:07:28.406,,,1750.0,1507.0,1453.0,
2021-06-24 00:07:45.121,,,1496.0,1508.0,1458.0,
2021-06-24 00:08:01.859,,,1496.0,1509.0,1467.0,
