ts,s8lp,sen0220,t3022,mh-z14a
2021-07-01 00:00:10.885,412.0,,437.0,510.0
2021-07-01 00:00:26.451,412.0,,436.0,509.0
2021-07-01 00:00:41.997,413.0,,435.0,509.0
2021-07-01 00:00:57.557,413.0,,436.0,509.0
2021-07-01 00:01:13.133,414.0,,436.0,509.0
2021-07-01 00:01:28.734,414.0,,436.0,509.0
2021-07-01 00:01:44.332,414.0,,436.0,509.0
2021-07-01 00:01:59.892,414.0,,434.0,508.0
2021-07-01 00:02:15.473,413.0,,434.0,509.0
2021-07-01 00:02:31.029,415.0,,435.0,509.0
2021-07-01 00:02:46.673,415.0,,436.0,509.0
2021-07-01 00:03:02.781,415.0,,436.0,509.0
2021-07-01 00:03:18.402,415.0,,436.0,509.0
2021-07-01 00:03:33.975,415.0,,436.0,509.0
2021-07-01 00:03:49.551,416.0,,436.0,509.0
2021-07-01 00:04:05.114,415.0,,436.0,510.0
2021-07-01 00:04:20.721,415.0,,436.0,510.0
2021-07-01 00:04:36.370,415.0,,436.0,510.0
2021-07-01 00:04:52.030,414.0,,436.0,509.0
2021-07-01 00:05:07.637,414.0,,436.0,509.0
2021-07-01 00:05:23.184,414.0,,437.0,509.0
2021-07-01 00:05:38.779,415.0,,438.0,509.0
2021-07-01 00:05:54.337,415.0,,436.0,509.0
2021-07-01 00:06:09.979,414.0,,436.0,509.0
2021-07-01 00:06:25.566,414.0,,436.0,509.0
2021-07-01 00:06:43.690,414.0,,436.0,509.0
2021-07-01 00:06:59.286,415.0,,435.0,509.0
2021-07-01 00:07:14.876,415.0,,434.0,509.0
2021-07-01 00:07:30.436,415.0,,435.0,510.0
2021-07-01 00:07:46.010,415.0,,435.0,510.0
2021-07-01 00:08:01.970,415.0,,436.0,510.0
2021-07-01 00:08:17.597,414.0,,435.0,510.0
2021-07-01 00:08:33.173,415.0,,434.0,510.0
2021-07-01 00:08:48.851,415.0,,435.0,510.0
2021-07-01 00:09:04.815,415.0,,434.0,510.0
2021-07-01 00:09:20.456,414.0,,435.0,509.0
2021-07-01 00:09:36.068,414.0,,435.0,509.0
2021-07-01 00:09:51.657,413.0,,435.0,509.0
2021-07-01 00:10:07.202,413.0,,435.0,509.0
2021-07-01 00:10:22.770,414.0,,433.0,509.0
2021-07-01 00:10:38.527,413.0,,434.0,509.0
2021-07-01 00:10:54.187,415.0,,434.0,509.0
2021-07-01 00:11:09.697,415.0,,435.0,509.0
2021-07-01 00:11:25.245,416.0,,435.0,509.0
2021-07-01 00:11:40.820,415.0,,436.0,509.0
2021-07-01 00:11:56.369,414.0,,435.0,509.0
2021-07-01 00:12:11.914,413.0,,435.0,508.0
2021-07-01 00:12:27.472,413.0,,434.0,508.0
2021-07-01 00:12:43.029,413.0,,434.0,509.0
2021-07-01 00:12:58.583,413.0,,434.0,508.0
2021-07-01 00:13:14.237,414.0,,435.0,509.0
2021-07-01 00:13:29.774,414.0,,436.0,509.0
2021-07-01 00:13:45.283,414.0,,436.0,509.0
2021-07-01 00:14:01.029,413.0,,436.0,509.0
2021-07-01 00:14:16.651,411.0,,437.0,509.0
2021-07-01 00:14:32.220,411.0,,436.0,509.0
2021-07-01 00:14:47.853,411.0,,436.0,508.0
2021-07-01 00:15:03.805,411.0,,435.0,508.0
2021-07-01 00:15:19.379,412.0,,435.0,508.0
2021-07-01 00:15:34.941,411.0,,435.0,507.0
2021-07-01 00:15:50.511,411.0,,435.0,507.0
2021-07-01 00:16:06.100,412.0,,436.0,507.0
2021-07-01 00:16:21.656,412.0,,435.0,507.0
2021-07-01 00:16:37.218,411.0,,434.0,507.0
2021-07-01 00:16:55.297,411.0,,433.0,507.0
2021-07-01 00:17:10.885,411.0,,434.0,506.0
2021-07-01 00:17:26.459,411.0,,433.0,506.0
2021-07-01 00:17:42.038,411.0,,433.0,506.0
2021-07-01 00:17:57.682,412.0,,433.0,506.0
2021-07-01 00:18:13.287,411.0,,433.0,506.0
2021-07-01 00:18:28.875,411.0,,432.0,506.0
2021-07-01 00:18:44.423,412.0,,432.0,506.0
2021-07-01 00:18:59.980,412.0,,433.0,506.0
2021-07-01 00:19:15.649,411.0,,433.0,506.0
2021-07-01 00:19:31.238,411.0,,433.0,506.0
2021-07-01 00:19:46.829,411.0,,433.0,506.0
2021-07-01 00:20:02.801,411.0,,434.0,506.0
2021-07-01 00:20:18.407,411.0,,434.0,506.0
2021-07-01 00:20:33.960,411.0,,434.0,506.0
2021-07-01 00:20:49.534,411.0,,433.0,506.0
2021-07-01 00:21:05.121,412.0,,432.0,506.0
2021-07-01 00:21:20.682,412.0,,431.0,506.0
2021-07-01 00:21:38.742,412.0,,431.0,506.0
2021-07-01 00:21:54.297,412.0,,432.0,506.0
2021-07-01 00:22:09.888,411.0,,431.0,506.0
2021-07-01 00:22:25.461,412.0,,430.0,505.0
2021-07-01 00:22:41.022,411.0,,431.0,505.0
2021-07-01 00:22:56.582,412.0,,430.0,505.0
2021-07-01 00:23:12.176,412.0,,430.0,505.0
2021-07-01 00:23:27.724,412.0,,432.0,505.0
2021-07-01 00:23:43.288,412.0,,433.0,505.0
2021-07-01 00:23:58.849,412.0,,433.0,505.0
2021-07-01 00:24:14.400,412.0,,433.0,505.0
2021-07-01 00:24:29.968,411.0,,433.0,506.0
2021-07-01 00:24:45.580,411.0,,433.0,506.0
2021-07-01 00:25:01.663,411.0,,433.0,506.0
2021-07-01 00:25:17.266,411.0,,432.0,506.0
2021-07-01 00:25:32.892,411.0,,432.0,507.0
2021-07-01 00:25:48.529,411.0,,432.0,506.0
2021-07-01 00:26:04.694,411.0,,432.0,506.0
2021-07-01 00:26:20.260,411.0,,433.0,505.0
2021-07-01 00:26:35.893,411.0,,433.0,505.0
2021-07-01 00:26:51.462,411.0,,432.0,505.0
2021-07-01 00:27:07.027,411.0,,432.0,505.0
2021-07-01 00:27:22.700,412.0,,431.0,505.0
2021-07-01 00:27:38.183,413.0,,430.0,505.0
2021-07-01 00:27:53.697,412.0,,431.0,506.0
2021-07-01 00:28:09.261,412.0,,431.0,506.0
2021-07-01 00:28:24.925,412.0,,430.0,506.0
2021-07-01 00:28:40.413,412.0,,431.0,506.0
2021-07-01 00:28:55.923,413.0,,432.0,506.0
2021-07-01 00:29:11.600,414.0,,432.0,506.0
2021-07-01 00:29:27.255,414.0,,431.0,506.0
2021-07-01 00:29:42.856,414.0,,432.0,506.0
2021-07-01 00:29:58.439,413.0,,434.0,506.0
2021-07-01 00:30:14.032,412.0,,434.0,506.0
2021-07-01 00:30:29.609,412.0,,435.0,505.0
2021-07-01 00:30:45.287,413.0,,436.0,506.0
2021-07-01 00:31:01.140,414.0,,435.0,506.0
2021-07-01 00:31:16.705,414.0,,435.0,506.0
2021-07-01 00:31:32.283,414.0,,435.0,506.0
2021-07-01 00:31:47.869,414.0,,435.0,506.0
2021-07-01 00:32:03.948,413.0,,434.0,506.0
2021-07-01 00:32:19.478,413.0,,434.0,505.0
