ts,scd30,s8lp,sen0220
2021-09-08 00:00:36.467,477.0,,
2021-09-08 00:00:39.161,,501.0,
2021-09-08 00:00:40.203,,,512.0
2021-09-08 00:01:37.627,478.0,,
2021-09-08 00:01:39.155,,501.0,
2021-09-08 00:01:40.194,,,512.0
2021-09-08 00:02:36.463,480.0,,
2021-09-08 00:02:39.157,,501.0,
2021-09-08 00:02:40.195,,,513.0
2021-09-08 00:03:36.458,481.0,,
2021-09-08 00:03:39.155,,502.0,
2021-09-08 00:03:40.191,,,513.0
2021-09-08 00:04:36.458,480.0,,
2021-09-08 00:04:39.154,,502.0,
2021-09-08 00:04:40.188,,,513.0
2021-09-08 00:05:36.456,481.0,,
2021-09-08 00:05:39.157,,501.0,
2021-09-08 00:05:40.190,,,514.0
2021-09-08 00:06:36.456,482.0,,
2021-09-08 00:06:39.151,,501.0,
2021-09-08 00:06:40.187,,,514.0
2021-09-08 00:07:36.457,482.0,,
2021-09-08 00:07:39.166,,501.0,
2021-09-08 00:07:40.192,,,514.0
2021-09-08 00:08:36.456,482.0,,
2021-09-08 00:08:39.157,,501.0,
2021-09-08 00:08:40.190,,,514.0
2021-09-08 00:09:36.459,481.0,,
2021-09-08 00:09:39.151,,502.0,
2021-09-08 00:09:40.189,,,515.0
2021-09-08 00:10:36.457,480.0,,
2021-09-08 00:10:39.155,,503.0,
2021-09-08 00:10:40.187,,,514.0
2021-09-08 00:11:36.456,481.0,,
2021-09-08 00:11:39.160,,503.0,
2021-09-08 00:11:40.191,,,514.0
2021-09-08 00:12:37.624,482.0,,
2021-09-08 00:12:39.154,,502.0,
2021-09-08 00:12:40.189,,,515.0
2021-09-08 00:13:36.455,482.0,,
2021-09-08 00:13:39.156,,502.0,
2021-09-08 00:13:40.189,,,515.0
2021-09-08 00:14:36.454,482.0,,
2021-09-08 00:14:39.155,,502.0,
2021-09-08 00:14:40.186,,,514.0
2021-09-08 00:15:36.455,481.0,,
2021-09-08 00:15:39.159,,502.0,
2021-09-08 00:15:40.184,,,514.0
2021-09-08 00:16:36.454,482.0,,
2021-09-08 00:16:39.155,,501.0,
2021-09-08 00:16:40.187,,,515.0
2021-09-08 00:17:36.450,481.0,,
2021-09-08 00:17:39.154,,502.0,
2021-09-08 00:17:40.186,,,514.0
2021-09-08 00:18:36.454,480.0,,
2021-09-08 00:18:39.155,,501.0,
2021-09-08 00:18:40.186,,,515.0
2021-09-08 00:19:36.453,479.0,,
2021-09-08 00:19:39.158,,500.0,
2021-09-08 00:19:40.188,,,514.0
2021-09-08 00:20:36.453,478.0,,
2021-09-08 00:20:39.154,,501.0,
2021-09-08 00:20:40.188,,,514.0
2021-09-08 00:21:36.456,477.0,,
2021-09-08 00:21:39.158,,501.0,
2021-09-08 00:21:40.189,,,514.0
2021-09-08 00:22:36.451,477.0,,
2021-09-08 00:22:39.156,,502.0,
2021-09-08 00:22:40.186,,,514.0
2021-09-08 00:23:36.455,476.0,,
2021-09-08 00:23:39.163,,502.0,
2021-09-08 00:23:40.188,,,515.0
2021-09-08 00:24:36.453,476.0,,
2021-09-08 00:24:39.155,,503.0,
2021-09-08 00:24:40.188,,,516.0
2021-09-08 00:25:36.453,478.0,,
2021-09-08 00:25:39.156,,502.0,
2021-09-08 00:25:40.183,,,516.0
2021-09-08 00:26:36.451,478.0,,
2021-09-08 00:26:39.155,,502.0,
2021-09-08 00:26:40.184,,,516.0
2021-09-08 00:27:37.619,478.0,,
2021-09-08 00:27:39.153,,502.0,
2021-09-08 00:27:40.189,,,517.0
2021-09-08 00:28:36.450,478.0,,
2021-09-08 00:28:39.160,,502.0,
2021-09-08 00:28:40.188,,,516.0
2021-09-08 00:29:36.448,478.0,,
2021-09-08 00:29:39.158,,502.0,
2021-09-08 00:29:40.191,,,516.0
2021-09-08 00:30:36.449,478.0,,
2021-09-08 00:30:39.158,,503.0,
2021-09-08 00:30:40.184,,,515.0
2021-09-08 00:31:36.449,477.0,,
2021-09-08 00:31:39.155,,503.0,
2021-09-08 00:31:40.182,,,516.0
2021-09-08 00:32:36.449,476.0,,
2021-09-08 00:32:39.156,,503.0,
2021-09-08 00:32:40.187,,,517.0
2021-09-08 00:33:36.451,476.0,,
2021-09-08 00:33:39.161,,503.0,
2021-09-08 00:33:40.185,,,516.0
2021-09-08 00:34:36.451,478.0,,
2021-09-08 00:34:39.164,,504.0,
2021-09-08 00:34:40.187,,,516.0
2021-09-08 00:35:36.451,478.0,,
2021-09-08 00:35:39.166,,503.0,
2021-09-08 00:35:40.187,,,516.0
2021-09-08 00:36:36.450,480.0,,
2021-09-08 00:36:39.158,,504.0,
2021-09-08 00:36:40.181,,,518.0
2021-09-08 00:37:36.450,481.0,,
2021-09-08 00:37:39.159,,504.0,
2021-09-08 00:37:40.186,,,518.0
2021-09-08 00:38:37.616,480.0,,
2021-09-08 00:38:39.161,,504.0,
2021-09-08 00:38:40.187,,,519.0
2021-09-08 00:39:36.450,480.0,,
2021-09-08 00:39:39.178,,505.0,
2021-09-08 00:39:40.187,,,518.0
2021-09-08 00:40:36.449,481.0,,
2021-09-08 00:40:39.162,,505.0,
2021-09-08 00:40:40.186,,,518.0
2021-09-08 00:41:36.449,480.0,,
2021-09-08 00:41:39.159,,505.0,
2021-09-08 00:41:40.184,,,517.0
2021-09-08 00:42:36.451,480.0,,
2021-09-08 00:42:39.156,,505.0,
2021-09-08 00:42:40.181,,,518.0
2021-09-08 00:43:36.449,481.0,,
2021-09-08 00:43:39.158,,505.0,
2021-09-08 00:43:40.183,,,517.0
2021-09-08 00:44:36.448,482.0,,
2021-09-08 00:44:39.153,,505.0,
2021-09-08 00:44:40.178,,,518.0
2021-09-08 00:45:36.449,483.0,,
2021-09-08 00:45:39.157,,505.0,
2021-09-08 00:45:40.183,,,519.0
2021-09-08 00:46:36.447,482.0,,
2021-09-08 00:46:39.165,,505.0,
2021-09-08 00:46:40.179,,,519.0
2021-09-08 00:47:36.444,482.0,,
2021-09-08 00:47:39.156,,505.0,
2021-09-08 00:47:40.179,,,519.0
2021-09-08 00:48:36.442,481.0,,
2021-09-08 00:48:39.157,,506.0,
2021-09-08 00:48:40.176,,,519.0
2021-09-08 00:49:36.443,481.0,,
2021-09-08 00:49:39.161,,506.0,
2021-09-08 00:49:40.175,,,519.0
2021-09-08 00:50:36.439,481.0,,
2021-09-08 00:50:39.159,,506.0,
2021-09-08 00:50:40.179,,,519.0
2021-09-08 00:51:36.444,480.0,,
2021-09-08 00:51:39.160,,506.0,
2021-09-08 00:51:40.179,,,518.0
2021-09-08 00:52:36.442,480.0,,
2021-09-08 00:52:39.158,,507.0,
2021-09-08 00:52:40.181,,,519.0
2021-09-08 00:53:37.613,480.0,,
2021-09-08 00:53:39.154,,506.0,
2021-09-08 00:53:40.174,,,520.0
2021-09-08 00:54:36.443,480.0,,
2021-09-08 00:54:39.159,,506.0,
2021-09-08 00:54:40.179,,,519.0
2021-09-08 00:55:36.440,482.0,,
2021-09-08 00:55:39.162,,507.0,
2021-09-08 00:55:40.174,,,519.0
2021-09-08 00:56:36.443,483.0,,
2021-09-08 00:56:39.160,,507.0,
2021-09-08 00:56:40.185,,,519.0
2021-09-08 00:57:37.608,481.0,,
2021-09-08 00:57:39.159,,507.0,
2021-09-08 00:57:40.177,,,520.0
2021-09-08 00:58:36.443,482.0,,
2021-09-08 00:58:39.157,,507.0,
2021-09-08 00:58:40.174,,,519.0
2021-09-08 00:59:36.442,483.0,,
2021-09-08 00:59:39.160,,507.0,
2021-09-08 00:59:40.182,,,519.0
2021-09-08 01:00:36.441,484.0,,
2021-09-08 01:00:39.167,,506.0,
2021-09-08 01:00:40.181,,,520.0
2021-09-08 01:01:36.441,485.0,,
2021-09-08 01:01:39.162,,507.0,
2021-09-08 01:01:40.182,,,520.0
2021-09-08 01:02:36.441,485.0,,
2021-09-08 01:02:39.165,,507.0,
2021-09-08 01:02:40.179,,,520.0
2021-09-08 01:03:36.441,486.0,,
2021-09-08 01:03:39.161,,507.0,
2021-09-08 01:03:40.176,,,519.0
2021-09-08 01:04:36.444,487.0,,
2021-09-08 01:04:39.166,,507.0,
2021-09-08 01:04:40.178,,,520.0
2021-09-08 01:05:36.444,486.0,,
2021-09-08 01:05:39.157,,506.0,
2021-09-08 01:05:40.174,,,520.0
2021-09-08 01:06:36.438,485.0,,
2021-09-08 01:06:39.162,,507.0,
2021-09-08 01:06:40.179,,,521.0
2021-09-08 01:07:36.440,485.0,,
2021-09-08 01:07:39.158,,507.0,
2021-09-08 01:07:40.183,,,521.0
2021-09-08 01:08:36.440,486.0,,
2021-09-08 01:08:39.158,,507.0,
2021-09-08 01:08:40.172,,,521.0
2021-09-08 01:09:36.439,486.0,,
2021-09-08 01:09:39.162,,508.0,
2021-09-08 01:09:40.176,,,521.0
2021-09-08 01:10:36.437,486.0,,
2021-09-08 01:10:39.160,,508.0,
2021-09-08 01:10:40.176,,,521.0
2021-09-08 01:11:37.404,485.0,,
2021-09-08 01:11:39.159,,509.0,
2021-09-08 01:11:40.174,,,522.0
2021-09-08 01:12:36.435,485.0,,
2021-09-08 01:12:39.169,,509.0,
2021-09-08 01:12:40.312,,,523.0
2021-09-08 01:13:36.436,486.0,,
2021-09-08 01:13:39.159,,509.0,
2021-09-08 01:13:40.171,,,522.0
2021-09-08 01:14:36.437,487.0,,
2021-09-08 01:14:39.155,,510.0,
2021-09-08 01:14:40.174,,,523.0
2021-09-08 01:15:36.434,488.0,,
2021-09-08 01:15:39.159,,509.0,
2021-09-08 01:15:40.168,,,522.0
2021-09-08 01:16:36.436,489.0,,
2021-09-08 01:16:39.166,,509.0,
2021-09-08 01:16:40.172,,,522.0
2021-09-08 01:17:36.433,489.0,,
2021-09-08 01:17:39.158,,509.0,
2021-09-08 01:17:40.170,,,522.0
2021-09-08 01:18:36.432,488.0,,
2021-09-08 01:18:39.158,,509.0,
2021-09-08 01:18:40.170,,,521.0
2021-09-08 01:19:36.432,488.0,,
2021-09-08 01:19:39.155,,509.0,
2021-09-08 01:19:40.166,,,521.0
2021-09-08 01:20:36.432,488.0,,
2021-09-08 01:20:40.165,,,523.0
2021-09-08 01:20:40.180,,510.0,
2021-09-08 01:21:36.432,487.0,,
2021-09-08 01:21:39.159,,510.0,
2021-09-08 01:21:40.170,,,524.0
2021-09-08 01:22:36.431,487.0,,
2021-09-08 01:22:39.166,,509.0,
2021-09-08 01:22:40.170,,,522.0
2021-09-08 01:23:36.430,486.0,,
2021-09-08 01:23:39.161,,508.0,
2021-09-08 01:23:40.172,,,522.0
2021-09-08 01:24:36.434,486.0,,
2021-09-08 01:24:39.157,,510.0,
2021-09-08 01:24:40.166,,,522.0
2021-09-08 01:25:36.431,488.0,,
2021-09-08 01:25:39.157,,509.0,
2021-09-08 01:25:40.168,,,522.0
2021-09-08 01:26:36.431,490.0,,
2021-09-08 01:26:39.159,,509.0,
2021-09-08 01:26:40.168,,,523.0
2021-09-08 01:27:36.430,492.0,,
2021-09-08 01:27:39.159,,509.0,
2021-09-08 01:27:40.165,,,522.0
2021-09-08 01:28:36.431,493.0,,
2021-09-08 01:28:39.163,,509.0,
2021-09-08 01:28:40.170,,,523.0
2021-09-08 01:29:36.432,495.0,,
2021-09-08 01:29:39.175,,508.0,
2021-09-08 01:29:40.169,,,524.0
2021-09-08 01:30:36.432,495.0,,
2021-09-08 01:30:39.159,,508.0,
2021-09-08 01:30:40.169,,,523.0
2021-09-08 01:31:36.431,497.0,,
2021-09-08 01:31:39.161,,509.0,
2021-09-08 01:31:40.168,,,522.0
2021-09-08 01:32:36.428,497.0,,
2021-09-08 01:32:39.163,,510.0,
2021-09-08 01:32:40.165,,,523.0
2021-09-08 01:33:36.432,498.0,,
2021-09-08 01:33:39.162,,510.0,
2021-09-08 01:33:40.171,,,523.0
2021-09-08 01:34:36.431,498.0,,
2021-09-08 01:34:39.163,,510.0,
2021-09-08 01:34:40.166,,,523.0
2021-09-08 01:35:36.427,497.0,,
2021-09-08 01:35:39.158,,510.0,
2021-09-08 01:35:40.164,,,522.0
2021-09-08 01:36:36.427,495.0,,
2021-09-08 01:36:39.161,,510.0,
2021-09-08 01:36:40.159,,,523.0
2021-09-08 01:37:36.427,496.0,,
2021-09-08 01:37:39.161,,510.0,
2021-09-08 01:37:40.160,,,522.0
2021-09-08 01:38:36.425,497.0,,
2021-09-08 01:38:39.163,,510.0,
2021-09-08 01:38:40.159,,,522.0
2021-09-08 01:39:37.594,497.0,,
2021-09-08 01:39:39.162,,510.0,
2021-09-08 01:39:40.164,,,522.0
2021-09-08 01:40:36.425,497.0,,
2021-09-08 01:40:39.164,,511.0,
2021-09-08 01:40:40.163,,,522.0
2021-09-08 01:41:36.425,497.0,,
2021-09-08 01:41:39.157,,510.0,
2021-09-08 01:41:40.161,,,522.0
2021-09-08 01:42:36.426,496.0,,
2021-09-08 01:42:39.167,,510.0,
2021-09-08 01:42:40.165,,,523.0
2021-09-08 01:43:37.596,496.0,,
2021-09-08 01:43:39.158,,511.0,
2021-09-08 01:43:40.166,,,523.0
2021-09-08 01:44:36.428,497.0,,
2021-09-08 01:44:39.162,,511.0,
2021-09-08 01:44:40.164,,,523.0
2021-09-08 01:45:36.424,497.0,,
2021-09-08 01:45:39.162,,510.0,
2021-09-08 01:45:40.164,,,522.0
2021-09-08 01:46:36.425,497.0,,
2021-09-08 01:46:39.162,,510.0,
2021-09-08 01:46:40.160,,,522.0
2021-09-08 01:47:36.425,498.0,,
2021-09-08 01:47:39.158,,510.0,
2021-09-08 01:47:40.159,,,522.0
2021-09-08 01:48:36.425,498.0,,
2021-09-08 01:48:39.163,,510.0,
2021-09-08 01:48:40.161,,,522.0
2021-09-08 01:49:36.427,496.0,,
2021-09-08 01:49:39.163,,510.0,
2021-09-08 01:49:40.164,,,522.0
2021-09-08 01:50:36.424,495.0,,
2021-09-08 01:50:39.162,,509.0,
2021-09-08 01:50:40.165,,,522.0
2021-09-08 01:51:36.423,494.0,,
2021-09-08 01:51:39.163,,509.0,
2021-09-08 01:51:40.161,,,521.0
2021-09-08 01:52:36.422,493.0,,
2021-09-08 01:52:39.168,,510.0,
2021-09-08 01:52:40.162,,,522.0
2021-09-08 01:53:36.423,492.0,,
2021-09-08 01:53:39.165,,510.0,
2021-09-08 01:53:40.163,,,523.0
2021-09-08 01:54:37.591,493.0,,
2021-09-08 01:54:39.163,,510.0,
2021-09-08 01:54:40.158,,,522.0
2021-09-08 01:55:36.421,494.0,,
2021-09-08 01:55:39.165,,509.0,
2021-09-08 01:55:40.161,,,522.0
2021-09-08 01:56:36.421,495.0,,
2021-09-08 01:56:39.160,,509.0,
2021-09-08 01:56:40.164,,,523.0
2021-09-08 01:57:36.423,495.0,,
2021-09-08 01:57:39.165,,510.0,
2021-09-08 01:57:40.157,,,522.0
2021-09-08 01:58:36.423,493.0,,
2021-09-08 01:58:39.158,,509.0,
2021-09-08 01:58:40.156,,,522.0
2021-09-08 01:59:36.421,492.0,,
2021-09-08 01:59:39.160,,509.0,
2021-09-08 01:59:40.156,,,522.0
2021-09-08 02:00:36.420,493.0,,
2021-09-08 02:00:39.168,,509.0,
2021-09-08 02:00:40.166,,,522.0
2021-09-08 02:01:36.423,493.0,,
2021-09-08 02:01:39.164,,509.0,
2021-09-08 02:01:40.161,,,522.0
2021-09-08 02:02:36.421,493.0,,
2021-09-08 02:02:39.166,,509.0,
2021-09-08 02:02:40.156,,,523.0
2021-09-08 02:03:36.422,493.0,,
2021-09-08 02:03:39.164,,508.0,
2021-09-08 02:03:40.158,,,522.0
2021-09-08 02:04:36.420,493.0,,
2021-09-08 02:04:39.166,,508.0,
2021-09-08 02:04:40.169,,,521.0
2021-09-08 02:05:36.421,493.0,,
2021-09-08 02:05:39.168,,509.0,
2021-09-08 02:05:40.155,,,521.0
2021-09-08 02:06:36.418,493.0,,
2021-09-08 02:06:39.167,,509.0,
2021-09-08 02:06:40.156,,,520.0
2021-09-08 02:07:36.418,491.0,,
2021-09-08 02:07:39.167,,509.0,
2021-09-08 02:07:40.153,,,521.0
2021-09-08 02:08:36.416,491.0,,
2021-09-08 02:08:39.160,,509.0,
2021-09-08 02:08:40.168,,,520.0
2021-09-08 02:09:36.418,490.0,,
2021-09-08 02:09:39.160,,510.0,
2021-09-08 02:09:40.152,,,521.0
2021-09-08 02:10:36.417,490.0,,
2021-09-08 02:10:39.164,,510.0,
2021-09-08 02:10:40.153,,,520.0
2021-09-08 02:11:36.420,489.0,,
2021-09-08 02:11:39.165,,509.0,
2021-09-08 02:11:40.156,,,521.0
2021-09-08 02:12:36.418,488.0,,
2021-09-08 02:12:39.165,,509.0,
2021-09-08 02:12:40.156,,,522.0
2021-09-08 02:13:36.416,488.0,,
2021-09-08 02:13:39.163,,509.0,
2021-09-08 02:13:40.156,,,522.0
2021-09-08 02:14:36.417,488.0,,
2021-09-08 02:14:39.166,,509.0,
2021-09-08 02:14:40.153,,,521.0
2021-09-08 02:15:36.417,489.0,,
2021-09-08 02:15:39.166,,508.0,
2021-09-08 02:15:40.150,,,521.0
2021-09-08 02:16:37.581,489.0,,
2021-09-08 02:16:39.177,,508.0,
2021-09-08 02:16:40.159,,,520.0
2021-09-08 02:17:36.413,489.0,,
2021-09-08 02:17:39.167,,508.0,
2021-09-08 02:17:40.154,,,521.0
2021-09-08 02:18:36.414,488.0,,
2021-09-08 02:18:39.162,,508.0,
2021-09-08 02:18:40.152,,,521.0
2021-09-08 02:19:36.414,487.0,,
2021-09-08 02:19:39.159,,508.0,
2021-09-08 02:19:40.150,,,520.0
2021-09-08 02:20:36.414,486.0,,
2021-09-08 02:20:39.162,,509.0,
2021-09-08 02:20:40.149,,,521.0
2021-09-08 02:21:36.411,485.0,,
2021-09-08 02:21:39.165,,509.0,
2021-09-08 02:21:40.149,,,521.0
2021-09-08 02:22:36.411,485.0,,
2021-09-08 02:22:39.168,,509.0,
2021-09-08 02:22:40.166,,,521.0
2021-09-08 02:23:36.414,485.0,,
2021-09-08 02:23:39.163,,508.0,
2021-09-08 02:23:40.150,,,520.0
2021-09-08 02:24:36.412,485.0,,
2021-09-08 02:24:39.165,,508.0,
2021-09-08 02:24:40.158,,,521.0
2021-09-08 02:25:36.415,486.0,,
2021-09-08 02:25:39.162,,508.0,
2021-09-08 02:25:40.150,,,520.0
2021-09-08 02:26:36.412,485.0,,
2021-09-08 02:26:39.165,,509.0,
2021-09-08 02:26:40.147,,,520.0
2021-09-08 02:27:36.414,484.0,,
2021-09-08 02:27:39.166,,508.0,
2021-09-08 02:27:40.153,,,520.0
2021-09-08 02:28:36.410,484.0,,
2021-09-08 02:28:39.165,,508.0,
2021-09-08 02:28:40.152,,,520.0
2021-09-08 02:29:36.410,484.0,,
2021-09-08 02:29:39.165,,508.0,
2021-09-08 02:29:40.149,,,521.0
2021-09-08 02:30:36.411,484.0,,
2021-09-08 02:30:39.177,,509.0,
2021-09-08 02:30:40.147,,,521.0
2021-09-08 02:31:36.411,484.0,,
2021-09-08 02:31:39.164,,510.0,
2021-09-08 02:31:40.146,,,520.0
2021-09-08 02:32:37.453,484.0,,
2021-09-08 02:32:39.169,,510.0,
2021-09-08 02:32:40.152,,,520.0
2021-09-08 02:33:36.405,485.0,,
2021-09-08 02:33:39.169,,509.0,
2021-09-08 02:33:40.962,,,520.0
2021-09-08 02:34:36.409,488.0,,
2021-09-08 02:34:39.166,,508.0,
2021-09-08 02:34:40.144,,,520.0
2021-09-08 02:35:36.416,489.0,,
2021-09-08 02:35:39.163,,508.0,
2021-09-08 02:35:40.148,,,520.0
2021-09-08 02:36:36.409,489.0,,
2021-09-08 02:36:39.167,,509.0,
2021-09-08 02:36:40.147,,,520.0
2021-09-08 02:37:36.406,489.0,,
2021-09-08 02:37:39.167,,509.0,
2021-09-08 02:37:40.148,,,520.0
2021-09-08 02:38:36.404,489.0,,
2021-09-08 02:38:39.167,,509.0,
2021-09-08 02:38:40.145,,,521.0
2021-09-08 02:39:36.407,488.0,,
2021-09-08 02:39:39.162,,509.0,
2021-09-08 02:39:40.147,,,521.0
2021-09-08 02:40:36.407,486.0,,
2021-09-08 02:40:39.163,,508.0,
2021-09-08 02:40:40.146,,,521.0
2021-09-08 02:41:37.575,486.0,,
2021-09-08 02:41:40.151,,,521.0
2021-09-08 02:42:36.407,487.0,,
2021-09-08 02:42:39.174,,508.0,
2021-09-08 02:42:40.146,,,519.0
2021-09-08 02:43:36.410,488.0,,
2021-09-08 02:43:39.168,,509.0,
2021-09-08 02:43:40.148,,,521.0
2021-09-08 02:44:36.408,487.0,,
2021-09-08 02:44:39.166,,509.0,
2021-09-08 02:44:40.150,,,521.0
2021-09-08 02:45:36.410,487.0,,
2021-09-08 02:45:39.169,,508.0,
2021-09-08 02:45:40.143,,,521.0
2021-09-08 02:46:36.408,487.0,,
2021-09-08 02:46:39.171,,508.0,
2021-09-08 02:46:40.144,,,520.0
2021-09-08 02:47:36.407,487.0,,
2021-09-08 02:47:39.169,,508.0,
2021-09-08 02:47:40.143,,,520.0
2021-09-08 02:48:37.573,487.0,,
2021-09-08 02:48:39.170,,509.0,
2021-09-08 02:48:40.149,,,519.0
2021-09-08 02:49:36.403,486.0,,
2021-09-08 02:49:39.168,,510.0,
2021-09-08 02:49:40.147,,,519.0
2021-09-08 02:50:36.408,486.0,,
2021-09-08 02:50:39.168,,509.0,
2021-09-08 02:50:40.143,,,519.0
2021-09-08 02:51:36.405,487.0,,
2021-09-08 02:51:39.164,,509.0,
2021-09-08 02:51:40.145,,,518.0
2021-09-08 02:52:37.571,486.0,,
2021-09-08 02:52:39.166,,509.0,
2021-09-08 02:52:40.145,,,518.0
2021-09-08 02:53:36.404,486.0,,
2021-09-08 02:53:39.168,,510.0,
2021-09-08 02:53:40.143,,,519.0
2021-09-08 02:54:36.407,486.0,,
2021-09-08 02:54:39.168,,511.0,
2021-09-08 02:54:40.148,,,520.0
2021-09-08 02:55:36.402,487.0,,
