ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 13:55:01.921,428.0,,,,
2021-07-26 13:55:03.455,,,426.0,,
2021-07-26 13:55:04.106,,,,,414.0
2021-07-26 13:55:04.972,,431.0,,,
2021-07-26 13:55:06.908,428.0,,,,
2021-07-26 13:55:07.936,,,,376.0,
2021-07-26 13:55:10.120,,,,,414.0
2021-07-26 13:55:11.532,,430.0,,,
2021-07-26 13:55:11.894,428.0,,,,
2021-07-26 13:55:14.589,,,427.0,,
2021-07-26 13:55:16.129,,,,377.0,
2021-07-26 13:55:16.136,,,,,444.0
2021-07-26 13:55:16.893,428.0,,,,
2021-07-26 13:55:18.122,,429.0,,,
2021-07-26 13:55:21.723,,,427.0,,
2021-07-26 13:55:21.901,429.0,,,,
2021-07-26 13:55:22.147,,,,,446.0
2021-07-26 13:55:24.321,,,,377.0,
2021-07-26 13:55:24.682,,428.0,,,
2021-07-26 13:55:26.879,429.0,,,,
2021-07-26 13:55:28.163,,,,,436.0
2021-07-26 13:55:31.242,,429.0,,,
2021-07-26 13:55:31.870,429.0,,,,
2021-07-26 13:55:32.517,,,,378.0,
2021-07-26 13:55:34.200,,,,,446.0
2021-07-26 13:55:36.865,429.0,,,,
2021-07-26 13:55:37.802,,430.0,,,
2021-07-26 13:55:37.853,,,427.0,,
2021-07-26 13:55:40.218,,,,,473.0
2021-07-26 13:55:40.707,,,,379.0,
2021-07-26 13:55:41.872,429.0,,,,
2021-07-26 13:55:44.362,,434.0,,,
2021-07-26 13:55:46.233,,,,,461.0
2021-07-26 13:55:46.849,430.0,,,,
2021-07-26 13:55:47.982,,,427.0,,
2021-07-26 13:55:48.901,,,,380.0,
2021-07-26 13:55:50.923,,440.0,,,
2021-07-26 13:55:51.845,431.0,,,,
2021-07-26 13:55:52.246,,,,,477.0
2021-07-26 13:55:56.846,431.0,,,,
2021-07-26 13:55:57.092,,,,381.0,
2021-07-26 13:55:57.110,,,427.0,,
2021-07-26 13:55:57.483,,444.0,,,
2021-07-26 13:55:58.263,,,,,483.0
2021-07-26 13:56:01.825,432.0,,,,
2021-07-26 13:56:04.047,,447.0,,,
2021-07-26 13:56:04.237,,,427.0,,
2021-07-26 13:56:04.281,,,,,503.0
2021-07-26 13:56:05.288,,,,382.0,
2021-07-26 13:56:06.807,433.0,,,,
2021-07-26 13:56:10.299,,,,,526.0
2021-07-26 13:56:11.814,434.0,,,,
2021-07-26 13:56:13.480,,,,383.0,
2021-07-26 13:56:16.300,,,,,543.0
2021-07-26 13:56:16.811,435.0,,,,
2021-07-26 13:56:17.165,,447.0,,,
2021-07-26 13:56:17.374,,,427.0,,
2021-07-26 13:56:21.675,,,,383.0,
2021-07-26 13:56:21.801,434.0,,,,
2021-07-26 13:56:22.315,,,,,537.0
2021-07-26 13:56:22.500,,,427.0,,
2021-07-26 13:56:23.725,,446.0,,,
2021-07-26 13:56:26.783,434.0,,,,
2021-07-26 13:56:28.327,,,,,611.0
2021-07-26 13:56:29.866,,,,383.0,
2021-07-26 13:56:30.285,,444.0,,,
2021-07-26 13:56:31.628,,,427.0,,
2021-07-26 13:56:31.786,434.0,,,,
2021-07-26 13:56:34.339,,,,,631.0
2021-07-26 13:56:36.787,434.0,,,,
2021-07-26 13:56:36.855,,445.0,,,
2021-07-26 13:56:38.061,,,,385.0,
2021-07-26 13:56:40.352,,,,,624.0
2021-07-26 13:56:41.781,436.0,,,,
2021-07-26 13:56:43.425,,444.0,,,
2021-07-26 13:56:45.761,,,428.0,,
2021-07-26 13:56:46.254,,,,385.0,
2021-07-26 13:56:46.363,,,,,646.0
2021-07-26 13:56:46.773,437.0,,,,
2021-07-26 13:56:49.986,,443.0,,,
2021-07-26 13:56:51.761,438.0,,,,
2021-07-26 13:56:52.379,,,,,660.0
2021-07-26 13:56:54.445,,,,387.0,
2021-07-26 13:56:56.523,,,428.0,,
2021-07-26 13:56:56.566,,442.0,,,
2021-07-26 13:56:56.762,438.0,,,,
2021-07-26 13:56:58.391,,,,,660.0
2021-07-26 13:57:01.753,440.0,,,,
2021-07-26 13:57:02.639,,,,390.0,
2021-07-26 13:57:03.126,,442.0,,,
2021-07-26 13:57:04.412,,,,,660.0
2021-07-26 13:57:06.749,440.0,,,,
2021-07-26 13:57:09.686,,442.0,,,
2021-07-26 13:57:10.425,,,,,660.0
2021-07-26 13:57:10.835,,,,391.0,
2021-07-26 13:57:11.736,440.0,,,,
2021-07-26 13:57:16.246,,442.0,,,
2021-07-26 13:57:16.438,,,,,653.0
2021-07-26 13:57:16.739,440.0,,,,
2021-07-26 13:57:19.027,,,,391.0,
2021-07-26 13:57:20.660,,,428.0,,
2021-07-26 13:57:21.728,442.0,,,,
2021-07-26 13:57:22.453,,,,,671.0
2021-07-26 13:57:26.715,442.0,,,,
2021-07-26 13:57:26.791,,,428.0,,
2021-07-26 13:57:27.218,,,,390.0,
2021-07-26 13:57:28.454,,,,,686.0
2021-07-26 13:57:29.366,,439.0,,,
2021-07-26 13:57:31.705,442.0,,,,
2021-07-26 13:57:31.920,,,429.0,,
2021-07-26 13:57:34.468,,,,,694.0
2021-07-26 13:57:35.414,,,,390.0,
2021-07-26 13:57:35.926,,438.0,,,
2021-07-26 13:57:36.696,442.0,,,,
2021-07-26 13:57:40.482,,,,,706.0
2021-07-26 13:57:41.698,444.0,,,,
2021-07-26 13:57:42.486,,438.0,,,
2021-07-26 13:57:43.049,,,429.0,,
2021-07-26 13:57:43.608,,,,391.0,
2021-07-26 13:57:46.493,,,,,694.0
2021-07-26 13:57:46.690,443.0,,,,
2021-07-26 13:57:49.046,,438.0,,,
2021-07-26 13:57:51.686,443.0,,,,
2021-07-26 13:57:51.797,,,,392.0,
2021-07-26 13:57:52.176,,,429.0,,
2021-07-26 13:57:52.508,,,,,686.0
2021-07-26 13:57:55.606,,438.0,,,
2021-07-26 13:57:56.683,443.0,,,,
2021-07-26 13:57:58.549,,,,,714.0
2021-07-26 13:57:59.995,,,,391.0,
2021-07-26 13:58:00.307,,,428.0,,
2021-07-26 13:58:01.661,443.0,,,,
2021-07-26 13:58:02.176,,438.0,,,
2021-07-26 13:58:04.576,,,,,714.0
2021-07-26 13:58:06.435,,,428.0,,
2021-07-26 13:58:06.663,443.0,,,,
2021-07-26 13:58:08.185,,,,390.0,
2021-07-26 13:58:08.736,,439.0,,,
2021-07-26 13:58:10.594,,,,,730.0
2021-07-26 13:58:11.567,,,429.0,,
2021-07-26 13:58:11.656,443.0,,,,
2021-07-26 13:58:15.296,,439.0,,,
2021-07-26 13:58:16.380,,,,391.0,
2021-07-26 13:58:16.562,,,429.0,,
2021-07-26 13:58:16.606,,,,,726.0
2021-07-26 13:58:16.643,443.0,,,,
2021-07-26 13:58:21.640,441.0,,,,
2021-07-26 13:58:21.856,,439.0,,,
2021-07-26 13:58:22.618,,,,,749.0
2021-07-26 13:58:22.755,,,429.0,,
2021-07-26 13:58:24.573,,,,390.0,
2021-07-26 13:58:26.632,441.0,,,,
2021-07-26 13:58:28.416,,440.0,,,
2021-07-26 13:58:28.634,,,,,706.0
2021-07-26 13:58:31.628,441.0,,,,
2021-07-26 13:58:32.766,,,,392.0,
2021-07-26 13:58:34.650,,,,,726.0
2021-07-26 13:58:36.619,441.0,,,,
2021-07-26 13:58:39.870,,,429.0,,
2021-07-26 13:58:40.656,,,,,726.0
2021-07-26 13:58:40.957,,,,394.0,
2021-07-26 13:58:41.536,,439.0,,,
2021-07-26 13:58:41.610,441.0,,,,
2021-07-26 13:58:44.997,,,429.0,,
2021-07-26 13:58:46.611,441.0,,,,
2021-07-26 13:58:46.667,,,,,671.0
2021-07-26 13:58:48.096,,439.0,,,
2021-07-26 13:58:49.151,,,,396.0,
2021-07-26 13:58:50.132,,,430.0,,
2021-07-26 13:58:51.594,442.0,,,,
2021-07-26 13:58:52.680,,,,,726.0
2021-07-26 13:58:54.655,,439.0,,,
2021-07-26 13:58:56.592,443.0,,,,
2021-07-26 13:58:57.344,,,,397.0,
2021-07-26 13:58:58.696,,,,,730.0
2021-07-26 13:59:01.215,,440.0,,,
2021-07-26 13:59:01.581,443.0,,,,
2021-07-26 13:59:03.293,,,430.0,,
2021-07-26 13:59:04.710,,,,,730.0
2021-07-26 13:59:05.538,,,,394.0,
2021-07-26 13:59:06.576,443.0,,,,
2021-07-26 13:59:07.775,,441.0,,,
2021-07-26 13:59:10.727,,,,,749.0
2021-07-26 13:59:11.572,443.0,,,,
2021-07-26 13:59:13.732,,,,396.0,
2021-07-26 13:59:14.335,,442.0,,,
2021-07-26 13:59:15.423,,,431.0,,
2021-07-26 13:59:16.559,443.0,,,,
2021-07-26 13:59:16.738,,,,,749.0
2021-07-26 13:59:20.895,,441.0,,,
2021-07-26 13:59:21.552,444.0,,,,
2021-07-26 13:59:21.923,,,,394.0,
2021-07-26 13:59:22.755,,,,,770.0
2021-07-26 13:59:24.553,,,431.0,,
2021-07-26 13:59:26.543,446.0,,,,
2021-07-26 13:59:27.455,,441.0,,,
2021-07-26 13:59:28.765,,,,,851.0
2021-07-26 13:59:29.681,,,431.0,,
2021-07-26 13:59:30.118,,,,392.0,
2021-07-26 13:59:31.533,485.0,,,,
2021-07-26 13:59:34.015,,510.0,,,
2021-07-26 13:59:34.786,,,,,1425.0
2021-07-26 13:59:36.529,569.0,,,,
