ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 16:32:02.246,,474.0,,,
2021-07-26 16:32:04.140,451.0,,,,
2021-07-26 16:32:04.945,,,,,1866.0
2021-07-26 16:32:05.106,,,457.0,,
2021-07-26 16:32:08.817,,487.0,,,
2021-07-26 16:32:09.137,459.0,,,,
2021-07-26 16:32:10.957,,,,,1900.0
2021-07-26 16:32:11.233,,,457.0,,
2021-07-26 16:32:14.135,462.0,,,,
2021-07-26 16:32:15.379,,495.0,,,
2021-07-26 16:32:16.972,,,,,1920.0
2021-07-26 16:32:17.364,,,458.0,,
2021-07-26 16:32:18.089,,,,466.0,
2021-07-26 16:32:19.130,464.0,,,,
2021-07-26 16:32:21.947,,500.0,,,
2021-07-26 16:32:22.493,,,458.0,,
2021-07-26 16:32:22.988,,,,,1940.0
2021-07-26 16:32:24.127,467.0,,,,
2021-07-26 16:32:26.284,,,,465.0,
2021-07-26 16:32:27.620,,,458.0,,
2021-07-26 16:32:28.516,,503.0,,,
2021-07-26 16:32:29.004,,,,,1965.0
2021-07-26 16:32:29.114,473.0,,,,
2021-07-26 16:32:32.746,,,459.0,,
2021-07-26 16:32:34.112,477.0,,,,
2021-07-26 16:32:34.480,,,,463.0,
2021-07-26 16:32:35.016,,,,,2002.0
2021-07-26 16:32:39.111,480.0,,,,
2021-07-26 16:32:39.879,,,459.0,,
2021-07-26 16:32:41.020,,,,,2030.0
2021-07-26 16:32:41.637,,506.0,,,
2021-07-26 16:32:42.674,,,,467.0,
2021-07-26 16:32:44.105,482.0,,,,
2021-07-26 16:32:47.036,,,,,2078.0
2021-07-26 16:32:48.207,,508.0,,,
2021-07-26 16:32:49.101,489.0,,,,
2021-07-26 16:32:50.004,,,459.0,,
2021-07-26 16:32:50.864,,,,466.0,
2021-07-26 16:32:53.052,,,,,2110.0
2021-07-26 16:32:54.095,492.0,,,,
2021-07-26 16:32:54.769,,510.0,,,
2021-07-26 16:32:56.135,,,459.0,,
2021-07-26 16:32:59.054,,,,466.0,
2021-07-26 16:32:59.066,,,,,2162.0
2021-07-26 16:32:59.088,492.0,,,,
2021-07-26 16:33:01.263,,,459.0,,
2021-07-26 16:33:01.337,,511.0,,,
2021-07-26 16:33:04.083,495.0,,,,
2021-07-26 16:33:05.081,,,,,2232.0
2021-07-26 16:33:07.247,,,,466.0,
2021-07-26 16:33:07.898,,513.0,,,
2021-07-26 16:33:08.391,,,460.0,,
2021-07-26 16:33:09.083,497.0,,,,
2021-07-26 16:33:11.097,,,,,2298.0
2021-07-26 16:33:14.069,499.0,,,,
2021-07-26 16:33:14.467,,514.0,,,
2021-07-26 16:33:14.518,,,461.0,,
2021-07-26 16:33:15.443,,,,468.0,
2021-07-26 16:33:17.109,,,,,2330.0
2021-07-26 16:33:19.078,501.0,,,,
2021-07-26 16:33:21.028,,516.0,,,
2021-07-26 16:33:21.646,,,461.0,,
2021-07-26 16:33:23.128,,,,,2412.0
2021-07-26 16:33:23.635,,,,470.0,
2021-07-26 16:33:24.070,502.0,,,,
2021-07-26 16:33:27.597,,516.0,,,
2021-07-26 16:33:29.066,507.0,,,,
2021-07-26 16:33:29.139,,,,,2448.0
2021-07-26 16:33:29.773,,,463.0,,
2021-07-26 16:33:31.827,,,,471.0,
2021-07-26 16:33:34.065,508.0,,,,
2021-07-26 16:33:34.159,,517.0,,,
2021-07-26 16:33:35.154,,,,,2506.0
2021-07-26 16:33:35.902,,,464.0,,
2021-07-26 16:33:39.052,510.0,,,,
2021-07-26 16:33:40.022,,,,472.0,
2021-07-26 16:33:40.727,,519.0,,,
2021-07-26 16:33:41.169,,,,,2542.0
2021-07-26 16:33:42.027,,,464.0,,
2021-07-26 16:33:44.053,512.0,,,,
2021-07-26 16:33:47.184,,,,,2581.0
2021-07-26 16:33:48.213,,,,472.0,
2021-07-26 16:33:49.049,515.0,,,,
2021-07-26 16:33:49.155,,,465.0,,
2021-07-26 16:33:53.185,,,,,2601.0
2021-07-26 16:33:53.847,,520.0,,,
2021-07-26 16:33:54.042,515.0,,,,
2021-07-26 16:33:56.407,,,,473.0,
2021-07-26 16:33:57.282,,,466.0,,
2021-07-26 16:33:59.040,517.0,,,,
2021-07-26 16:33:59.198,,,,,2654.0
2021-07-26 16:34:00.407,,520.0,,,
2021-07-26 16:34:04.035,518.0,,,,
2021-07-26 16:34:04.598,,,,475.0,
2021-07-26 16:34:05.211,,,,,2682.0
2021-07-26 16:34:06.408,,,467.0,,
2021-07-26 16:34:06.977,,521.0,,,
2021-07-26 16:34:09.034,519.0,,,,
2021-07-26 16:34:11.235,,,,,2708.0
2021-07-26 16:34:12.789,,,,476.0,
2021-07-26 16:34:13.537,,522.0,,,
2021-07-26 16:34:14.028,521.0,,,,
2021-07-26 16:34:17.248,,,,,2732.0
2021-07-26 16:34:18.537,,,468.0,,
2021-07-26 16:34:19.018,522.0,,,,
2021-07-26 16:34:20.098,,522.0,,,
2021-07-26 16:34:20.983,,,,476.0,
